scope,asset,variant,rows,mse,residual_correlation
excluding_2020,IEF,raw_gbm2,311,8.606479305319212e-05,0.061610898742351046
excluding_2020,IEF,cal_gbm2,311,8.624119571855881e-05,0.05323282436554867
excluding_2020,IEF,static_gbm2,311,8.616339391709004e-05,0.0888846420671443
excluding_2020,TLT,mean,311,0.0003767118979071148,
excluding_2020,TLT,raw_ridge100,311,0.00038638261423808753,-0.04944250917244019
excluding_2020,TLT,cal_ridge100,311,0.00038650102821445435,-0.07915944792133546
excluding_2020,TLT,static_ridge100,311,0.00037669900368358716,0.06693656254397179
excluding_2020,TLT,raw_gbm2,311,0.0003873426088404355,0.003569075964715151
excluding_2020,TLT,cal_gbm2,311,0.00038933268198590454,-0.020781254960313557
excluding_2020,TLT,static_gbm2,311,0.0003739924898743735,0.09076215751807157
2018,pooled,mean,416,0.0004682103391920498,
2018,pooled,raw_ridge100,416,0.00046801140669702144,0.08834528523697312
2018,pooled,cal_ridge100,416,0.0004682103391920498,
2018,pooled,static_ridge100,416,0.0004682103391920498,
2018,pooled,raw_gbm2,416,0.00047709030080061743,0.04929990926676985
2018,pooled,cal_gbm2,416,0.0004682103391920498,
2018,pooled,static_gbm2,416,0.0004682103391920498,
2018,SPY,mean,52,0.0005979829274442359,
2018,SPY,raw_ridge100,52,0.0006019988244112509,0.10426654694156877
2018,SPY,cal_ridge100,52,0.0005979829274442359,
2018,SPY,static_ridge100,52,0.0005979829274442359,
2018,SPY,raw_gbm2,52,0.0006118726286309934,-0.023539638284090794
2018,SPY,cal_gbm2,52,0.0005979829274442359,
2018,SPY,static_gbm2,52,0.0005979829274442359,
2018,QQQ,mean,52,0.0008552062565439723,
2018,QQQ,raw_ridge100,52,0.0008597580001969446,0.09921014960114694
2018,QQQ,cal_ridge100,52,0.0008552062565439723,
2018,QQQ,static_ridge100,52,0.0008552062565439723,
2018,QQQ,raw_gbm2,52,0.0008767883359045417,0.09260299512879493
2018,QQQ,cal_gbm2,52,0.0008552062565439723,
2018,QQQ,static_gbm2,52,0.0008552062565439723,
2018,GLD,mean,52,0.00014240827244485564,
2018,GLD,raw_ridge100,52,0.00014436691754079906,-0.10856004791200775
2018,GLD,cal_ridge100,52,0.00014240827244485564,
2018,GLD,static_ridge100,52,0.00014240827244485564,
2018,GLD,raw_gbm2,52,0.00014215232632725264,-0.03731907088794296
2018,GLD,cal_gbm2,52,0.00014240827244485564,
2018,GLD,static_gbm2,52,0.00014240827244485564,
2018,IWM,mean,52,0.0007794582318981822,
2018,IWM,raw_ridge100,52,0.0007918105873280888,0.02574978505658286
2018,IWM,cal_ridge100,52,0.0007794582318981822,
2018,IWM,static_ridge100,52,0.0007794582318981822,
2018,IWM,raw_gbm2,52,0.0008321237707463304,-0.08272292708443753
2018,IWM,cal_gbm2,52,0.0007794582318981822,
2018,IWM,static_gbm2,52,0.0007794582318981822,
