scenario,policy,period,observations,ce,annualized_mean,annualized_volatility,turnover,average_exposure,average_cash,cagr,maximum_drawdown,worst_21_session_return
cost10,raw_gbm2,excluding_2020,1499,0.02313550125370278,0.03137042123067034,0.07409417420628768,98.7870277183363,0.20524111372075612,0.7947588862792438,,,
cost10,raw_gbm2,2018,247,-0.011012798720106414,0.005370865321700271,0.10451049083483338,19.21013663840078,0.31211127902019564,0.6878887209798044,-7.708295234609697e-05,-0.10217163121871897,-0.06291066461119854
cost10,raw_gbm2,2019,252,0.0444350869289362,0.04636097545348006,0.03583190872712813,8.314943100844754,0.0463702683082775,0.9536297316917224,0.046782179674630164,-0.01821072537190427,-0.011578873726349803
cost10,raw_gbm2,2020,253,0.010913381105521786,0.04980507894966886,0.16102111216472428,22.26153017627613,0.2883152946130515,0.7116847053869486,0.03737378667736602,-0.19118801616522596,-0.167245683488508
cost10,raw_gbm2,2021,252,0.03344394091216487,0.03713850776194949,0.049629069772897036,18.109714018435202,0.18134420519442582,0.8186557948055742,0.03655994186269762,-0.038770004518005496,-0.03096104178924297
cost10,raw_gbm2,2022,251,-0.11131685190422998,-0.08643654001526793,0.12879004073545966,28.369807029922953,0.5314587309842195,0.4685412690157805,-0.09036521475225368,-0.15248196234663347,-0.07169857342180319
cost10,raw_gbm2,2023,250,0.0896704378873107,0.09102644252653064,0.03006664418942181,13.695799068456385,0.0749056985563967,0.9250943014436034,0.09478780294165179,-0.01716426564024731,-0.010007235272070925
cost10,raw_gbm2,2024,247,0.09429111909803496,0.0955252989158956,0.028684256051716334,11.08662786227623,0.08525639720892951,0.9147436027910705,0.0997667667156883,-0.015045977623190265,-0.010745534408431956
cost10,raw_ridge100,all,1752,0.021025929818365555,0.03737752009689895,0.10440814233424964,87.49584503099351,0.2024655822381888,0.7975344177618111,0.032392870765463044,-0.20411186792963898,-0.19247691966171965
cost10,raw_ridge100,excluding_2020,1499,0.028590622068876772,0.03887462605431261,0.08280098222217673,77.16700956429088,0.19928064952942837,0.8007193504705716,,,
cost10,raw_ridge100,2018,247,-0.014978794264408724,0.004109949260639545,0.11280881621885254,20.822197178640632,0.29715113575504065,0.7028488642449594,-0.0022256826064397384,-0.09502292395295886,-0.05480556405118442
cost10,raw_ridge100,2019,252,0.06378507751007953,0.06577280629816484,0.03640264448347415,7.469526464358022,0.06968222791756296,0.930317772082437,0.06727422437508057,-0.019829522816660283,-0.013208605925410954
cost10,raw_ridge100,2020,253,-0.023977042384020156,0.02850731523459431,0.18705499658053237,10.328835466702634,0.22133599382092325,0.7786640061790768,0.010809839492249784,-0.20411186792963876,-0.1924769196617192
cost10,raw_ridge100,2021,252,0.05360376804247165,0.05602948221509707,0.04021371385174818,12.947614835721449,0.1253766301324866,0.8746233698675134,0.056771781872855254,-0.022331470474317716,-0.019595237305732205
cost10,raw_ridge100,2022,251,-0.13746779348106775,-0.10245538886515972,0.1527795898583054,14.774304630562046,0.5547529402101075,0.4452470597898925,-0.10784235094022421,-0.153068042320735,-0.08133568072471864
cost10,raw_ridge100,2023,250,0.07543332976871626,0.07690535737187927,0.03132653404770469,10.037366896766306,0.0683052362501372,0.9316947637498629,0.07940035874818485,-0.01411700979950481,-0.010940845384747822
cost10,raw_ridge100,2024,247,0.1320578379927498,0.13382062163918987,0.03428103116341017,11.115999558242418,0.08036936772969362,0.9196306322703064,0.1424817911849885,-0.015045977623190265,-0.002938472083662602
cost10,static_gbm2,all,1752,0.02153406521641644,0.021543584864682733,0.0025192126106244397,1.999000999001035,0.0,1.0,0.021773142798801715,-0.0020852698720578156,-0.0006330212490830434
cost10,static_gbm2,excluding_2020,1499,0.02450080423096894,0.02451072345934933,0.0025715401844539905,1.999000999001029,0.0,1.0,,,
cost10,static_gbm2,2018,247,0.016214604389747662,0.016220910172482398,0.0020503304993318735,0.9990009990010053,0.0,1.0,0.016350525218744805,-0.000890333820760425,4.9388307903353024e-05
cost10,static_gbm2,2019,252,0.02011292295033571,0.02011829346504901,0.001892179468813365,5.186417291717728e-15,0.0,1.0,0.020319391991691305,-0.00021858292867327211,0.001060535991363798
cost10,static_gbm2,2020,253,0.003958558388092342,0.003963581886796466,0.001830027086160918,5.97640814584737e-15,0.0,1.0,0.003969741565877483,-0.0008843796237628654,-0.0006330212490828213
cost10,static_gbm2,2021,252,-0.000985930797762687,-0.0009830384990856533,0.0013885960960705486,4.056172059431812e-15,0.0,1.0,-0.000983516737307344,-0.0010929180423983054,-0.0003283114069049242
cost10,static_gbm2,2022,251,0.013997618811954009,0.014006849275222586,0.0024806535790092674,5.538297352014162e-15,0.0,1.0,0.014101902857259097,-0.00032812845018170833,-0.00032812845018170833
cost10,static_gbm2,2023,250,0.048647800524602804,0.048659956462736104,0.002846745291649956,5.3424768966853924e-15,0.0,1.0,0.049854124289861135,-0.00021813266807546583,0.0028759298612048845
cost10,static_gbm2,2024,247,0.04951159334507895,0.04952314622580498,0.0027752334107276843,1.0000000000000038,0.0,1.0,0.0507607719690466,-0.001000000000000112,0.0029135427595463614
