anchor_ordinal,transition_id,anchor_timestamp,partition,prior_regime_label,current_regime_label,ordered_transition,trailing_log_return_24h,trailing_log_return_72h,trailing_log_return_168h,realized_volatility_24h,realized_volatility_168h,distance_from_close_mean_168h,controls_available,control_exclusion_reasons,forward_log_return_24h,outcome_available_24h,outcome_exclusion_reason_24h,forward_log_return_72h,outcome_available_72h,outcome_exclusion_reason_72h,forward_log_return_168h,outcome_available_168h,outcome_exclusion_reason_168h
46,26f57095fe58d5357cd7f7c643f956c8197a8c0b2e8dbac837ade3c2657dbe4a,2019-06-10T17:00:00,1,RANGE,VOL_COMPRESSION,RANGE -> VOL_COMPRESSION,0.03714255384976909,-0.018739210710639796,-0.064337527457182006,0.042437058161882757,0.11188929564400667,0.52322952481575113,true,[],-0.0076293670369303561,true,,0.030282996030508196,true,,0.15240229550328915,true,
47,d255d566a0540edf779dbe59574a7677edc7edee62d502bfe79f51416e93a2b0,2019-06-18T03:00:00,1,TREND_UP,VOL_COMPRESSION,TREND_UP -> VOL_COMPRESSION,0.0097614657966890572,0.069189868763359252,0.15043390429153694,0.031233411796815921,0.087066753173906913,1.4548815652165017,true,[],-0.013692889447258529,true,,0.051022399630881135,true,,0.18370035037943791,true,
48,3fa6891e9165829e659c6bd2d8e02dd3eca47a24521a4200cae10a6d59faa810,2019-06-25T12:00:00,1,VOL_COMPRESSION,TREND_UP,VOL_COMPRESSION -> TREND_UP,0.031206400762779838,0.0073108207899521653,,0.030725994687048331,,,false,"[""MISSING_EXACT_CLOSE_MEAN_WINDOW_168H"",""MISSING_EXACT_CONTROL_WINDOW_168H""]",0.13449723111420162,true,,0.038198865162120593,true,,-0.113589346065645,true,
49,cd1e48af05518ec8984ce434436220bd2728d8a5dd9bbab35ecb3c1485423b8a,2019-07-02T13:00:00,1,VOL_EXPANSION,TREND_DOWN,VOL_EXPANSION -> TREND_DOWN,-0.059311798258841114,-0.18762840007871576,-0.13027853025968192,0.079522427630682888,0.24213998177045318,-1.9380880922656125,true,[],0.12670888727388691,true,,0.11828507712686834,true,,0.22311171477508865,true,
50,38a3c65a4e178f41fa4f684485600f784677586644d4a91f9c1058c8f9825d05,2019-07-10T18:00:00,1,TREND_UP,RANGE,TREND_UP -> RANGE,-0.030675295780125338,0.063656245126986241,0.082155062341676438,0.059299541731959171,0.14502951587124302,0.7220403378650182,true,[],-0.045101945477683487,true,,-0.092154989355009639,true,,-0.20429334632564655,true,
51,b372bb328ac8be5360547fd569af73faeb8a59c59f9b11a262de487b6333f15c,2019-07-18T14:00:00,1,TREND_DOWN,VOL_EXPANSION,TREND_DOWN -> VOL_EXPANSION,0.06177018265459723,-0.022537322933787192,-0.13204218040859564,0.1110200034734448,0.19012545160925287,-0.43904679659060164,true,[],0.00069354579019666315,true,,0.008266946241728872,true,,-0.034018236480083952,true,
52,fdc63f963f18127bfb2b190a5e713b310f5125dbc2ed2a0d43534166abc7fee8,2019-07-27T00:00:00,1,VOL_COMPRESSION,RANGE,VOL_COMPRESSION -> RANGE,0.045237129818204991,0.050032654258239204,-0.028422931278239152,0.035759877828073147,0.10212384875070436,-0.018216666503203832,true,[],-0.077103759732129781,true,,-0.066972583818582967,true,,0.03394038381149065,true,
53,378f63389f002dfd63a694a71d5a7ba03fa3a39a57d0de83d4d0fe835f786492,2019-08-05T01:00:00,1,VOL_COMPRESSION,TREND_UP,VOL_COMPRESSION -> TREND_UP,0.049929779809202053,0.0931587213614707,0.16735023688374961,0.039953022296708107,0.069492063619592384,2.33856669145172,true,[],0.021313370694244053,true,,0.04008454655280301,true,,0.0055472044151585439,true,
54,c9d12803421bba2c900ff6524b3f58fd01002ce4b95a90969adc0aa92ccd27c8,2019-08-14T16:00:00,1,VOL_COMPRESSION,TREND_DOWN,VOL_COMPRESSION -> TREND_DOWN,-0.046461222647847925,-0.099135831188462128,-0.12095990058304654,0.033460108423515496,0.077508822481635667,-2.7214110543694243,true,[],-0.026426617260333879,true,,-0.0030549318726432674,true,,-0.018874209406582802,true,
55,f59f1652fef0663b7a65cf4ea3ba9f099f3ef5ed9962568fafe1f3bf83d118c7,2019-08-21T20:00:00,1,TREND_DOWN,VOL_COMPRESSION,TREND_DOWN -> VOL_COMPRESSION,-0.053511710068496844,-0.020554955787850125,-0.0016515377913750363,0.046045974088804058,0.10589933869542012,-0.67045059000997576,true,[],0.001984860803630503,true,,-0.0044751991799437847,true,,-0.048746626211960103,true,
56,626448dc2e3a7a5b23996de215f28a0fcb1bb328220ee95f807609541afee5c6,2019-08-28T23:00:00,1,TREND_DOWN,VOL_COMPRESSION,TREND_DOWN -> VOL_COMPRESSION,-0.046024044970912295,-0.042761701335728215,-0.041901262142923695,0.051348573851963432,0.091603085157289779,-2.7990486335862488,true,[],-0.022834711853419145,true,,-0.011747378322891584,true,,0.085539268234843049,true,
57,9363f333dea39c7cfa0d1d4e89d4252e17e29ab1b9e9d06e735f902b85063829,2019-09-06T17:00:00,1,VOL_COMPRESSION,TREND_UP,VOL_COMPRESSION -> TREND_UP,-0.0072778522551614211,-0.017760049122500388,0.089514362366750921,0.046314578511438768,0.074152939061063405,0.52877195328989279,true,[],0.0077003983299143413,true,,-0.015395005233232806,true,,-0.018793177549513453,true,
58,87777a3b9d38190dc6abca9eb6e19ff7c5bd089fc9693357ae28d8dddd0b88c6,2019-09-24T18:00:00,1,VOL_COMPRESSION,TREND_DOWN,VOL_COMPRESSION -> TREND_DOWN,-0.12990947265218272,-0.14764284521570115,-0.17106925394224284,0.09464634001946795,0.10683243008083711,-6.5782885772435966,true,[],-0.032830540594952461,true,,-0.069816083576524815,true,,-0.037357636968959579,true,
59,e7c0d5d47729d099ce45ce532b328757e0d061878a69c8a07ec2bda53d3c934f,2019-10-02T00:00:00,1,TREND_UP,VOL_COMPRESSION,TREND_UP -> VOL_COMPRESSION,0.010441669053237949,0.011503910018974247,-0.04615534561686252,0.032419215073840081,0.094232812216797301,0.61066342962147435,true,[],0.0041889958560780358,true,,-0.020567137219371728,true,,-0.015013789569211611,true,
60,02cbaba9e07db8feae191e31626c04282cd5e49018c6017891b5f56c3dd1cf30,2019-10-11T05:00:00,1,VOL_COMPRESSION,TREND_UP,VOL_COMPRESSION -> TREND_UP,-0.014875213606668309,0.022367930934970706,0.041404412660666509,0.04108108985874398,0.072450245604118932,1.0297928453265852,true,[],-0.011999488798381691,true,,-0.015153929232750555,true,,-0.0660057918026761,true,
61,8043afeb109aec47f75513115cc91f0f5a827414ab04450f065971b18ff52e0f,2019-10-23T12:00:00,1,VOL_COMPRESSION,TREND_DOWN,VOL_COMPRESSION -> TREND_DOWN,-0.089824534100352571,-0.054048376989985249,-0.057449664027905988,0.057618696255682049,0.071888395217708637,-4.0488081262915863,true,[],-0.010406562000985164,true,,0.2080579826394533,true,,0.19127539721785181,true,
62,f13eb33c2b9bb8d87b852edd11154282495f0e90d95443e37cb1c10dd2117538,2019-10-30T15:00:00,1,VOL_COMPRESSION,TREND_DOWN,VOL_COMPRESSION -> TREND_DOWN,-0.027878030445781479,-0.047664067983070262,0.20347487111005516,0.035438358353012421,0.16690045885631064,0.35709446385390198,true,[],0.015166341077407006,true,,0.025640706428945836,true,,0.025744555426173529,true,
