policy,comparator,omitted_month,state_sharpe,trend_sharpe,state_compounded_return,trend_compounded_return,remaining_relative_log_wealth
state_rule_vol40_band2,trend_vol40_band2,2025-07,-0.30923043134072281,-0.36836198273018461,-0.16315451491060939,-0.1778035197109965,0.017660054210466264
state_rule_vol40_band2,trend_vol40_band2,2025-08,0.053004827239811647,-0.2730947385095629,-0.024613338473451929,-0.12712357500909877,0.11103997461646248
state_rule_vol40_band2,trend_vol40_band2,2025-09,0.22196563652903339,-0.061641294758448678,0.038152529087584375,-0.070954213412147249,0.11103997461646409
state_rule_vol40_band2,trend_vol40_band2,2025-10,0.32741710779440364,0.025884422903868051,0.082668089043507642,-0.033519594190884239,0.11352270128947632
state_rule_vol40_band2,trend_vol40_band2,2025-11,0.58398411903758085,0.329861546869056,0.20266630244210271,0.083381514486285946,0.10445382908977353
state_rule_vol40_band2,trend_vol40_band2,2025-12,0.21320362339414026,-0.063398719583583882,0.033691037907082277,-0.074946815141669121,0.11103997461646384
state_rule_vol40_band2,trend_vol40_band2,2026-01,0.21632357980788799,-0.059291081519037489,0.034991046043884921,-0.073783433992764991,0.11103997461646384
state_rule_vol40_band2,trend_vol40_band2,2026-02,0.21731286450598283,-0.057275024230786946,0.035657474909813303,-0.073187044818145419,0.11103997461646378
state_rule_vol40_band2,trend_vol40_band2,2026-03,0.20888550026938937,-0.067628042930199167,0.031774655942141683,-0.076661791062967111,0.11103997461646417
state_rule_vol40_band2,trend_vol40_band2,2026-04,0.18723360952083909,-0.09009952396407403,0.022417970484345018,-0.085035116713519709,0.11103997461646384
state_rule_vol40_band2,trend_vol40_band2,2026-05,0.29812015674386622,0.025606990911641994,0.07156770935018697,-0.041050869191301409,0.11103997461646403
state_rule_vol40_band2,trend_vol40_band2,2026-06,0.28558677569160951,0.013345571981533862,0.066018330243740486,-0.046017025062013328,0.11103997461646398
state_rule_vol40_band2,trend_vol40_band2,2026-07,0.21788107427206935,-0.057424763554205865,0.035657474909813303,-0.073187044818145419,0.11103997461646373
state_rule_vol40_band2,trend_vol40_band2,2026-08,0.15863658860082469,-0.12063174960948742,0.010551534985259181,-0.095654425142050803,0.11103997461646398
