policy,comparator,scenario,period,matched_risk_setting,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
state_rule_vol20_band2,btc_buy_hold,base,2025,False,0.0898892352218853,0.17271433893795379,0.16502926278758012,-0.22933190374826048
state_rule_vol20_band2,eth_buy_hold,base,2025,False,0.13642542766167653,0.0072132015513874104,0.44498573182311596,-0.56125088190469052
state_rule_vol20_band2,mix_buy_hold,base,2025,False,0.11315834843663575,0.12390771949994646,0.27267589961074512,-0.34900108577915456
state_rule_vol20_band2,usd_cash,base,2025,False,0.024203118950411717,,-0.1559782829895271,0.19004826420593504
state_rule_vol20_band2,trend_vol20_band2,base,2026,True,1.5543122344752192e-15,2.4646951146678475e-14,2.2204460492503131e-16,2.9143354396410359e-16
state_rule_vol20_band2,allocation_vol20_band2,base,2026,True,0.038787575104804461,-0.29051147204532013,0.18509696684933574,-0.16129688245922108
state_rule_vol20_band2,fixed_blend_vol20_band2,base,2026,True,0.015515874067911994,-0.17672801652748593,0.086012062472904827,-0.064680122890430777
state_rule_vol20_band2,btc_buy_hold,base,2026,False,0.11586171991454874,-0.39784967371993207,0.32013121702112224,-0.39458583549578563
state_rule_vol20_band2,eth_buy_hold,base,2026,False,0.2207632021233461,-0.38171255219615785,0.45720011396509608,-0.57488092083906328
state_rule_vol20_band2,mix_buy_hold,base,2026,False,0.16758890493160039,-0.36222317860893577,0.38699031707315013,-0.46476234427720287
state_rule_vol20_band2,usd_cash,base,2026,False,-0.041606364618878677,,-0.076250264892783193,0.075054927007809927
state_rule_vol40_band2,trend_vol40_band2,base,full_forward,True,0.066551498954693922,0.2681471322327984,0.0029269932857826086,0.011859302969510988
state_rule_vol40_band2,allocation_vol40_band2,base,full_forward,True,0.15074375376361793,0.31447959293511918,0.28517818301944509,-0.16908812519252353
state_rule_vol40_band2,fixed_blend_vol40_band2,base,full_forward,True,0.09560151017933527,0.29078144821075114,0.15348441733088614,-0.057053922747271224
state_rule_vol40_band2,btc_buy_hold,base,full_forward,False,0.12434001289908314,0.23893037561502664,0.24552829210392091,-0.17516643474252674
state_rule_vol40_band2,eth_buy_hold,base,full_forward,False,0.19599505671886763,0.1283003997800673,0.39079776928949361,-0.44812802058545925
state_rule_vol40_band2,mix_buy_hold,base,full_forward,False,0.15968459737592444,0.21875333952580528,0.31517325555951547,-0.27455690589177334
state_rule_vol40_band2,usd_cash,base,full_forward,False,0.02148514246123745,,-0.28522950321197305,0.2643592438840307
state_rule_vol40_band2,trend_vol40_band2,base,2025,True,0.11155621947036942,0.34859137205449692,0.0030273673471145068,0.015532976060397219
state_rule_vol40_band2,allocation_vol40_band2,base,2025,True,0.12216962401456111,0.28433241019976291,0.088418561115015004,-0.084866191143203484
state_rule_vol40_band2,fixed_blend_vol40_band2,base,2025,True,0.10959777732647791,0.30108401649617622,0.023713438195640757,-0.027442462040220994
state_rule_vol40_band2,btc_buy_hold,base,2025,False,0.1237107790548887,0.287470448034716,0.060289345010065332,-0.085965720803494572
state_rule_vol40_band2,eth_buy_hold,base,2025,False,0.17024697149467993,0.12196931064814961,0.34024581404560117,-0.41788469895992458
state_rule_vol40_band2,mix_buy_hold,base,2025,False,0.14697989226963915,0.23866382859670865,0.16793598183323033,-0.20563490283438862
