policy,family,profile,band,role,scenario,period,first_date,last_date,days,total_return,executed_rebalances,skipped_rebalances,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days
fixed_blend_vol40_exact,fixed_blend,0.40000000000000002,0,comparator,frictionless,2025,2025-01-01,2025-12-31,365,-0.038292618718672511,365,0,-0.038421558957215107,0.073115804287105735,-0.28242857242260921,0.36236735091107036,-0.13603991489828227,-0.17047036520020944,0.96170738128132749,0.67305352140985064,7.5251401750672509,0,-0.081140529772871228,190
fixed_blend_vol40_exact,fixed_blend,0.40000000000000002,0,comparator,frictionless,2026,2026-01-01,2026-08-26,238,-0.062326155193056065,238,0,-0.09441767902818532,-0.26983061082746407,-0.27151471054634735,0.25036146614767113,-0.34774424869354653,-0.16157648293570279,0.93767384480694393,0.46376730218297929,7.443561087024249,0,-0.062003099753368929,224
state_rule_vol40_exact,state_rule,0.40000000000000002,0,comparator,frictionless,full_forward,2025-01-01,2026-08-26,603,0.074300071482196417,603,0,0.044443045859802854,0.29593852541083454,-0.27461229517785901,0.26567395701301871,0.16183924259843604,-0.027250818073938768,1.0743000714821964,0.41628760978147911,8.8657786220724493,0,-0.081140529772871117,378
state_rule_vol40_exact,state_rule,0.40000000000000002,0,comparator,frictionless,2025,2025-01-01,2025-12-31,365,0.079055805637997745,365,0,0.079337784359300834,0.39426808953312908,-0.25786477192027168,0.33512800966426248,0.30767205527333918,-0.036335894172926236,1.0790558056379977,0.61789253969957902,8.8481613688434226,0,-0.081140529772871117,184
state_rule_vol40_exact,state_rule,0.40000000000000002,0,comparator,frictionless,2026,2026-01-01,2026-08-26,238,-0.0044073106608135681,238,0,-0.0067841742485347245,-0.041788345574385613,-0.071828811765421219,0.082225824593864821,-0.09444920613041051,-0.013577710518478779,0.99559268933918643,0.10710357860456114,8.9302446929477224,0,-0.015133845282591651,108
trend_vol40_band2,trend,0.40000000000000002,0.02,comparator,frictionless,full_forward,2025-01-01,2026-08-26,603,-0.031948212988920033,148,455,-0.019507476719104244,0.048493987280538706,-0.27398156891442393,0.25260927985850945,-0.071199959896562443,-0.083467141201547537,0.96805178701107997,0.40303977676962299,8.8045917124081168,0,-0.07989604312021259,378
trend_vol40_band2,trend,0.40000000000000002,0.02,comparator,frictionless,2025,2025-01-01,2025-12-31,365,-0.027578321053081445,125,240,-0.027671704255375573,0.070846840764923855,-0.25862603054646272,0.3178700112228931,-0.10699504685165205,-0.12904192998321043,0.97242167894691856,0.59543877540154566,8.9856681346108704,0,-0.07989604312021259,188
trend_vol40_band2,trend,0.40000000000000002,0.02,comparator,frictionless,2026,2026-01-01,2026-08-26,238,-0.0044938240584804223,23,215,-0.006917182004994471,-0.042139820411183256,-0.071171714022807864,0.083063073991230238,-0.097190043825244585,-0.013849474412100153,0.99550617594151958,0.10797408559041378,8.5636329530435891,0,-0.01572439676712778,108
allocation_vol40_band2,allocation,0.40000000000000002,0.02,comparator,frictionless,full_forward,2025-01-01,2026-08-26,603,-0.18536126851750667,269,334,-0.11696067763806217,-0.069878722294957382,-0.56627279438649269,0.43355513939453855,-0.20654475863488883,-0.31225136752842914,0.81463873148249333,0.77425208365502085,4.6751781064972757,0,-0.1240030121297514,378
allocation_vol40_band2,allocation,0.40000000000000002,0.02,comparator,frictionless,2025,2025-01-01,2025-12-31,365,-0.051288999072447994,173,192,-0.051460517346511248,0.082799078241271279,-0.34718438979235311,0.41841867222038681,-0.14822243988933137,-0.22796659751522258,0.94871100092755201,0.74703538893226862,4.4888098646783545,0,-0.093346632072928482,190
allocation_vol40_band2,allocation,0.40000000000000002,0.02,comparator,frictionless,2026,2026-01-01,2026-08-26,238,-0.14132045408346394,96,142,-0.20927669421849737,-0.28444564645954529,-0.45651550014904752,0.4566447387937746,-0.45842188085655522,-0.44267723413059745,0.85867954591653606,0.8159919726205862,4.9811410521875077,0,-0.1240030121297514,224
fixed_blend_vol40_band2,fixed_blend,0.40000000000000002,0.02,comparator,frictionless,full_forward,2025-01-01,2026-08-26,603,-0.090961234607618402,190,413,-0.056219929326816631,-0.01906283822663837,-0.43126927424054906,0.32151089807079597,-0.13035922725034857,-0.16118279660545945,0.9090387653923816,0.58893517575507226,6.3816259370233768,0,-0.079896043120212479,378
fixed_blend_vol40_band2,fixed_blend,0.40000000000000002,0.02,comparator,frictionless,2025,2025-01-01,2025-12-31,365,-0.033197555668697865,136,229,-0.033309638167928424,0.086559747466611256,-0.2809670985701419,0.36089390195824012,-0.11855351867689538,-0.16412772769022058,0.96680244433130214,0.67133282657854176,6.3581828183252975,0,-0.079896043120212479,190
fixed_blend_vol40_band2,fixed_blend,0.40000000000000002,0.02,comparator,frictionless,2026,2026-01-01,2026-08-26,238,-0.059747137874557099,54,184,-0.090576228801455105,-0.25371847393489338,-0.26891049463834449,0.25002776691626655,-0.33682667879240014,-0.1572074898070468,0.9402528621254429,0.4625690305846254,6.4445580937454192,0,-0.061077916765938101,224
state_rule_vol40_band2,state_rule,0.40000000000000002,0.02,candidate,frictionless,full_forward,2025-01-01,2026-08-26,603,0.078374059071577573,167,436,0.046844361188497663,0.30472315376317471,-0.27116262104569011,0.2645171580516712,0.17275375569040735,-0.02434948772962181,1.0783740590715776,0.41641834152219925,8.1738166095676199,0,-0.07989604312021259,378
state_rule_vol40_band2,state_rule,0.40000000000000002,0.02,candidate,frictionless,2025,2025-01-01,2025-12-31,365,0.083241957842886904,144,221,0.083539437719918119,0.40616408710765856,-0.25574746096524492,0.33347462911480813,0.32664816066842911,-0.03136257408690718,1.0832419578428869,0.61754089744484308,7.9424631568362019,0,-0.07989604312021259,184
state_rule_vol40_band2,state_rule,0.40000000000000002,0.02,candidate,frictionless,2026,2026-01-01,2026-08-26,238,-0.0044938240584808664,23,215,-0.0069171820049951371,-0.042139820411203954,-0.071171714022808197,0.083063073991229822,-0.097190043825253494,-0.013849474412101754,0.99550617594151913,0.1079740855904138,8.5636329530435891,0,-0.015724396767127669,108
btc_buy_hold,btc_buy_hold,,0,comparator,frictionless,full_forward,2025-01-01,2026-08-26,603,-0.1587700335916542,2,0,-0.099582972651695245,-0.018417069598597204,-0.53075779531588974,0.43955968689625796,-0.18762413577444814,-0.29791447886281053,0.8412299664083458,0.99834162520728142,1.2134551495016421,0,-0.13982574865064545,324
btc_buy_hold,btc_buy_hold,,0,comparator,frictionless,2025,2025-01-01,2025-12-31,365,-0.062665249311739779,1,0,-0.06287353466045198,0.054692018263010969,-0.32100754577710477,0.41944905537610788,-0.19586310505021254,-0.24096574968683104,0.93733475068826022,0.99999999999998679,1.0034340659340517,0,-0.085973995995139108,116
btc_buy_hold,btc_buy_hold,,0,comparator,frictionless,2026,2026-01-01,2026-08-26,238,-0.10252984241686069,1,0,-0.15355780674286734,-0.11858865284191601,-0.39638148191390232,0.46962756738427408,-0.38739904296594135,-0.38651757862443353,0.89747015758313931,0.99579831932771246,1.5411392405063031,0,-0.13982574865064545,224
eth_buy_hold,eth_buy_hold,,0,comparator,frictionless,full_forward,2025-01-01,2026-08-26,603,-0.26661602392418515,2,0,-0.17149934317494731,0.089021092494299778,-0.67602727250146233,0.71249625657388072,-0.25368701848426733,-0.69804917828938429,0.73338397607581485,0.99834162520727765,1.2134551495016406,0,-0.14945628087722485,369
eth_buy_hold,eth_buy_hold,,0,comparator,frictionless,2025,2025-01-01,2025-12-31,365,-0.10919616156035328,1,0,-0.10954981582351242,0.21699367636871894,-0.60096401481263784,0.75131883085392448,-0.18229014237677224,-0.68368854316152128,0.89080383843964672,0.99999999999998324,1.0034340659340517,0,-0.14726074992355942,194
eth_buy_hold,eth_buy_hold,,0,comparator,frictionless,2026,2026-01-01,2026-08-26,238,-0.1767166412748884,1,0,-0.25894614758401602,-0.13744191405177167,-0.53345037885787427,0.64992696916167569,-0.48541749682214835,-0.72293480450097003,0.8232833587251116,0.99579831932770879,1.5411392405062994,0,-0.14945628087722485,224
mix_buy_hold,mix_buy_hold,,0,comparator,frictionless,full_forward,2025-01-01,2026-08-26,603,-0.21269302875791829,2,0,-0.13505645920233977,0.00022130426631700596,-0.60040275877148508,0.53893645726372541,-0.22494310232465575,-0.43555948851469689,0.78730697124208171,0.99834162520727987,1.2134551495016415,0,-0.1441735860602833,378
mix_buy_hold,mix_buy_hold,,0,comparator,frictionless,2025,2025-01-01,2025-12-31,365,-0.085930705436044974,1,0,-0.086212695298314879,0.10188717687129729,-0.42865418260026877,0.53909042376943739,-0.2011241200898545,-0.38100132614364807,0.91406929456395503,0.99999999999998535,1.0034340659340517,0,-0.11221556239603903,189
