asset,scenario,model,period,cagr,zero_cash_sharpe,annual_vol,max_drawdown,calmar,terminal_multiple,mean_exposure,one_way_turnover_per_year,fees_initial_capital,worst_day
BTC,delay_stress,simple_linear,2024,-0.03367826962867393,-0.3784144982180914,0.08153895946840385,-0.10709255408261142,-0.3144781625312105,0.9662537560048746,0.013661202185792353,9.964482803458466,0.02878994589367232,-0.062226569399912335
BTC,delay_stress,simple_linear,2025,0.05449599518579551,0.7461214725359664,0.07472152248483536,-0.05390259318626378,1.0110087838906228,1.0543045182536184,0.016483516483516487,12.023287758024667,0.037408724344825235,-0.032769716696793405
ETH,delay_stress,simple_linear,full,0.03218492634132586,0.4782273368580271,0.07134646770438079,-0.09055140379137061,0.35543266027636145,1.209278250659837,0.014148790506617987,10.320135309856868,0.2000749175015819,-0.03584146443351499
ETH,delay_stress,simple_linear,2020_2022,0.03603504811753644,0.5207873283547501,0.07294179919669704,-0.0821670841665868,0.43855819496379395,1.1120744567866874,0.01277372262773723,9.317036313292773,0.08725286142646695,-0.03584146443351499
ETH,delay_stress,simple_linear,2023_end,0.028345615915213562,0.43370239517153314,0.06974590476168542,-0.06738998810322805,0.42062058049029066,1.0874076310987464,0.015525114155251147,11.324150378563942,0.10145189055156577,-0.02688632902187338
ETH,delay_stress,simple_linear,2020,0.058061994766996916,0.793018988167216,0.07452561694602503,-0.05698046724450723,1.018980671356182,1.0581846217588766,0.013661202185792353,9.96465800516761,0.029412671064304195,-0.023128002983007434
ETH,delay_stress,simple_linear,2021,-0.01695089376376313,-0.17018211010397727,0.0812776336084231,-0.08186501619907183,-0.20705906565196913,0.9830606096633331,0.010958904109589041,7.993297013132033,0.023287500462164715,-0.03584146443351499
ETH,delay_stress,simple_linear,2022,0.06908437619082153,1.1106690025652777,0.06179646669224429,-0.03624539345328415,1.9060181062694985,1.0690354946443863,0.013698630136986304,9.99137961557354,0.03191291373297818,-0.018139745705884835
ETH,delay_stress,simple_linear,2023,-0.03676235923285953,-0.952655348323401,0.03850643516781923,-0.04549940102341676,-0.807974575620004,0.963262335257201,0.021917808219178086,15.987035720785627,0.046798789548641175,-0.02688632902187338
ETH,delay_stress,simple_linear,2024,0.00617177685418957,0.17259103103146325,0.04032107598027837,-0.05477847028181004,0.11266792998122467,1.0061844890150022,0.013661202185792351,9.96448194786915,0.03001552090513453,-0.02309178708576154
ETH,delay_stress,simple_linear,2025,0.12238480890776904,1.1261832278010573,0.10724990992026308,-0.04035949625030388,3.0323671075762633,1.1219414134836232,0.01098901098901099,8.015594048133662,0.026557737477769027,-0.008476076282892042
MIX,delay_stress,simple_linear,full,0.01623795604144007,0.32889590125126117,0.053203236829278806,-0.08181694241267867,0.19846691360741653,1.101445196613985,0.014626198122488415,10.676069974222203,0.19402185119819806,-0.029655784141501385
MIX,delay_stress,simple_linear,2020_2022,0.011102738810858215,0.2299921088229894,0.05436435567989262,-0.08181694241267867,0.13570219667775915,1.0336872095992564,0.01286080807525176,9.388399805582255,0.0834183045250937,-0.02695809181108877
MIX,delay_stress,simple_linear,2023_end,0.021403979633299874,0.43232940865047453,0.05203865709037819,-0.05985868609729983,0.35757516625921043,1.0655497972553973,0.01639320039807871,11.964916097354061,0.10699904733849185,-0.029655784141501385
MIX,delay_stress,simple_linear,2020,-0.015948505609174157,-0.21758175620493636,0.06433561324821324,-0.08181694241267867,-0.19492913251061206,0.9840190089996197,0.017687248302612597,12.934702297477598,0.037820827531123244,-0.02695809181108877
MIX,delay_stress,simple_linear,2021,-0.010645658535799019,-0.2137653942542128,0.04527917332825525,-0.04665008713685603,-0.2282023290667851,0.9893615891234356,0.008473138362999398,6.159363704153787,0.018059036418866914,-0.019057212863514028
MIX,delay_stress,simple_linear,2022,0.06181397816791545,1.1832660048775334,0.051772045699673135,-0.03876974861697735,1.5943868705108648,1.0617703881861855,0.01240881443623271,9.061417517877311,0.028583045990912756,-0.01117320611666106
MIX,delay_stress,simple_linear,2023,-0.010071273749394316,-0.23675745297135276,0.039478057196309715,-0.03920600668837648,-0.25688088637653006,0.9899355848557159,0.021951247139317585,16.014305317834832,0.04696455226030255,-0.01447897716167712
MIX,delay_stress,simple_linear,2024,-0.01281944720376027,-0.25283515414383223,0.04666416944806215,-0.055676269031624814,-0.23024975320236823,0.9871543992932001,0.01367035891948982,9.986435955107957,0.029431439405227952,-0.029655784141501385
MIX,delay_stress,simple_linear,2025,0.09071374894193784,1.3418324209714407,0.06626350395273076,-0.026019037156120084,3.4864375802084804,1.0903896725905478,0.013557686443714266,9.893753093471075,0.03161958315976364,-0.01576711181288315
BTC,delay_stress,core_label,full,-0.006386750084441228,-0.05237201854106869,0.07241907801195017,-0.1585412569504494,-0.040284467319679114,0.9622946129245691,0.014148790506617985,10.32026180223547,0.17909837914021132,-0.062226569399912224
