asset,timeframe,target,model,year,observations,loss,constant_loss,skill_vs_constant,mean_prediction,mean_actual,metric
ETH,1,log_variance,constant,2021,365,1.147958724828932,1.147958724828932,0.0,-6.743301477163646,-6.160586839282614,log_variance_MSE
ETH,1,log_variance,constant,2022,365,1.101908284611451,1.101908284611451,0.0,-6.579550576742563,-6.740815746508531,log_variance_MSE
ETH,1,log_variance,constant,2023,354,3.0050747606535553,3.0050747606535553,0.0,-6.612967651633097,-7.993605460792128,log_variance_MSE
ETH,1,log_variance,constant,2024,366,0.9538314997153156,0.9538314997153156,0.0,-6.855929497135781,-7.227567921194017,log_variance_MSE
ETH,1,log_variance,constant,2025,353,0.8818639568132671,0.8818639568132671,0.0,-6.913425691471715,-6.966455247024897,log_variance_MSE
ETH,1,log_variance,core_label,all,2136,0.9404339193855246,1.3479603499588755,0.3023282031891992,-6.830896924561181,-6.965417946838851,log_variance_MSE
ETH,1,log_variance,core_label,2020,333,0.7630004789898165,1.002537772204716,0.23893094091420075,-6.719488982152003,-6.711519207678096,log_variance_MSE
ETH,1,log_variance,core_label,2021,365,0.6423772231083141,1.147958724828932,0.4404178397580969,-6.448412130549004,-6.160586839282614,log_variance_MSE
ETH,1,log_variance,core_label,2022,365,0.785462038972432,1.101908284611451,0.28718020370506836,-6.62527351023742,-6.740815746508531,log_variance_MSE
ETH,1,log_variance,core_label,2023,354,1.906424838727775,3.0050747606535553,0.36559819952261075,-7.077692911306057,-7.993605460792128,log_variance_MSE
ETH,1,log_variance,core_label,2024,366,0.7063833368350845,0.9538314997153156,0.259425446689573,-7.14234822398349,-7.227567921194017,log_variance_MSE
ETH,1,log_variance,core_label,2025,353,0.8501860267793937,0.8818639568132671,0.03592156113097744,-6.973677054783901,-6.966455247024897,log_variance_MSE
ETH,1,log_variance,full_linear,all,2136,0.7897083412901773,1.3479603499588755,0.4141457192607555,-6.866678049185579,-6.965417946838851,log_variance_MSE
ETH,1,log_variance,full_linear,2020,333,0.7244170070940013,1.002537772204716,0.27741674460712795,-6.688749438424779,-6.711519207678096,log_variance_MSE
ETH,1,log_variance,full_linear,2021,365,0.5193566794828318,1.147958724828932,0.5475824450393667,-6.3321550008412,-6.160586839282614,log_variance_MSE
ETH,1,log_variance,full_linear,2022,365,0.6951853925911782,1.101908284611451,0.3691077539758123,-6.635899002419072,-6.740815746508531,log_variance_MSE
ETH,1,log_variance,full_linear,2023,354,1.4487275917887188,3.0050747606535553,0.5179063061067926,-7.269613863469425,-7.993605460792128,log_variance_MSE
ETH,1,log_variance,full_linear,2024,366,0.6724109686848223,0.9538314997153156,0.29504218629232437,-7.266047981174431,-7.227567921194017,log_variance_MSE
ETH,1,log_variance,full_linear,2025,353,0.6893096750556692,0.8818639568132671,0.21834919124421237,-7.007688867130108,-6.966455247024897,log_variance_MSE
ETH,1,log_variance,priority_relative,all,2136,1.1907726560205822,1.3479603499588755,0.11661151156492755,-6.718367644022677,-6.965417946838851,log_variance_MSE
