anchor_ordinal,anchor_timestamp,partition,return_trailing_24h,return_trailing_72h,return_trailing_168h,realized_volatility_trailing_24h,realized_volatility_trailing_168h,distance_from_mean_trailing_168h,range_position_trailing_168h,drawdown_from_high_trailing_168h
45,2018-12-24 00:00:00,1,0.047035253448463245,0.030026908391563675,0.26277073937923956,0.063600211118444092,0.16069569577437814,0.11096411626905223,1,0
46,2019-01-07 00:00:00,1,0.063126713150553765,0.073689559049029352,0.058404621625580105,0.059308112683447642,0.083363354040673007,0.06580457181180277,0.97591722960247074,-0.0023606037631814791
47,2019-01-14 00:00:00,1,-0.026071069428619222,-0.036181576344146524,-0.14191418288692709,0.032387276892563557,0.084681483402593696,-0.076702267111664835,0.03176370771025603,-0.13477000747943157
48,2019-01-21 00:00:00,1,-0.04183378425628248,-0.026276806731481101,0.0057219164847137332,0.035785226863577713,0.067979332937735698,-0.022107075155996747,0.10779740871613501,-0.050820393638661865
49,2019-01-28 00:00:00,1,-0.0081002040351168259,-0.011885031944498942,-0.0022927739575944561,0.0075295904668014153,0.03488252690523079,-0.0074304881961863023,0.139292152955687,-0.025061472579085531
50,2019-02-04 00:00:00,1,-0.011032452884730331,0.0027493820965261121,-0.031311560933200873,0.010433389816923964,0.038859530169924252,-0.00075680374781306181,0.36120735216395694,-0.030826430589522169
51,2019-02-11 00:00:00,1,-0.0027634910581352846,0.072207371598286427,0.054064297297942362,0.016535816272984963,0.068167216190408164,0.041517966385510752,0.82474693573946489,-0.014789080260576015
52,2019-02-18 00:00:00,1,0.020246414095507169,0.025403581674423689,0.012708379071981442,0.014491068948991746,0.027376076842183825,0.020727403123132371,1,0
53,2019-02-25 00:00:00,1,-0.092873352610313015,-0.036059703526707204,0.028157049408052547,0.076159659046716427,0.099205549666151485,-0.038277867681942523,0.22291727000675757,-0.096681055086750844
54,2019-03-04 00:00:00,1,-0.0025910252714814183,0.0024686301908533924,0.011577205164037907,0.0076631379380121406,0.039316734348624781,0.00027232411722688532,0.59670164917541124,-0.013944434796807847
55,2019-03-11 00:00:00,1,-0.0012343404248941192,0.0098885520101575052,0.025469529875266964,0.010432730005230454,0.043333798019705466,0.017132196164184377,0.89207398727820575,-0.00656518086704172
56,2019-03-18 00:00:00,1,0.0041989331660716072,0.031555889452873284,0.020458048820486515,0.0097123720079608043,0.032873496255798079,0.023492086959915559,0.85416259527066674,-0.0074382883713511871
57,2019-03-25 00:00:00,1,-0.0030030430876260279,-0.0036895531915756234,-0.0049883574444102331,0.0062665816520741475,0.033743114713268102,-0.0046538321686715456,0.25354592585346836,-0.018890203630998581
58,2019-04-01 00:00:00,1,0.0057058468203533908,0.023875507488188761,0.036579113170753692,0.007322044201943316,0.031872447160559134,0.024098634238264971,0.96186961869618792,-0.0021820388349513831
