scenario,level,period,observations,ce,annualized_mean,annualized_volatility,turnover,average_exposure,average_cash,cagr,maximum_drawdown,worst_21_session_return
cost25,2x,2022,251,0.06853379857859256,0.10938969083187962,0.16503715188463286,4.204073085242764,0.6356637145621102,0.36749684645693254,0.10048024984606818,-0.11850373618523025,-0.11429897769003339
cost25,2x,2023,250,-0.013943465522243762,-0.006386780452867562,0.07097739109216963,5.16007850173599,0.6237034960702493,0.37629650392975084,-0.008857326251719422,-0.05150148338742011,-0.04273040796178906
cost25,2x,2024,252,0.05984045437256992,0.07041693359371093,0.08397015033586244,4.645086436569835,0.8211684615053264,0.17883153849467365,0.06918259542886762,-0.04964430862617075,-0.036695459834931055
cost25,2x_cashcap,excluding_2020,1487,0.053012611803509815,0.07018660373642288,0.10700153249031237,25.981691870478613,0.7625160108651141,0.237483989134886,,,
cost25,2x_cashcap,2018,230,-0.06798115103876678,-0.0537598906981532,0.09736960627976124,4.898446511050276,0.7132960544242797,0.28670394557572043,-0.05681712696199126,-0.08816424016418745,-0.06590251638434452
cost25,2x_cashcap,2019,252,0.08241352847947628,0.08703276404787863,0.05549315614501399,4.521728767542333,0.8150102907027645,0.18498970929723565,0.0892468087709164,-0.03054525845594125,-0.019577071549148006
cost25,2x_cashcap,2020,253,0.13997014611426142,0.15322932970139747,0.09401837971778372,3.7174389407496475,0.8633601200446096,0.13663987995539062,0.16041171828764433,-0.10731038606471643,-0.07929865631266042
cost25,2x_cashcap,2021,252,0.1790775605117169,0.20426517800136934,0.12958296567489738,2.608223547071136,0.963500017958449,0.03649998204155112,0.2162759035763735,-0.06632549652235065,-0.06389767001379487
cost25,2x_cashcap,2022,251,0.06752716401024038,0.10827410783994987,0.16481695671200317,4.1481281065090405,0.6325031535430676,0.36749684645693254,0.09929328812855753,-0.11850373618523191,-0.11429897769003394
cost25,2x_cashcap,2023,250,-0.01394346552224373,-0.006386780452867562,0.07097739109216947,5.160078501735989,0.6237034960702494,0.3762965039297508,-0.008857326251719422,-0.05150148338742111,-0.04273040796178973
