observations,ce,annualized_mean,annualized_volatility,turnover,average_exposure,average_cash,cagr,maximum_drawdown,worst_21_session_return,longest_underwater_calendar_days,longest_recovered_episode_days,terminal_unrecovered_days,scenario,level,financing_per_initial_dollar,fees_per_initial_dollar,max_gross,average_debt_to_equity,margin_breaches,first_breach,gap10_equity_loss,gap20_equity_loss
1740,0.028071082323654864,0.09674076137341002,0.21396211354623068,46.03955008433641,1.5895765827759332,0.031432222608315144,0.07650420016055692,-0.3066191889093455,-0.2221929231249744,1029,783,1029,funding12,4x,0.6568892613255979,0.059738640867178124,2.6738670211131796,0.6210088053842483,0,,0.267386702111318,0.534773404222636
1740,0.0619719650413693,0.07167772732315528,0.08043946909233873,24.377560779002344,0.5966462943492942,0.4033537056507059,0.07082361858922437,-0.0930078642061205,-0.08633118785382654,769,769,20,funding4,1.5x,4.727229399135243e-17,0.03081954395341394,1.0000000000000007,1.3903916395879394e-16,0,,0.09312196889701514,0.18624393779403028
1740,0.050534920390212144,0.05486386972832439,0.053721189724429616,16.87762133143083,0.39813517407674115,0.6018648259232591,0.054866215783118344,-0.059349635468220474,-0.058032221713966936,651,651,20,funding4,1x,3.5054199656187725e-17,0.020083421601672397,1.0000000000000007,1.0580581213362133e-16,0,,0.06232867145072715,0.1246573429014543
1740,0.07638934288680888,0.10322267569459859,0.13374934967515345,33.16652255249825,0.9928892782823342,0.12157667178774888,0.09881727314044486,-0.16876864377781675,-0.14118634448312806,937,447,937,funding4,2.5x,0.04212152139763255,0.047183583763650824,1.5860858988379847,0.11446595007008305,0,,0.15860858988379847,0.31721717976759695
1740,0.07111956230840659,0.08832877995143197,0.10711121212093962,29.8637373034912,0.7948552287947392,0.22282102383464902,0.08607030377507074,-0.12899315017857904,-0.11404524292522888,937,440,937,funding4,2x,0.005831028575630354,0.04042674385972991,1.2532771668141187,0.01767625262938823,0,,0.12532771668141188,0.25065543336282375
1740,0.07211588989509765,0.08871984191088295,0.10521074728304548,29.706356214038358,0.7771789761653511,0.22282102383464902,0.08671488041858089,-0.12899315017857904,-0.11404524292522944,937,440,937,funding4,2x_cashcap,3.8471645297258454e-17,0.04037482893162426,1.0000000000000007,1.1072486698286265e-16,0,,0.10000000000000007,0.20000000000000015
1740,0.07920230048856136,0.11776620283383073,0.16034109962882126,36.48961913009806,1.1907318790192398,0.06750605054461492,0.11053662952126331,-0.20740002682937841,-0.16781255623418878,937,449,937,funding4,3x,0.10102719838459923,0.054129101519815544,1.9289015032236219,0.2582379295638547,0,,0.1928901503223622,0.3857803006447244
1740,0.07789867720161629,0.14624358549569552,0.21345555086727733,45.852081849696305,1.5859572795916321,0.031432222608315144,0.13124526395564762,-0.2797628694386286,-0.2200164277351221,937,457,937,funding4,4x,0.2662417180678811,0.07343597017307893,2.642961554577236,0.6173895021999474,0,,0.2642961554577236,0.5285923109154472
1740,0.06197196504136925,0.07167772732315524,0.08043946909233875,24.377560779002344,0.5966462943492942,0.4033537056507059,0.07082361858922437,-0.0930078642061205,-0.08633118785382654,769,769,20,primary8,1.5x,8.998568996870559e-17,0.03081954395341394,1.0000000000000004,1.298725573684826e-16,0,,0.09312196889701514,0.18624393779403028
1740,0.05053492039021208,0.05486386972832433,0.053721189724429616,16.87762133143083,0.39813517407674115,0.6018648259232591,0.05486621578311812,-0.05934963546822025,-0.0580322217139666,651,651,20,primary8,1x,6.89216087242534e-17,0.020083421601672397,1.0000000000000007,1.0428673034073746e-16,0,,0.06232867145072715,0.1246573429014543
1740,0.07179063099014193,0.09863853920440752,0.133785669920874,33.17762194260202,0.993123300278978,0.12157667178774888,0.09378778160178891,-0.1692636602411859,-0.14118634448312783,1029,449,1029,primary8,2.5x,0.0829132316751055,0.04620999679858738,1.589357118195258,0.11469997206672691,0,,0.15893571181952582,0.31787142363905163
1740,0.07040571625736478,0.08761762010135551,0.10711957133344256,29.86550921237841,0.7948877946476661,0.22282102383464902,0.08529745624396234,-0.12899315017857893,-0.11404524292522888,937,440,937,primary8,2x,0.011652205131955268,0.040288934107892506,1.254078507415318,0.017708818482314974,0,,0.1254078507415318,0.2508157014830636
1740,0.07211588989509779,0.08871984191088308,0.10521074728304548,29.706356214038355,0.7771789761653511,0.22282102383464902,0.08671488041858089,-0.12899315017857915,-0.11404524292522922,937,440,937,primary8,2x_cashcap,8.52144902465759e-17,0.04037482893162426,1.0000000000000007,1.184828603835181e-16,0,,0.10000000000000007,0.20000000000000015
1740,0.06883260619379993,0.10743692813023213,0.16042510596626744,36.51937637447082,1.1913328281910502,0.06750605054461492,0.09911311030927905,-0.21081133737627045,-0.1679250852501326,1029,457,1029,primary8,3x,0.1943209877656284,0.051754051086266864,1.9352143557863832,0.2588388787356652,0,,0.19352143557863832,0.38704287115727665
1740,0.0530621179251954,0.12156531450033992,0.21370259174086542,45.94247041339456,1.587761485148857,0.031432222608315144,0.10361892467855771,-0.29293363186106447,-0.22110285944097174,1029,671,1029,primary8,4x,0.4824917900021691,0.06616031319568957,2.658299181239425,0.6191937077571725,0,,0.2658299181239425,0.531659836247885
