date,ticker,action,weekday,actual_start,actual_end,range_status
2024-09-23,BIO,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-09-23,DELL,add,Monday,2019-01-02,2026-08-28,WITHIN_RECORDED_RANGE_ONLY
2024-09-23,ERIE,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-09-23,ETSY,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-09-23,PLTR,add,Monday,2020-09-30,2026-08-28,WITHIN_RECORDED_RANGE_ONLY
2024-09-30,AMTM,add,Monday,2024-09-24,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-10-01,BBWI,remove,Tuesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-11-26,MRO,remove,Tuesday,,,MISSING_MANIFEST
2024-11-26,TPL,add,Tuesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-12-23,AMTM,remove,Monday,2024-09-24,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-12-23,APO,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-12-23,CTLT,remove,Monday,,,MISSING_MANIFEST
2024-12-23,LII,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-12-23,QRVO,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-12-23,WDAY,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
