ticker,first_event,last_event,adds,removes,root_price_in_inventory,manifest_present,actual_start,actual_end,auto_adjust,coverage_status,identity_status,sample_rows_through_cutoff,other_inventory_matches
SYMC,2019-11-05,2019-11-05,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
TDY,2020-06-22,2020-06-22,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
TECH,2021-08-30,2021-08-30,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
TER,2020-09-21,2020-09-21,1,0,True,True,2019-01-02,2026-08-28,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
TFC,2019-12-09,2019-12-09,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
TFX,2019-01-18,2019-01-18,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
TIF,2021-01-07,2021-01-07,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
TMK,2019-08-08,2019-08-08,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
TMUS,2019-07-15,2019-07-15,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
TPL,2024-11-26,2024-11-26,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
TRGP,2022-10-12,2022-10-12,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
TRIP,2019-12-23,2019-12-23,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
TRMB,2021-01-21,2021-01-21,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
TSLA,2020-12-21,2020-12-21,1,0,True,True,2019-01-02,2026-08-28,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,1510,
