descriptor,candidate_value,horizon_hours,fold_id,train_family_support,test_family_support,direction_comparison_supported,training_direction,test_direction,aggregate_family_direction,training_test_direction_agree,test_aggregate_direction_agree
intrinsic_subtype,MAJOR_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,72,1,0,0,False,,,0,False,False
intrinsic_subtype,MAJOR_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,72,2,0,0,False,,,0,False,False
intrinsic_subtype,MAJOR_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,168,0,0,0,False,,,0,False,False
intrinsic_subtype,MAJOR_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,168,1,0,0,False,,,0,False,False
intrinsic_subtype,MAJOR_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,168,2,0,0,False,,,0,False,False
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,2,0,0,0,False,,,0,False,False
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,2,1,0,0,False,,,0,False,False
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,2,2,0,0,False,,,0,False,False
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,6,0,0,0,False,,,0,False,False
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,6,1,0,0,False,,,0,False,False
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,6,2,0,0,False,,,0,False,False
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,24,0,0,0,False,,,0,False,False
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,24,1,0,0,False,,,0,False,False
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,24,2,0,0,False,,,0,False,False
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,72,0,0,0,False,,,0,False,False
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,72,1,0,0,False,,,0,False,False
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,72,2,0,0,False,,,0,False,False
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,168,0,0,0,False,,,0,False,False
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,168,1,0,0,False,,,0,False,False
