descriptor,candidate_value,horizon_hours,episode_support,unavailable_episode_count,family_support,mixed_family_count,unavailable_homogeneous_family_count,supported_fold_count,episode_mean_forward_return,episode_median_forward_return,family_mean_forward_return,family_median_forward_return,episode_positive_return_rate,family_positive_return_rate,family_mean_maximum_favorable_excursion,family_mean_maximum_adverse_excursion,family_mean_realized_volatility,training_test_direction_agreement_count,aggregate_direction_agreement_count,episode_family_median_sign_agreement,episode_family_median_absolute_divergence,evidence_state
intrinsic_subtype,SEVERE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,6,2,0,0,6,0,0,0.01418564005813916,0.01418564005813916,0,0,0.5,0,0,0,0,0,0,False,0.01418564005813916,INSUFFICIENT_SUPPORT
volatility_state,VOLATILITY_EXPANSION,6,8,0,0,2,0,0,-0.0033442242674124462,-0.0044168239495993022,0,0,0.25,0,0,0,0,0,0,False,0.0044168239495993022,INSUFFICIENT_SUPPORT
collapse_severity,MAJOR_COLLAPSE,24,10,0,0,5,0,0,0.024779710906990625,0.019768223993591572,0,0,0.69999999999999996,0,0,0,0,0,0,False,0.019768223993591572,INSUFFICIENT_SUPPORT
feature_displacement,BROAD_SHIFT,24,6,0,0,3,0,0,0.030436688413777963,0.0093753027734382877,0,0,0.5,0,0,0,0,0,0,False,0.0093753027734382877,INSUFFICIENT_SUPPORT
feature_displacement,CONCENTRATED_SHIFT,24,5,0,0,3,0,0,0.0051565732478992213,0.0004291548792505484,0,0,0.59999999999999998,0,0,0,0,0,0,False,0.0004291548792505484,INSUFFICIENT_SUPPORT
intrinsic_subtype,MAJOR_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,24,1,0,0,6,0,0,-0.0094689107386118909,-0.0094689107386118909,0,0,0,0,0,0,0,0,0,False,0.0094689107386118909,INSUFFICIENT_SUPPORT
intrinsic_subtype,MAJOR_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,24,9,0,0,6,0,0,0.028585113312057573,0.020069756446763121,0,0,0.77777777777777779,0,0,0,0,0,0,False,0.020069756446763121,INSUFFICIENT_SUPPORT
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,24,2,0,0,6,0,0,0.097659896268853741,0.097659896268853741,0,0,1,0,0,0,0,0,0,False,0.097659896268853741,INSUFFICIENT_SUPPORT
intrinsic_subtype,MODERATE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,24,1,0,0,6,0,0,0.0053852088380486052,0.0053852088380486052,0,0,1,0,0,0,0,0,0,False,0.0053852088380486052,INSUFFICIENT_SUPPORT
intrinsic_subtype,MODERATE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_EXPANSION,24,1,0,0,6,0,0,-0.0339694381001866,-0.0339694381001866,0,0,0,0,0,0,0,0,0,False,0.0339694381001866,INSUFFICIENT_SUPPORT
intrinsic_subtype,SEVERE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,24,4,0,0,6,0,0,-0.0031749155137599239,-0.012294760937197835,0,0,0.25,0,0,0,0,0,0,False,0.012294760937197835,INSUFFICIENT_SUPPORT
intrinsic_subtype,SEVERE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_EXPANSION,24,1,0,0,6,0,0,0.0004291548792505484,0.0004291548792505484,0,0,1,0,0,0,0,0,0,False,0.0004291548792505484,INSUFFICIENT_SUPPORT
intrinsic_subtype,SEVERE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,24,2,0,0,6,0,0,0.014718706630404421,0.014718706630404421,0,0,0.5,0,0,0,0,0,0,False,0.014718706630404421,INSUFFICIENT_SUPPORT
volatility_state,VOLATILITY_EXPANSION,24,8,0,0,2,0,0,0.018634980907716467,-0.0051619929187425861,0,0,0.5,0,0,0,0,0,0,False,0.0051619929187425861,INSUFFICIENT_SUPPORT
