scope,variant,rows,rank_ic,mse,skill_vs_past_mean,normalized_mse
2019,risk_mlp16,416,-0.005494505494505497,0.0003226741269250876,-0.06994691224781957,0.9703319764456858
2020,risk_mlp16,424,0.09074573225516624,0.0021149323056471945,-0.3835729336353768,2.4144025240278317
2021,risk_mlp16,416,0.10073260073260075,0.0004367522481843579,-0.016883299822921582,0.971422706385931
2022,risk_mlp16,416,-0.0228937728937729,0.0008414994265565734,-0.02815966618331278,0.9416732184205714
2023,risk_mlp16,416,0.059523809523809534,0.00044513828350012966,-0.04017242417262201,0.9346615930738249
2024,risk_mlp16,408,0.04668534080298787,0.0005136869080684709,-0.023868732683005378,1.23825687502027
all,rank_ridge100,2912,0.08594976452119311,,,
excluding_2020,rank_ridge100,2488,0.08689327821160621,,,
2018,rank_ridge100,416,0.038919413919413934,,,
2019,rank_ridge100,416,0.14468864468864467,,,
2020,rank_ridge100,424,0.0804132973944295,,,
2021,rank_ridge100,416,0.08379120879120878,,,
2022,rank_ridge100,416,-0.05952380952380955,,,
2023,rank_ridge100,416,0.14697802197802198,,,
2024,rank_ridge100,408,0.16806722689075637,,,
all,rank_gbm2,2912,0.07750781543382385,,,
excluding_2020,rank_gbm2,2488,0.07521321185972278,,,
2018,rank_gbm2,416,-0.016960642133722524,,,
2019,rank_gbm2,416,0.04476523336553004,,,
2020,rank_gbm2,424,0.09097237602902045,,,
2021,rank_gbm2,416,0.11592224163928891,,,
2022,rank_gbm2,416,-0.03794591242667129,,,
2023,rank_gbm2,416,0.19366344761957052,,,
2024,rank_gbm2,408,0.15333728919698073,,,
all,rank_mlp16,2912,0.04487179487179487,,,
excluding_2020,rank_mlp16,2488,0.04570509875976114,,,
2018,rank_mlp16,416,-0.03067765567765568,,,
2019,rank_mlp16,416,0.06913919413919413,,,
2020,rank_mlp16,424,0.03998203054806829,,,
2021,rank_mlp16,416,0.06913919413919416,,,
2022,rank_mlp16,416,-0.021978021978021994,,,
2023,rank_mlp16,416,0.07921245421245422,,,
2024,rank_mlp16,408,0.11064425770308126,,,
all,fine_mlp16,2912,0.029565672422815277,0.0006406688290104119,0.0019571652997751876,1.2570565395364406
excluding_2020,fine_mlp16,2488,0.018450467003521667,0.000505501740326511,-0.029913741180749742,1.0925231034367227
2018,fine_mlp16,416,0.034798534798534814,0.00047243776885713435,-0.013955091875490044,1.4568003056278334
2019,fine_mlp16,416,-0.05311355311355313,0.0003098532035005134,-0.027434339079926096,0.9518249896945812
2020,fine_mlp16,424,0.09478885893980234,0.0014338191041178292,0.06200624063015192,2.2225263249517657
2021,fine_mlp16,416,0.12316849816849818,0.00043609326259800695,-0.015348994183122189,0.9841831467592796
2022,fine_mlp16,416,-0.04990842490842491,0.0008333982607078577,-0.018261510923962554,0.9354539656558845
2023,fine_mlp16,416,-0.00595238095238094,0.00047310693607266447,-0.10552789285633701,0.9955427877850324
2024,fine_mlp16,408,0.06255835667600373,0.0005081723684561523,-0.01287728128428256,1.234055196110686
all,past_mean,2912,0.09759288330716903,0.0006419251827030502,0.0,1.2210367527970323
excluding_2020,past_mean,2488,0.09684581227989589,0.0004908194930450933,0.0,1.0595105303274361
2018,past_mean,416,0.08882783882783886,0.0004659355948233139,0.0,1.3904940108607724
2019,past_mean,416,0.10256410256410257,0.00030157956738918116,0.0,0.9278214351576247
2020,past_mean,424,0.10197663971248877,0.0015286019654129476,0.0,2.168860435590322
2021,past_mean,416,0.12225274725274729,0.00042950085645069913,0.0,0.9719239334088013
2022,past_mean,416,-0.059981684981685005,0.0008184520889448513,0.0,0.9366279776360431
2023,past_mean,416,0.16437728937728938,0.00042794662995820454,0.0,0.9131542728211438
2024,past_mean,408,0.16433239962651727,0.00050171168595253,0.0,1.2201303956440122
all,zero,2912,0.0,0.000643914842127765,-0.00309951919371132,1.2181952265217824
excluding_2020,zero,2488,0.0,0.0004905364185175414,0.0005767385598229868,1.0569745899327405
2018,zero,416,0.0,0.00045964871630902853,0.013493020460627059,1.3627060417586934
2019,zero,416,0.0,0.00030814841006202796,-0.021781457973808482,0.9429272238741551
2020,zero,424,0.0,0.001543927856142473,-0.010026083360023197,2.164225754431066
2021,zero,416,0.0,0.0004321874419609449,-0.006255134232902693,0.9695510605841599
2022,zero,416,0.0,0.0007976908884997467,0.025366421230434977,0.9126185649376866
2023,zero,416,0.0,0.0004358057639584755,-0.018364752635249282,0.9210922928724965
2024,zero,408,0.0,0.0005101137779973284,-0.01674685338222992,1.2364028999934964
