scope,asset,variant,rows,mse,residual_correlation
2020,QQQ,cal_ridge100,50,0.0015389006975365471,
2020,QQQ,static_ridge100,50,0.0015389006975365471,
2020,QQQ,raw_gbm2,50,0.001489990821669571,0.18412564899288592
2020,QQQ,cal_gbm2,50,0.0015389006975365471,
2020,QQQ,static_gbm2,50,0.0015389006975365471,
2020,GLD,mean,50,0.0012609160276466237,
2020,GLD,raw_ridge100,50,0.0012209119460064378,0.26402558355291156
2020,GLD,cal_ridge100,50,0.0012609160276466237,
2020,GLD,static_ridge100,50,0.0012609160276466237,
2020,GLD,raw_gbm2,50,0.0012652672156187067,0.04476269468629869
2020,GLD,cal_gbm2,50,0.0012609160276466237,
2020,GLD,static_gbm2,50,0.0012609160276466237,
2020,IWM,mean,50,0.003103477908188147,
2020,IWM,raw_ridge100,50,0.0030060349430460487,0.16873713960625178
2020,IWM,cal_ridge100,50,0.003103477908188147,
2020,IWM,static_ridge100,50,0.003103477908188147,
2020,IWM,raw_gbm2,50,0.0029899952907346873,0.19688702816728126
2020,IWM,cal_gbm2,50,0.003103477908188147,
2020,IWM,static_gbm2,50,0.003103477908188147,
2020,EFA,mean,50,0.001981283223360328,
2020,EFA,raw_ridge100,50,0.0018858487504942623,0.2466321673331478
2020,EFA,cal_ridge100,50,0.001981283223360328,
2020,EFA,static_ridge100,50,0.001981283223360328,
2020,EFA,raw_gbm2,50,0.0018628896349377768,0.26425349209665444
2020,EFA,cal_gbm2,50,0.001981283223360328,
2020,EFA,static_gbm2,50,0.001981283223360328,
2020,EEM,mean,50,0.0017489793160669752,
2020,EEM,raw_ridge100,50,0.0016946938911480253,0.16161355495595808
2020,EEM,cal_ridge100,50,0.0017489793160669752,
2020,EEM,static_ridge100,50,0.0017489793160669752,
2020,EEM,raw_gbm2,50,0.0017037210347015425,0.14604180210929538
2020,EEM,cal_gbm2,50,0.0017489793160669752,
2020,EEM,static_gbm2,50,0.0017489793160669752,
2020,IEF,mean,50,0.00010044530025294446,
2020,IEF,raw_ridge100,50,9.97389994652836e-05,0.12128252944556618
2020,IEF,cal_ridge100,50,0.00010044530025294446,
2020,IEF,static_ridge100,50,0.00010044530025294446,
2020,IEF,raw_gbm2,50,9.944008239247552e-05,0.09465197971045147
2020,IEF,cal_gbm2,50,0.00010044530025294446,
2020,IEF,static_gbm2,50,0.00010044530025294446,
2020,TLT,mean,50,0.0010462600757039356,
2020,TLT,raw_ridge100,50,0.0010355378611261647,0.09767126583127238
2020,TLT,cal_ridge100,50,0.0010462600757039356,
2020,TLT,static_ridge100,50,0.0010462600757039356,
2020,TLT,raw_gbm2,50,0.0010327213449189835,0.125049997793288
2020,TLT,cal_gbm2,50,0.0010462600757039356,
2020,TLT,static_gbm2,50,0.0010462600757039356,
2021,pooled,mean,408,0.0003647301448959002,
2021,pooled,raw_ridge100,408,0.00036344122736424916,0.05178584845556893
2021,pooled,cal_ridge100,408,0.00036344122736424916,0.05178584845556893
2021,pooled,static_ridge100,408,0.0003647206767639925,0.022164790428864482
2021,pooled,raw_gbm2,408,0.00035914237625840986,0.12301682487402281
2021,pooled,cal_gbm2,408,0.00035914237625840986,0.12301682487402281
2021,pooled,static_gbm2,408,0.0003642109737523938,-0.016739297148265334
2021,SPY,mean,51,0.00019984486082078422,
2021,SPY,raw_ridge100,51,0.00020388194373480056,0.26086960470367593
2021,SPY,cal_ridge100,51,0.00020388194373480056,0.26086960470367593
2021,SPY,static_ridge100,51,0.0001998451041440713,
2021,SPY,raw_gbm2,51,0.00020326102518459583,0.22564717847726562
2021,SPY,cal_gbm2,51,0.00020326102518459583,0.22564717847726562
2021,SPY,static_gbm2,51,0.0002053681826628196,
2021,QQQ,mean,51,0.000499723776563069,
2021,QQQ,raw_ridge100,51,0.0004914818874959936,0.16013415612147608
2021,QQQ,cal_ridge100,51,0.0004914818874959936,0.16013415612147608
2021,QQQ,static_ridge100,51,0.0004997200023311591,
2021,QQQ,raw_gbm2,51,0.0005013735531823411,0.03205202636388691
2021,QQQ,cal_gbm2,51,0.0005013735531823411,0.03205202636388691
2021,QQQ,static_gbm2,51,0.0005012122296697862,
2021,GLD,mean,51,0.0004076606690282053,
2021,GLD,raw_ridge100,51,0.0004161805991471784,-0.07141328092155216
2021,GLD,cal_ridge100,51,0.0004161805991471784,-0.07141328092155216
2021,GLD,static_ridge100,51,0.00040763487153304623,
2021,GLD,raw_gbm2,51,0.0004054192350837659,0.03245869333765937
2021,GLD,cal_gbm2,51,0.0004054192350837659,0.03245869333765937
2021,GLD,static_gbm2,51,0.0004031994806173973,
2021,IWM,mean,51,0.0007277478406246094,
2021,IWM,raw_ridge100,51,0.0007245156656528922,0.06584778917425216
2021,IWM,cal_ridge100,51,0.0007245156656528922,0.06584778917425216
2021,IWM,static_ridge100,51,0.0007277560739937413,
2021,IWM,raw_gbm2,51,0.0007013332136352694,0.2723887629514206
2021,IWM,cal_gbm2,51,0.0007013332136352694,0.2723887629514206
2021,IWM,static_gbm2,51,0.0007279776295044058,
