scenario,policy,period,observations,ce,annualized_mean,annualized_volatility,turnover,average_exposure,average_cash,cagr,maximum_drawdown,worst_21_session_return
fixed_cost25,opt:mean,2022,251,-0.22484702028533632,-0.1927115164160893,0.1463682658439482,0.9604488121146106,0.7396936094882154,0.26030639051178467,-0.18410442076618028,-0.21835313000472945,-0.09049067583311188
fixed_cost25,opt:mean,2023,250,0.14939080862475318,0.1574570174062406,0.0733312520075282,0.2729793332299621,0.6992130423471893,0.3007869576528109,0.16734651277640888,-0.06456313537258329,-0.04678734278993768
fixed_cost25,opt:mean,2024,250,0.1676075295820094,0.18048569311862256,0.09265766216423822,1.3531492975171655,0.7267132531849854,0.27328674681501464,0.1926064409995627,-0.062274810400300806,-0.04612995132034192
fixed_cost25,opt:raw_gbm2,all,1756,0.03155801188423927,0.05388391434102064,0.12199973348818259,66.27045695071136,0.7321645440218244,0.26783545597817554,0.047485498665316594,-0.21472864491713572,-0.21000524216950867
fixed_cost25,opt:raw_gbm2,excluding_2020,1503,0.039937271143077276,0.05721457516843539,0.10732288983982902,54.08976568865651,0.7299942688468716,0.2700057311531283,,,
fixed_cost25,opt:raw_gbm2,2018,248,-0.10690105623614396,-0.08130967123804884,0.13061746947504155,9.428753427117313,0.7488661808461987,0.25113381915380145,-0.08592098340794418,-0.14229646219223013,-0.07412107012883495
fixed_cost25,opt:raw_gbm2,2019,252,0.17244742251620276,0.17950363620255494,0.06858675132682776,6.993128979030612,0.7498121923599808,0.2501878076400194,0.19374699644500493,-0.02249474264021789,-0.0134162252240696
fixed_cost25,opt:raw_gbm2,2020,253,-0.018405593834851686,0.03409741938606268,0.18708823804275593,12.180691262054856,0.7450575226303383,0.2549424773696617,0.016490772334569526,-0.21241865107720104,-0.21000524216950878
fixed_cost25,opt:raw_gbm2,2021,252,0.05346067570887061,0.06498794430781418,0.08766325189398948,9.599783497701896,0.7461645019333726,0.2538354980666274,0.06305923771025346,-0.05647929049521516,-0.044825485048553104
fixed_cost25,opt:raw_gbm2,2022,251,-0.20460811360393738,-0.17291496930112205,0.14535736262241264,18.556998899743093,0.7168913720222604,0.28310862797773945,-0.16764878168776742,-0.21065808993099566,-0.08452894201771277
fixed_cost25,opt:raw_gbm2,2023,250,0.16821976659556653,0.17706083374658652,0.07677268242901669,4.309914522508709,0.6719141152970914,0.3280858847029086,0.19013640026383816,-0.07195284725298667,-0.04919922959421108
fixed_cost25,opt:raw_gbm2,2024,250,0.15598300903302745,0.17473150205806595,0.111798905853437,5.20118636255489,0.7462327322528227,0.2537672677471773,0.18345850874478864,-0.07470062760883378,-0.04712977466011781
fixed_cost25,opt:raw_ridge100,all,1756,0.02776569430887669,0.051875650850163275,0.12678053620669746,30.2194065732264,0.7309479270139477,0.2690520729860523,0.044758137801518494,-0.23435671571147987,-0.21961167519520464
