anchor_ordinal,timestamp,bar_index,current_regime,trailing_log_return_24h,trailing_log_return_72h,trailing_log_return_168h,realized_volatility_24h,realized_volatility_168h,distance_from_close_mean_168h,log1p_current_state_age_hours,log1p_previous_state_duration_hours,log1p_hours_since_previous_transition,transition_count_trailing_24h,transition_count_trailing_72h,transition_count_trailing_168h,outcome_R_24h,outcome_R_72h,outcome_R_168h,outcome_M_24h,outcome_M_72h,outcome_M_168h,outcome_V_24h,outcome_V_72h,outcome_V_168h,outcome_S_24h,outcome_S_72h,outcome_S_168h,partition
317,2024-05-06 00:00:00,55577,VOL_COMPRESSION,0.01100729326881557,0.084108261175789928,0.01549182466530526,0.013604520385524177,0.096648309088841089,1.2468379206806064,4.5108595065168497,3.1780538303479458,4.5108595065168497,0,0,4,-0.010843607698985671,-0.045476497590425373,-0.043784833497947845,0.010843607698985671,0.045476497590425373,0.043784833497947845,0.029457264099364663,0.042697904162649951,0.062324384552166878,1,1,0,3
318,2024-05-13 00:00:00,55745,VOL_COMPRESSION,0.0086193038599685131,-0.021842853339813562,-0.043784833497947845,0.010222307866646305,0.062324384552166878,-0.6154366968826317,4.0073331852324712,0.69314718055994529,4.0073331852324712,0,2,2,0.021132866178903965,0.072510892023957038,0.077688341547544254,0.021132866178903965,0.072510892023957038,0.077688341547544254,0.023987455642045141,0.040160588474424608,0.052833182648395538,1,1,1,3
319,2024-05-20 00:00:00,55913,VOL_COMPRESSION,-0.007039324037413106,0.014288605444627515,0.077688341547544254,0.014828339660203031,0.052833182648395538,0.74465903356330521,5.4071717714601188,0.69314718055994529,5.4071717714601188,0,0,0,0.070223995644766668,0.044202081323752723,0.034542258862994724,0.070223995644766668,0.044202081323752723,0.034542258862994724,0.039290598415830977,0.047988543108941989,0.061129954735994883,0,0,0,3
320,2024-05-27 00:00:00,56081,VOL_COMPRESSION,-0.0052789149106551563,0.014124000642501586,0.034542258862994724,0.011620546909558657,0.061129954735994883,-0.13892287261715211,4.3174881135363101,0.69314718055994529,4.3174881135363101,0,0,4,0.0075414614440043751,-0.01858541011683626,-0.014740378116288744,0.0075414614440043751,0.01858541011683626,0.014740378116288744,0.02199296007513301,0.035574942748208487,0.046240680572395443,1,1,1,3
321,2024-06-03 00:00:00,56249,VOL_COMPRESSION,-0.0007630780346897754,-0.0097948223793458827,-0.014740378116288744,0.014062674191606922,0.046240680572395443,-0.54240481117318839,5.4930614433405482,0.69314718055994529,5.4930614433405482,0,0,0,0.017673488155818023,0.046743264885654584,0.025924107297889666,0.017673488155818023,0.046743264885654584,0.025924107297889666,0.026487124573814601,0.036378017854467495,0.045916674526451935,1,1,1,3
322,2024-06-10 00:00:00,56417,VOL_COMPRESSION,0.0040619464009461793,-0.0185429030408823,0.025924107297889666,0.0073017750198373825,0.045916674526451935,-0.48948916546081467,6.0185932144962342,0.69314718055994529,6.0185932144962342,0,0,0,-0.0026092638002022878,-0.018248831176894239,-0.044448841556082308,0.0026092638002022878,0.018248831176894239,0.044448841556082308,0.010452231234398535,0.044219886314171244,0.055199201902247079,1,1,1,3
323,2024-06-17 00:00:00,56585,VOL_COMPRESSION,0.0061204934634083875,-0.0021739514333412816,-0.044448841556082308,0.0095045179017146635,0.055199201902247079,-0.66333629730937405,6.3613024775729956,0.69314718055994529,6.3613024775729956,0,0,0,-0.012042561621255415,-0.022333703176859489,-0.054143166433228494,0.012042561621255415,0.022333703176859489,0.054143166433228494,0.024361535927538636,0.032163990441716174,0.044543829578471188,1,1,1,3
324,2024-06-24 00:00:00,56753,VOL_COMPRESSION,-0.022327156555659731,-0.027676131985338179,-0.054143166433228494,0.011659355398156752,0.044543829578471188,-2.3629510922510533,6.6160651851328174,0.69314718055994529,6.6160651851328174,0,0,0,-0.042953548256839995,-0.033821650398713252,-0.0028633075926283893,0.042953548256839995,0.033821650398713252,0.0028633075926283893,0.036770157850689544,0.046693494985892502,0.058025763230764547,0,0,0,3
325,2024-07-01 00:00:00,56921,VOL_COMPRESSION,0.031147096252626696,0.021819959966175313,-0.0028633075926283893,0.020055638173363567,0.058025763230764547,2.4412881866635163,4.9836066217083363,1.6094379124341003,4.9836066217083363,0,0,2,3.9300623922480914e-05,-0.04048350820733089,-0.13176278083135806,3.9300623922480914e-05,0.04048350820733089,0.13176278083135806,0.019864691866702904,0.035059196369605326,0.081073143422613431,1,1,0,3
326,2024-07-08 00:00:00,57089,VOL_COMPRESSION,-0.050328626390053387,-0.040261123086419881,-0.13176278083135806,0.026968032813934249,0.081073143422613431,-1.5022202985191506,3.9318256327243257,3.044522437723423,3.9318256327243257,0,2,8,0.025725337845847657,0.044806658602786195,0.10584964042716703,0.025725337845847657,0.044806658602786195,0.10584964042716703,0.045049634399015562,0.057229580428489461,0.07613993673878619,0,0,0,3
