year,asset,model,rows,dates,mse,mae,correlation
2018,QQQ,mlp32,52,52,0.0008780818754764771,0.02278907961609942,0.1351073423444471
2018,QQQ,sequence16,52,52,0.0009024571683788003,0.023861661723560745,-0.04093701083230937
2018,QQQ,sequence32,52,52,0.0008435551395759037,0.0230581781845986,0.14640636032608792
2018,QQQ,selected,52,52,0.000868268910579328,0.02323170682523231,0.07658938222600169
2018,QQQ,zero,52,52,0.0008469417499708467,0.02300039320250506,
2018,QQQ,past_mean,52,52,0.0008521762237602832,0.022915680503949074,
2018,GLD,ridge1,52,52,0.00014446075320032718,0.009436827713726689,-0.11170550862343079
2018,GLD,ridge100,52,52,0.0001443005679842967,0.009433090362581694,-0.11149193875801253
2018,GLD,gbm2,52,52,0.00014144720546287393,0.009539328207580166,0.03661114813190646
2018,GLD,gbm3,52,52,0.0001386167572773231,0.009447211665458363,0.16708561137768854
2018,GLD,mlp16,52,52,0.0001526813991248551,0.00978282292321984,-0.21778099329056966
2018,GLD,mlp32,52,52,0.00015816076086514966,0.009941626779020135,-0.030867214073425173
2018,GLD,sequence16,52,52,0.00014917966858752106,0.009809268716479164,0.028473880281100525
2018,GLD,sequence32,52,52,0.0001428608933111748,0.009463169534484776,0.04039971641376104
2018,GLD,selected,52,52,0.00014144720546287393,0.009539328207580166,0.03661114813190646
2018,GLD,zero,52,52,0.00014035942786670347,0.009338280349723223,
2018,GLD,past_mean,52,52,0.00014166929516155048,0.009423624170628787,
2018,IWM,ridge1,52,52,0.0007880784182935115,0.02091948024439431,0.022801244440815504
2018,IWM,ridge100,52,52,0.0007870633234995368,0.020903855434219645,0.025794218012124344
2018,IWM,gbm2,52,52,0.000818958253117679,0.020826738775789166,-0.06444727092460427
2018,IWM,gbm3,52,52,0.0008545705556505811,0.021074348588552724,-0.11250082726511072
2018,IWM,mlp16,52,52,0.0007691881830315389,0.02082521255369165,0.12420117862677992
2018,IWM,mlp32,52,52,0.0008237167905806922,0.02107580280947509,0.007243210007870749
2018,IWM,sequence16,52,52,0.0008236166480170373,0.022054721087144895,-0.07332079370974513
2018,IWM,sequence32,52,52,0.0007611162614439931,0.02071624481757723,0.1256934908739621
2018,IWM,selected,52,52,0.000818958253117679,0.020826738775789166,-0.06444727092460427
2018,IWM,zero,52,52,0.0007628900012897229,0.0208669943113185,
2018,IWM,past_mean,52,52,0.0007755066274222814,0.020785741364526013,
2018,EFA,ridge1,52,52,0.0004272683656780067,0.016490557970436526,0.1616478852051013
2018,EFA,ridge100,52,52,0.00042696974025051954,0.016499706146023443,0.16497893195773483
2018,EFA,gbm2,52,52,0.000425205327275039,0.016375101269934685,0.08094832239293898
2018,EFA,gbm3,52,52,0.0004281208017968872,0.01643834573078215,0.06096230097966656
2018,EFA,mlp16,52,52,0.00042938519153956384,0.016519025658510662,0.18120057560602137
2018,EFA,mlp32,52,52,0.00043535785795027824,0.01589189990170405,0.10026240388885778
2018,EFA,sequence16,52,52,0.00043147099472719014,0.01721132167601048,0.13405288704958143
2018,EFA,sequence32,52,52,0.0004383083829449353,0.016612664028520636,0.08988106326867541
2018,EFA,selected,52,52,0.000425205327275039,0.016375101269934685,0.08094832239293898
2018,EFA,zero,52,52,0.00041896761511469574,0.016446543928351064,
2018,EFA,past_mean,52,52,0.00042800936581480935,0.01657881678292441,
2018,EEM,ridge1,52,52,0.0007339014753077281,0.022977362027285043,0.28237065351551416
2018,EEM,ridge100,52,52,0.0007350318098489466,0.022992700858241608,0.2806416345066784
2018,EEM,gbm2,52,52,0.0007372141719325744,0.02348705541983037,0.23257427707741066
2018,EEM,gbm3,52,52,0.0007461878361346871,0.02388185901477364,0.197009080804426
2018,EEM,mlp16,52,52,0.0007023270130373319,0.022389885452570327,0.2345199753340463
2018,EEM,mlp32,52,52,0.0007663639170410234,0.02395350337638517,0.041352205135049516
2018,EEM,sequence16,52,52,0.0007081234336774253,0.02232636834991427,0.27469292626708763
2018,EEM,sequence32,52,52,0.0007079174492425149,0.022496867691113427,0.28500918116253665
2018,EEM,selected,52,52,0.0007372141719325744,0.02348705541983037,0.23257427707741066
2018,EEM,zero,52,52,0.0007331294133474991,0.022892190255455688,
2018,EEM,past_mean,52,52,0.0007467684955225524,0.023002884133545978,
2018,IEF,ridge1,52,52,2.7781170927505786e-05,0.004278533773387883,0.38864361642878836
2018,IEF,ridge100,52,52,2.7810698932645355e-05,0.004282320254422095,0.39136893723136507
2018,IEF,gbm2,52,52,3.023866442646122e-05,0.0045242050873480705,0.015485973102071185
2018,IEF,gbm3,52,52,3.09171296795194e-05,0.004593773243447285,-0.09082134435219309
