policy,family,profile,band,role,period,scenario,first_date,last_date,executed_rebalances,skipped_rebalances,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days
trend_vol20_band2,trend,0.20000000000000001,0.02,control,full,cost_stress,2020-01-01,2024-12-31,782,1045,0.234844810303664,1.1575645703310338,-0.26959923367777272,0.19923565036229424,0.87108856764909237,0.17108586344332369,2.8707752876581565,0.29142157978460809,7.2486533663964927,0.054364698932176624,-0.10339869769422139,831
trend_vol20_band2,trend,0.20000000000000001,0.02,control,2020_2021,cost_stress,2020-01-01,2021-12-31,371,360,0.49502565107069785,1.905378666770724,-0.18362175300821515,0.22399192017512679,2.695898731827,0.35153085577508691,2.2338716029624286,0.26373413566370552,5.7781920084349947,0.043336167993686267,-0.10339869769422139,163
trend_vol20_band2,trend,0.20000000000000001,0.02,control,2022_2024,cost_stress,2022-01-01,2024-12-31,411,685,0.087272831837030829,0.55246577311181422,-0.20349164036102763,0.18063430825689802,0.42887674246565843,0.050851142782492857,1.2851120377066951,0.30988829662072109,8.2355807131346577,0.061766701018048903,-0.047848506589832418,701
allocation_vol20_band2,allocation,0.20000000000000001,0.02,control,full,cost_stress,2020-01-01,2024-12-31,771,1056,0.27461150096891873,1.2151785752253368,-0.34928067316537381,0.21933568836851292,0.78622014347441005,0.19436981299958389,3.3636983103747173,0.33651227230940506,2.2888614654015442,0.01716639644598144,-0.10840385880297299,790
allocation_vol20_band2,allocation,0.20000000000000001,0.02,control,2020_2021,cost_stress,2020-01-01,2021-12-31,313,418,0.5459271818809901,2.0420135382945048,-0.18893725372688674,0.22557446132061729,2.8894628831121931,0.38430034751006065,2.3884660972774832,0.26847447163020921,2.2200446213664073,0.016650234545675598,-0.10840385880297299,163
allocation_vol20_band2,allocation,0.20000000000000001,0.02,control,2022_2024,cost_stress,2022-01-01,2024-12-31,458,638,0.12098534410287853,0.63783109715089303,-0.29152467312873864,0.21491104636809702,0.41500893493653229,0.067796811718264252,1.4083090039288551,0.38189149885729939,2.3368296458682578,0.017526181453898563,-0.057709059350624203,675
fixed_blend_vol20_band2,fixed_blend,0.20000000000000001,0.02,control,full,cost_stress,2020-01-01,2024-12-31,783,1044,0.25947772063505825,1.2217996436942427,-0.2943404246725605,0.20604761172050573,0.88155652056191292,0.18806547114057709,3.1687200429668509,0.31490966702191026,4.5028275935505393,0.03377108721866455,-0.10590221849123327,824
fixed_blend_vol20_band2,fixed_blend,0.20000000000000001,0.02,control,2020_2021,cost_stress,2020-01-01,2021-12-31,357,374,0.52633484366315497,1.9909457369249763,-0.18622713533199409,0.22487173204447256,2.8263058588365122,0.37185647245985665,2.328349837623958,0.2663768813748057,3.7728293065687613,0.028296046233812811,-0.10590221849123327,163
fixed_blend_vol20_band2,fixed_blend,0.20000000000000001,0.02,control,2022_2024,cost_stress,2022-01-01,2024-12-31,426,670,0.10826198096677553,0.62956976938624254,-0.23135789217045155,0.19227462084630201,0.46794159451891165,0.065595993972649799,1.3609295268963764,0.34727961803288959,4.9936052895233694,0.037451955717441206,-0.047488596915477799,698
state_rule_vol20_band2,state_rule,0.20000000000000001,0.02,control,full,cost_stress,2020-01-01,2024-12-31,698,1129,0.25703322014462304,1.2428817798447005,-0.25294662766406617,0.20001174622440876,1.0161559476728197,0.18858390719563378,3.13809275672982,0.2927510324746046,5.3729844945965404,0.040297283025753229,-0.10840385880297299,792
