policy,control,scenario,period,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
boosted_vol40_exact,allocation_vol40_exact,base,2020_2021,-0.18255955144740943,-0.13926046707565631,0.010871071218673145,-0.011669471695410438
boosted_vol40_exact,fixed_blend_vol40_exact,base,2020_2021,-0.05958001195742213,-0.046199560948036122,0.0053940172923061525,-0.0043204097246175022
boosted_vol40_exact,state_rule_vol40_exact,base,2020_2021,0.031448123443007514,0.039396138577571849,0.010871071218673256,-0.0022403427989063918
boosted_vol40_exact,constant_vol40_exact,base,2020_2021,0.063084348704247173,0.064242056541639503,0,0.00062817066338166638
boosted_vol40_exact,trend_vol40_exact,base,2022_2024,-0.016366627798347633,-0.0874189460308471,-0.14901148134788877,0.052364512712304967
boosted_vol40_exact,allocation_vol40_exact,base,2022_2024,-0.060081233798757294,-0.091412793169884154,0.073767982106887509,-0.067537506374395762
boosted_vol40_exact,fixed_blend_vol40_exact,base,2022_2024,-0.047075437145773558,-0.11850139984031904,-0.051750469257180853,0.0068935489137343375
boosted_vol40_exact,state_rule_vol40_exact,base,2022_2024,-0.042388301370775316,-0.13171844099758845,-0.12506905634952226,0.030555214152064303
boosted_vol40_exact,constant_vol40_exact,base,2022_2024,-0.016366627798347633,-0.0874189460308471,-0.14901148134788877,0.052364512712304967
ridge_vol40_band2,trend_vol40_band2,base,full,-0.11880743822901385,-0.26007938550834775,-0.21740092969118241,0.018912138174212778
ridge_vol40_band2,allocation_vol40_band2,base,full,-0.2226742382806437,-0.28121706451235473,-0.016592012690519575,-0.051029966320931763
ridge_vol40_band2,fixed_blend_vol40_band2,base,full,-0.179341614760542,-0.30556743330969993,-0.12488520085169563,-0.0069892053772677709
ridge_vol40_band2,state_rule_vol40_band2,base,full,-0.14765456813894362,-0.28365151590802806,-0.22359002061399391,0.0068544758737442701
ridge_vol40_band2,constant_vol40_band2,base,full,-0.11880743822901385,-0.26007938550834775,-0.21740092969118241,0.018912138174212778
ridge_vol40_band2,trend_vol40_band2,base,2020_2021,0.012781112676792716,-0.0013573259310359909,-0.010029633303388796,0.0048103958373121869
ridge_vol40_band2,allocation_vol40_band2,base,2020_2021,-0.23625587118040769,-0.21047702927441847,0.00095268436689910363,-0.0072395249908837056
ridge_vol40_band2,fixed_blend_vol40_band2,base,2020_2021,-0.11210753268637053,-0.11471475937377429,-0.0046209288207014199,-0.0002018201631334704
ridge_vol40_band2,state_rule_vol40_band2,base,2020_2021,-0.020482321360408839,-0.028897606816146171,0.00095268436689910363,0.0022050887219947635
ridge_vol40_band2,constant_vol40_band2,base,2020_2021,0.012781112676792716,-0.0013573259310359909,-0.010029633303388796,0.0048103958373121869
ridge_vol40_band2,trend_vol40_band2,base,2022_2024,-0.156733792776099,-0.46027324113116252,-0.23882541310975292,0.032218866007989178
ridge_vol40_band2,allocation_vol40_band2,base,2022_2024,-0.20267103940507947,-0.46806153777189363,-0.020386509984210544,-0.086591381831681691
ridge_vol40_band2,fixed_blend_vol40_band2,base,2022_2024,-0.19044892109725375,-0.49798698506971117,-0.14838658815301808,-0.013326352077788206
ridge_vol40_band2,state_rule_vol40_band2,base,2022_2024,-0.18246790563668558,-0.50421131464496538,-0.21582330683693707,0.010851918814856532
ridge_vol40_band2,constant_vol40_band2,base,2022_2024,-0.156733792776099,-0.46027324113116252,-0.23882541310975292,0.032218866007989178
boosted_vol40_band2,trend_vol40_band2,base,full,0.0058099480801494519,-0.049826313866184746,-0.13975313599861039,0.027211078882224848
boosted_vol40_band2,allocation_vol40_band2,base,full,-0.098056851971480397,-0.070963992870191728,0.061055781002052445,-0.042731025612919693
boosted_vol40_band2,fixed_blend_vol40_band2,base,full,-0.054724228451378698,-0.095314361667536929,-0.047237407159123612,0.0013097353307442994
boosted_vol40_band2,state_rule_vol40_band2,base,full,-0.023037181829780318,-0.073398444265865059,-0.14594222692142189,0.01515341658175634
boosted_vol40_band2,constant_vol40_band2,base,full,0.0058099480801494519,-0.049826313866184746,-0.13975313599861039,0.027211078882224848
boosted_vol40_band2,trend_vol40_band2,base,2020_2021,0.065284422738329795,0.067616731321285428,0,0.00048853200248438755
boosted_vol40_band2,allocation_vol40_band2,base,2020_2021,-0.18375256111887062,-0.14150297202209705,0.0109823176702879,-0.011561388825711505
boosted_vol40_band2,fixed_blend_vol40_band2,base,2020_2021,-0.059604222624833447,-0.04574070212145287,0.0054087044826873765,-0.0045236839979612697
boosted_vol40_band2,state_rule_vol40_band2,base,2020_2021,0.032020988701128239,0.040076450436175248,0.0109823176702879,-0.0021167751128330359
boosted_vol40_band2,constant_vol40_band2,base,2020_2021,0.065284422738329795,0.067616731321285428,0,0.00048853200248438755
boosted_vol40_band2,trend_vol40_band2,base,2022_2024,-0.016131516513644639,-0.087308198171988205,-0.14640377653762127,0.051770819524140144
boosted_vol40_band2,allocation_vol40_band2,base,2022_2024,-0.062068763142625105,-0.095096494812719312,0.072035126587921106,-0.067039428315530725
boosted_vol40_band2,fixed_blend_vol40_band2,base,2022_2024,-0.049846644834799392,-0.12502194211053685,-0.055964951580886435,0.00622560143836276
boosted_vol40_band2,state_rule_vol40_band2,base,2022_2024,-0.041865629374231217,-0.13124627168579106,-0.12340167026480542,0.030403872331007498
boosted_vol40_band2,constant_vol40_band2,base,2022_2024,-0.016131516513644639,-0.087308198171988205,-0.14640377653762127,0.051770819524140144
ridge_vol20_exact,trend_vol20_exact,cost_stress,full,0.011352991355646935,0.045448744094488847,0.012885227339498373,9.3860178976556963e-06
ridge_vol20_exact,allocation_vol20_exact,cost_stress,full,-0.029476834407147878,-0.013631670514335559,0.095404833502758968,-0.021183662775571488
ridge_vol20_exact,fixed_blend_vol20_exact,cost_stress,full,-0.01176961371753138,-0.013291030933451964,0.040150326455261176,-0.00685321987747331
ridge_vol20_exact,state_rule_vol20_exact,cost_stress,full,-0.010715735599390319,-0.037242279436331849,-0.0053530067950600113,-0.0010722049350070373
ridge_vol20_exact,constant_vol20_exact,cost_stress,full,0.011352991355646935,0.045448744094488847,0.012885227339498373,9.3860178976556963e-06
ridge_vol20_exact,trend_vol20_exact,cost_stress,2020_2021,0.0096128440610188104,0.02809246566566781,0,1.7060132200596989e-05
ridge_vol20_exact,allocation_vol20_exact,cost_stress,2020_2021,-0.04546489605407289,-0.11296738771143411,0.0054514756078295479,-0.0023201912142443715
ridge_vol20_exact,fixed_blend_vol20_exact,cost_stress,2020_2021,-0.019948480581414074,-0.050989378557394938,0.0026294214061570731,-0.00093163037480473165
ridge_vol20_exact,state_rule_vol20_exact,cost_stress,2020_2021,-0.0078469621466568107,-0.017405414595553337,0.0054514756078295479,-0.00075926313138685586
ridge_vol20_exact,constant_vol20_exact,cost_stress,2020_2021,0.0096128440610188104,0.02809246566566781,0,1.7060132200596989e-05
ridge_vol20_exact,trend_vol20_exact,cost_stress,2022_2024,0.012008538005340963,0.060368374209905151,0.014081994306719747,1.2197094782201434e-05
ridge_vol20_exact,allocation_vol20_exact,cost_stress,2022_2024,-0.021252812513205876,-0.024840449913894891,0.10568254046181014,-0.035678132485800734
ridge_vol20_exact,fixed_blend_vol20_exact,cost_stress,2022_2024,-0.0076122514892655868,-0.011600985208919834,0.044761913209813708,-0.011692869040472814
ridge_vol20_exact,state_rule_vol20_exact,cost_stress,2022_2024,-0.011941772623604185,-0.055961128635578894,-0.0042123353135280484,-0.0013564072268930638
ridge_vol20_exact,constant_vol20_exact,cost_stress,2022_2024,0.012008538005340963,0.060368374209905151,0.014081994306719747,1.2197094782201434e-05
boosted_vol20_exact,trend_vol20_exact,cost_stress,full,0.0037170195013087604,-0.019577935645856082,-0.066272556647178016,0.0076841609375649655
boosted_vol20_exact,allocation_vol20_exact,cost_stress,full,-0.037112806261486053,-0.078658350254680487,0.016247049516082579,-0.013508887855904178
boosted_vol20_exact,fixed_blend_vol20_exact,cost_stress,full,-0.019405585571869555,-0.078317710673796892,-0.039007457531415213,0.00082155504219399988
boosted_vol20_exact,state_rule_vol20_exact,cost_stress,full,-0.018351707453728494,-0.10226895917667678,-0.0845107907817364,0.0066025699846602726
boosted_vol20_exact,constant_vol20_exact,cost_stress,full,0.0037170195013087604,-0.019577935645856082,-0.066272556647178016,0.0076841609375649655
boosted_vol20_exact,trend_vol20_exact,cost_stress,2020_2021,0.024596112297179618,0.071934145409943362,0,-1.0912842720367522e-05
boosted_vol20_exact,allocation_vol20_exact,cost_stress,2020_2021,-0.030481627817912083,-0.069125707967158556,0.0054514756078295479,-0.002348164189165336
boosted_vol20_exact,fixed_blend_vol20_exact,cost_stress,2020_2021,-0.004965212345253267,-0.0071476988131193853,0.0026294214061570731,-0.00095960334972569616
boosted_vol20_exact,state_rule_vol20_exact,cost_stress,2020_2021,0.0071363060895039965,0.026436265148722216,0.0054514756078295479,-0.00078723610630782037
boosted_vol20_exact,constant_vol20_exact,cost_stress,2020_2021,0.024596112297179618,0.071934145409943362,0,-1.0912842720367522e-05
boosted_vol20_exact,trend_vol20_exact,cost_stress,2022_2024,-0.0063362297626805564,-0.053738366759024381,-0.072427885112816393,0.013880409743392996
boosted_vol20_exact,allocation_vol20_exact,cost_stress,2022_2024,-0.039597580281227396,-0.13894719088282442,0.019172661042273997,-0.021809919837189939
boosted_vol20_exact,fixed_blend_vol20_exact,cost_stress,2022_2024,-0.025957019257287106,-0.12570772617784937,-0.041747966209722431,0.0021753436081379807
