policy,family,role,scenario,period,observations,first_date,last_date,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days,pareto_cagr_sharpe_drawdown
rotation_vol20,rotation,candidate,frictionless,2021_2024,1461,2021-01-01,2024-12-31,0.20787383850948737,1.1535788256813126,-0.16576923397044763,0.17707631870778376,1.2539952892980486,0.15723745782024415,2.1274616339814831,0.24248018172929431,9.5256339253938229,0,-0.053571784679651291,730,True
rotation_vol40,rotation,candidate,frictionless,full,2555,2018-01-03,2024-12-31,0.29718006646586659,0.93137397773063524,-0.40719532050319129,0.34191923900209181,0.72982190978674943,0.14309153269235564,6.1680952999720908,0.38852755316175264,13.095722000217405,0,-0.17834931537305243,752,False
rotation_vol40,rotation,candidate,frictionless,through_2020,1094,2018-01-03,2020-12-31,0.16465105934496482,0.62172266503437668,-0.40719532050319129,0.33642045449186864,0.40435400667546328,0.039392138237987651,1.5779349074215179,0.274276386394044,7.2890434619487507,0,-0.17834931537305243,535,False
rotation_vol40,rotation,candidate,frictionless,2021_2024,1461,2021-01-01,2024-12-31,0.40642597371991074,1.1568127305276656,-0.31140707872280626,0.34603233719403537,1.3051276014238711,0.22068704526435212,3.9089668851114077,0.47407907707953045,17.451746222359773,0,-0.10715076003951252,752,True
rotation_uncapped,rotation,candidate,frictionless,full,2555,2018-01-03,2024-12-31,0.27307160167622957,0.70424215242783406,-0.83647576040213911,0.67943024745290448,0.32645488919481574,-0.21395477184006312,5.4097895038106962,0.66418786692758347,18.591425215348309,0,-0.43322542520938689,1098,False
rotation_uncapped,rotation,candidate,frictionless,through_2020,1094,2018-01-03,2020-12-31,-0.030056731722131969,0.34828884311734382,-0.83647576040213911,0.7425515148322599,-0.035932579454163831,-0.56845172021356682,0.91272256533105733,0.59049360146251439,11.696020128087776,0,-0.43322542520938689,1090,False
rotation_uncapped,rotation,candidate,frictionless,2021_2024,1461,2021-01-01,2024-12-31,0.56078373525598257,1.0238243830102316,-0.57259268474744318,0.62815052833493024,0.97937635284902524,0.051256197738882903,5.9270907823435968,0.71937029431894939,23.766267123287431,0,-0.27608443227999946,825,True
equal_weight_vol20,equal_weight,control,frictionless,full,2555,2018-01-03,2024-12-31,0.1780136802926322,0.85531462463648078,-0.38154449598599294,0.21965165322323971,0.46656073450255547,0.1155009981818642,3.1442468927334617,0.31718460066025372,3.1390305605268294,0,-0.11180996597552073,925,False
equal_weight_vol20,equal_weight,control,frictionless,through_2020,1094,2018-01-03,2020-12-31,0.14458869260698504,0.71852791190086018,-0.38154449598599294,0.22229720275431297,0.37895630556361926,0.085602675387870447,1.497982626989109,0.27239524464793641,3.0508157237697655,0,-0.11180996597552073,925,False
equal_weight_vol20,equal_weight,control,frictionless,2021_2024,1461,2021-01-01,2024-12-31,0.20380905188497089,0.95970279523824487,-0.34051979263690979,0.2177194391691695,0.59852336425650554,0.13784332306014846,2.0989875557190345,0.35072296854353574,3.2072208667843616,0,-0.057394381053734067,755,False
equal_weight_vol40,equal_weight,control,frictionless,full,2555,2018-01-03,2024-12-31,0.3121666568507242,0.84350267808358181,-0.63372018450672429,0.43461699164795897,0.49259383633757658,0.083262702252000054,6.683972200259185,0.62322088872182657,4.7911966508542143,0,-0.22362140330843339,930,False
equal_weight_vol40,equal_weight,control,frictionless,through_2020,1094,2018-01-03,2020-12-31,0.24519864189701712,0.71854413390879646,-0.63372018450672429,0.44459559098813634,0.38691941316004486,0.022963694577104565,1.9275198303189034,0.54444868936935142,5.0176589898109425,0,-0.22362140330843339,930,False
equal_weight_vol40,equal_weight,control,frictionless,2021_2024,1461,2021-01-01,2024-12-31,0.36490183273525201,0.94091388012755972,-0.58621457670275534,0.42713623762780129,0.62247144175037861,0.12823036644721159,3.4676541818785376,0.68220568413018234,4.6249417605604828,0,-0.11478677571158979,825,False
equal_weight_uncapped,equal_weight,control,frictionless,full,2555,2018-01-03,2024-12-31,0.29599539502752714,0.72808517881402235,-0.88009267539978864,0.74865191931105735,0.33632298427329715,-0.29563717789114263,6.1288135172897196,0.99960861056750039,3.5365179133190567,0,-0.41067454865436237,1098,False
equal_weight_uncapped,equal_weight,control,frictionless,through_2020,1094,2018-01-03,2020-12-31,0.13075489990790579,0.57836176229788516,-0.88009267539978864,0.83301394716167931,0.14856946724219627,-0.55908493974967544,1.4444536777725372,0.9999999999999859,3.9342056845908888,0,-0.41067454865436237,1077,False
equal_weight_uncapped,equal_weight,control,frictionless,2021_2024,1461,2021-01-01,2024-12-31,0.43557430124666463,0.87265739076552418,-0.76296704941400972,0.67893856941125064,0.57089529827166685,-0.098955611078793693,4.2429976202080883,0.99931553730320266,3.2412191351774173,0,-0.20950024841028192,1098,False
btc_buy_hold,btc_buy_hold,benchmark,frictionless,full,2555,2018-01-03,2024-12-31,0.30010419418034084,0.73019430319070378,-0.81384865421874752,0.68775921927008998,0.36874693178478657,-0.20732125165859971,6.2659794121308146,0.99960861056749906,0.28602192638997415,0,-0.38812428745093797,1045,False
btc_buy_hold,btc_buy_hold,benchmark,frictionless,through_2020,1094,2018-01-03,2020-12-31,0.25243571213924709,0.68736132400663463,-0.81384865421874752,0.7663907053958271,0.31017525289339243,-0.35424474000841577,1.961238086475545,0.99999999999997136,0.33417200365964761,0,-0.38812428745093797,1045,False
btc_buy_hold,btc_buy_hold,benchmark,frictionless,2021_2024,1461,2021-01-01,2024-12-31,0.33721438913699964,0.77693601537799684,-0.76670598287257896,0.62268347487662534,0.43982230042548431,-0.097816847014273123,3.1949101209792885,0.9993155373032111,0.25017123287671178,0,-0.15417808941374822,846,False
eth_buy_hold,eth_buy_hold,benchmark,frictionless,full,2555,2018-01-03,2024-12-31,0.21393470143364768,0.66738784876923407,-0.94011630423802584,0.88099270418413467,0.22756195214276601,-0.57625839161167181,3.8791213872831576,0.99960861056748795,0.28602192638997398,0,-0.4332254252093658,1149,False
eth_buy_hold,eth_buy_hold,benchmark,frictionless,through_2020,1094,2018-01-03,2020-12-31,-0.051820254309533631,0.44783370488140661,-0.94011630423802584,0.97537759840854743,-0.055121110096622024,-0.99023522566221001,0.85279768786126808,0.9999999999999456,0.33417200365964761,0,-0.4332254252093658,1083,False
eth_buy_hold,eth_buy_hold,benchmark,frictionless,2021_2024,1461,2021-01-01,2024-12-31,0.46077891260583148,0.87274501407125082,-0.79350360564433819,0.8033851854992845,0.58068912268101325,-0.26699121939637238,4.5487006384968289,0.9993155373032111,0.25017123287671139,0,-0.27608443228000235,1149,False
mix_buy_hold,mix_buy_hold,benchmark,frictionless,full,2555,2018-01-03,2024-12-31,0.26140661031993306,0.69078312100787509,-0.87849214211119286,0.73717798023149383,0.29756283270982997,-0.30591695588468393,5.0725503997069339,0.99960861056749584,0.28602192638997409,0,-0.40144038732506537,1108,False
mix_buy_hold,mix_buy_hold,benchmark,frictionless,through_2020,1094,2018-01-03,2020-12-31,0.12087602698411049,0.5594382456432403,-0.87849214211119286,0.81030218880170157,0.13759488695439112,-0.53157042082114103,1.4070178871683994,0.99999999999996381,0.33417200365964761,0,-0.40144038732506537,1078,False
mix_buy_hold,mix_buy_hold,benchmark,frictionless,2021_2024,1461,2021-01-01,2024-12-31,0.37824698853316363,0.81336783482792452,-0.7686086878841798,0.67755344967601883,0.4921190646106266,-0.13751783340863555,3.6051783321073381,0.9993155373032111,0.25017123287671161,0,-0.21932704155986937,1108,False
usd_cash,usd_cash,benchmark,frictionless,full,2555,2018-01-03,2024-12-31,0,,0,0,,0,1,0,0,0,0,0,False
usd_cash,usd_cash,benchmark,frictionless,through_2020,1094,2018-01-03,2020-12-31,0,,0,0,,0,1,0,0,0,0,0,False
usd_cash,usd_cash,benchmark,frictionless,2021_2024,1461,2021-01-01,2024-12-31,0,,0,0,,0,1,0,0,0,0,0,False
trend_ensemble_vol20,trend_ensemble,candidate,base,full,2555,2018-01-03,2024-12-31,0.17014705597456836,0.90044693156033406,-0.27132634024180724,0.19563057619849428,0.62709376399995864,0.11874796854168197,3.0003320530248914,0.27040992622190213,7.6646327060120631,0.022993835274357551,-0.10680675272775353,756,True
trend_ensemble_vol20,trend_ensemble,candidate,base,through_2020,1094,2018-01-03,2020-12-31,0.15001732753706398,0.79445471014238633,-0.27132634024180724,0.20133108631978328,0.55290366354909692,0.099147120346779166,1.5193439584653141,0.23817328561176104,7.3693518517551784,0.022107972837564372,-0.10680675272775353,527,True
trend_ensemble_vol20,trend_ensemble,candidate,base,2021_2024,1461,2021-01-01,2024-12-31,0.18557465421495567,0.98417584306894268,-0.23314165513626128,0.1913178754872531,0.79597382160856345,0.13338663718039223,1.9747549831017457,0.29454879331806527,7.8909386008126026,0.023672767794007756,-0.053404773431164343,756,True
trend_ensemble_vol40,trend_ensemble,candidate,base,full,2555,2018-01-03,2024-12-31,0.28188826272021972,0.8861686666360642,-0.40163302137638823,0.34948654838455279,0.70185529505067679,0.12649275733655693,5.6772652261523708,0.45617122953875372,10.84009106564638,0.032520157288769357,-0.21361072943420367,827,True
trend_ensemble_vol40,trend_ensemble,candidate,base,through_2020,1094,2018-01-03,2020-12-31,0.25419602782469553,0.8116859036299966,-0.40163302137638823,0.36003485387432155,0.63290619619266086,0.097797571698816366,1.9694985294606917,0.40198082433884569,10.243775337397377,0.0307311305816278,-0.21361072943420367,528,True
trend_ensemble_vol40,trend_ensemble,candidate,base,2021_2024,1461,2021-01-01,2024-12-31,0.30324062891295589,0.94520400847341779,-0.38970085742655447,0.34149740272428109,0.77813693024811104,0.14785399983710681,2.8825942955676904,0.49674912364463969,11.293935710880497,0.033881750677943655,-0.10681064431360499,827,False
trend_ensemble_uncapped,trend_ensemble,candidate,base,full,2555,2018-01-03,2024-12-31,0.3115253544035359,0.77892743623376148,-0.69638622386030868,0.53728147201077947,0.4473456592473119,-0.014503790719847032,6.6611633555754821,0.60774336644623206,11.750750745784972,0.03525191245692106,-0.34601456851678092,1067,True
