policy,control,period,scenario,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
breakout_uncapped,equal_weight_uncapped,2021_2024,base,-0.027542752058326458,0.1020822042981806,0.35880210846607352,-0.22711048819764929
rotation_vol20,equal_weight_vol20,full,base,-0.033538350220862601,-0.003944149251761897,0.16486226124503989,-0.046316566352408495
rotation_vol20,equal_weight_vol20,through_2020,base,-0.05242094341020076,-0.12624833056293028,0.16486226124503989,-0.054298623775927146
rotation_vol20,equal_weight_vol20,2021_2024,base,-0.018436930356145131,0.075948073265298066,0.13978476627689385,-0.040459389541639246
rotation_vol40,equal_weight_vol40,full,base,-0.04623602008946226,0.0060594729650528256,0.22431377060980906,-0.092671109002971819
rotation_vol40,equal_weight_vol40,through_2020,base,-0.087135568544256525,-0.12762535977990974,0.22431377060980906,-0.10858808020336619
rotation_vol40,equal_weight_vol40,2021_2024,base,-0.011409138347752146,0.096460378053751517,0.2269723322503987,-0.080739529949246547
rotation_uncapped,equal_weight_uncapped,full,base,-0.078307218480012208,-0.091692004449149267,0.03531891092984063,-0.069406926955390413
rotation_uncapped,equal_weight_uncapped,through_2020,base,-0.18098747713339514,-0.26354488172137769,0.03531891092984063,-0.091363036936207509
rotation_uncapped,equal_weight_uncapped,2021_2024,base,0.031693319283901511,0.051809039095672138,0.19254162286265952,-0.050318563465556854
trend_ensemble_vol20,equal_weight_vol20,full,cost_stress,-0.020137854308845071,-0.024166689043726541,0.10055116884306481,-0.023954225940685026
trend_ensemble_vol20,equal_weight_vol20,through_2020,cost_stress,-0.0061964828643099601,0.014113016325782879,0.10055116884306481,-0.020929127917623469
trend_ensemble_vol20,equal_weight_vol20,2021_2024,cost_stress,-0.03099618401140436,-0.050916877744159983,0.082519606163260706,-0.026311032825703018
trend_ensemble_vol40,equal_weight_vol40,full,cost_stress,-0.045013061284001843,-0.014336296948387672,0.1933825072478168,-0.085042529187243809
trend_ensemble_vol40,equal_weight_vol40,through_2020,cost_stress,-0.0015249575280094074,0.049759773269001162,0.21117100832054103,-0.084531820666128688
trend_ensemble_vol40,equal_weight_vol40,2021_2024,cost_stress,-0.079733527762045009,-0.063503173168403482,0.1480341215633133,-0.085503059678774307
trend_ensemble_uncapped,equal_weight_uncapped,full,cost_stress,-0.01811305401560781,-0.012165725380004155,0.16031321172441748,-0.21121883445209633
trend_ensemble_uncapped,equal_weight_uncapped,through_2020,cost_stress,0.0045710199212123381,-0.07423850258272835,0.16031321172441748,-0.26208350806463387
trend_ensemble_uncapped,equal_weight_uncapped,2021_2024,cost_stress,-0.03922873546474559,0.022441281637372135,0.2365167252512832,-0.16786332784075242
breakout_vol20,equal_weight_vol20,full,cost_stress,-0.053237673657505313,-0.077160234287263374,0.16279212197833504,-0.063009969745491334
breakout_vol20,equal_weight_vol20,through_2020,cost_stress,-0.063296864184487545,-0.17374510182030417,0.16279212197833504,-0.076122838751995159
breakout_vol20,equal_weight_vol20,2021_2024,cost_stress,-0.045253686382644487,-0.023808626004153011,0.14678160468305224,-0.053645273497695517
breakout_vol40,equal_weight_vol40,full,cost_stress,-0.077282085351801921,-0.029376668191167243,0.23507337610825807,-0.13815286479491184
breakout_vol40,equal_weight_vol40,through_2020,cost_stress,-0.095273285162898347,-0.14441453415983935,0.23507337610825807,-0.15667448400345624
breakout_vol40,equal_weight_vol40,2021_2024,cost_stress,-0.062070240185100545,0.044203345556850571,0.30761993725786863,-0.12436903671268223
breakout_uncapped,equal_weight_uncapped,full,cost_stress,-0.036836022628624399,-0.018086210299077199,0.22484174595448936,-0.28979160918714636
breakout_uncapped,equal_weight_uncapped,through_2020,cost_stress,-0.042632342630485764,-0.18784564171422996,0.22484174595448936,-0.36497032453882489
breakout_uncapped,equal_weight_uncapped,2021_2024,cost_stress,-0.03071670453057429,0.085455349568130501,0.35800840489661256,-0.22700712015638058
