policy,scenario,year,observations,total_return
equal_weight_uncapped,base,2021,365,1.9466560323861062
equal_weight_uncapped,base,2022,365,-0.65456764515568233
equal_weight_uncapped,base,2023,365,1.2172136174990853
equal_weight_uncapped,base,2024,366,0.80838233845012564
btc_buy_hold,base,2018,363,-0.75098517964607359
btc_buy_hold,base,2019,365,0.94095117366312819
btc_buy_hold,base,2020,366,3.0456618455646849
btc_buy_hold,base,2021,365,0.59403630483254632
btc_buy_hold,base,2022,365,-0.64228724440201046
btc_buy_hold,base,2023,365,1.5582071764965635
btc_buy_hold,base,2024,366,1.1836621944823218
eth_buy_hold,base,2018,363,-0.84954961704481491
eth_buy_hold,base,2019,365,-0.015245537424344646
eth_buy_hold,base,2020,366,4.7388361599500541
eth_buy_hold,base,2021,365,3.9829869724944507
eth_buy_hold,base,2022,365,-0.67483268948256114
eth_buy_hold,base,2023,365,0.90844593181342392
eth_buy_hold,base,2024,366,0.46658089405410563
mix_buy_hold,base,2018,363,-0.80026739834544491
mix_buy_hold,base,2019,365,0.58081927688743384
mix_buy_hold,base,2020,366,3.4429098724803646
mix_buy_hold,base,2021,365,1.6210627982463071
mix_buy_hold,base,2022,365,-0.66103800722683981
mix_buy_hold,base,2023,365,1.1990881590688027
mix_buy_hold,base,2024,366,0.83971623033428577
usd_cash,base,2018,363,0
usd_cash,base,2019,365,0
usd_cash,base,2020,366,0
usd_cash,base,2021,365,0
usd_cash,base,2022,365,0
usd_cash,base,2023,365,0
usd_cash,base,2024,366,0
trend_ensemble_vol20,cost_stress,2018,363,-0.24043370386892726
trend_ensemble_vol20,cost_stress,2019,365,0.098102396751219345
trend_ensemble_vol20,cost_stress,2020,366,0.64946236585244765
trend_ensemble_vol20,cost_stress,2021,365,0.34982261342696486
trend_ensemble_vol20,cost_stress,2022,365,-0.17787422053835933
trend_ensemble_vol20,cost_stress,2023,365,0.21549849182587577
trend_ensemble_vol20,cost_stress,2024,366,0.27021146105900962
trend_ensemble_vol40,cost_stress,2018,363,-0.31985692156464074
trend_ensemble_vol40,cost_stress,2019,365,0.11377980716413072
trend_ensemble_vol40,cost_stress,2020,366,1.2648520636367837
trend_ensemble_vol40,cost_stress,2021,365,0.75200749520627319
trend_ensemble_vol40,cost_stress,2022,365,-0.27402638320123962
trend_ensemble_vol40,cost_stress,2023,365,0.25266162810560955
trend_ensemble_vol40,cost_stress,2024,366,0.47647973655404585
trend_ensemble_uncapped,cost_stress,2018,363,-0.52088419889705806
trend_ensemble_uncapped,cost_stress,2019,365,0.12065689505093657
trend_ensemble_uncapped,cost_stress,2020,366,1.4937475463930241
trend_ensemble_uncapped,cost_stress,2021,365,1.471344903133383
trend_ensemble_uncapped,cost_stress,2022,365,-0.28980773314034225
trend_ensemble_uncapped,cost_stress,2023,365,0.26687342740015652
trend_ensemble_uncapped,cost_stress,2024,366,0.54566690358357395
breakout_vol20,cost_stress,2018,363,-0.10394232570841677
breakout_vol20,cost_stress,2019,365,0.0065770671454474794
breakout_vol20,cost_stress,2020,366,0.30283957195757538
breakout_vol20,cost_stress,2021,365,0.34288109479172113
breakout_vol20,cost_stress,2022,365,-0.037101194566621976
breakout_vol20,cost_stress,2023,365,0.089806526832678868
breakout_vol20,cost_stress,2024,366,0.15640586322052963
breakout_vol40,cost_stress,2018,363,-0.20222918216513641
breakout_vol40,cost_stress,2019,365,0.035815602322083917
breakout_vol40,cost_stress,2020,366,0.62685993081884139
breakout_vol40,cost_stress,2021,365,0.73316956972639646
breakout_vol40,cost_stress,2022,365,-0.067280184641617669
breakout_vol40,cost_stress,2023,365,0.17270444063013013
breakout_vol40,cost_stress,2024,366,0.31316134809017249
breakout_uncapped,cost_stress,2018,363,-0.42954924139367834
breakout_uncapped,cost_stress,2019,365,0.0081482775287078368
breakout_uncapped,cost_stress,2020,366,1.0424514404066585
breakout_uncapped,cost_stress,2021,365,1.5275192394287243
breakout_uncapped,cost_stress,2022,365,-0.092597293138806602
breakout_uncapped,cost_stress,2023,365,0.19843355248230066
breakout_uncapped,cost_stress,2024,366,0.2819368722100315
rotation_vol20,cost_stress,2018,363,-0.10350404509998501
rotation_vol20,cost_stress,2019,365,-0.027477927637699517
rotation_vol20,cost_stress,2020,366,0.37511512588768259
rotation_vol20,cost_stress,2021,365,0.31052420167590555
rotation_vol20,cost_stress,2022,365,-0.12872241233976489
rotation_vol20,cost_stress,2023,365,0.15836794140414079
rotation_vol20,cost_stress,2024,366,0.20888571635866948
rotation_vol40,cost_stress,2018,363,-0.20580075249224661
rotation_vol40,cost_stress,2019,365,-0.072340433033899476
rotation_vol40,cost_stress,2020,366,0.81854135772462722
rotation_vol40,cost_stress,2021,365,0.65983654514546486
rotation_vol40,cost_stress,2022,365,-0.24458467547794149
rotation_vol40,cost_stress,2023,365,0.31029601802882811
rotation_vol40,cost_stress,2024,366,0.40997734273219333
rotation_uncapped,cost_stress,2018,363,-0.62185351586756488
rotation_uncapped,cost_stress,2019,365,-0.12866405142164727
rotation_uncapped,cost_stress,2020,366,1.1305948094674636
rotation_uncapped,cost_stress,2021,365,1.778675578921781
rotation_uncapped,cost_stress,2022,365,-0.41966863818296529
rotation_uncapped,cost_stress,2023,365,0.39186793378648344
rotation_uncapped,cost_stress,2024,366,0.29502105400215806
equal_weight_vol20,cost_stress,2018,363,-0.31542579073358146
equal_weight_vol20,cost_stress,2019,365,0.16770286065288897
equal_weight_vol20,cost_stress,2020,366,0.74991381048269812
equal_weight_vol20,cost_stress,2021,365,0.37178502205231978
equal_weight_vol20,cost_stress,2022,365,-0.26916090795634995
equal_weight_vol20,cost_stress,2023,365,0.45960571871272693
equal_weight_vol20,cost_stress,2024,366,0.30287882972064994
equal_weight_vol40,cost_stress,2018,363,-0.54983863488998541
equal_weight_vol40,cost_stress,2019,365,0.31911053339200324
equal_weight_vol40,cost_stress,2020,366,1.9003054534282273
equal_weight_vol40,cost_stress,2021,365,0.8097220113874275
equal_weight_vol40,cost_stress,2022,365,-0.4858504011316811
equal_weight_vol40,cost_stress,2023,365,0.98586022563817921
equal_weight_vol40,cost_stress,2024,366,0.6336830639253046
equal_weight_uncapped,cost_stress,2018,363,-0.80367275145750661
equal_weight_uncapped,cost_stress,2019,365,0.38677856629461305
equal_weight_uncapped,cost_stress,2020,366,3.8571137012904835
equal_weight_uncapped,cost_stress,2021,365,1.8853278150428396
equal_weight_uncapped,cost_stress,2022,365,-0.65889147324129804
equal_weight_uncapped,cost_stress,2023,365,1.1999854452618481
equal_weight_uncapped,cost_stress,2024,366,0.77807447747133396
btc_buy_hold,cost_stress,2018,363,-0.75209740465013586
btc_buy_hold,cost_stress,2019,365,0.9409511736631293
btc_buy_hold,cost_stress,2020,366,3.0456618455647062
btc_buy_hold,cost_stress,2021,365,0.59403630483254699
btc_buy_hold,cost_stress,2022,365,-0.64228724440201046
btc_buy_hold,cost_stress,2023,365,1.5582071764965626
btc_buy_hold,cost_stress,2024,366,1.1738061464630869
eth_buy_hold,cost_stress,2018,363,-0.85022160386694878
eth_buy_hold,cost_stress,2019,365,-0.015245537424346867
eth_buy_hold,cost_stress,2020,366,4.7388361599501136
eth_buy_hold,cost_stress,2021,365,3.982986972494456
eth_buy_hold,cost_stress,2022,365,-0.67483268948256114
eth_buy_hold,cost_stress,2023,365,0.90844593181342903
eth_buy_hold,cost_stress,2024,366,0.4599614216135377
mix_buy_hold,cost_stress,2018,363,-0.80115950425854299
mix_buy_hold,cost_stress,2019,365,0.5808192768874354
