date,status,expiration,valid_quotes,midpoint_credit,bid_ask_credit,immediate_liquidation_debit,spread_roundtrip,all_sides_positive_size,all_short_bids_positive,short_put,short_put_strike,long_put,long_put_strike,short_call,short_call_strike,long_call,long_call_strike,max_wing_width,next_date,next_all_contracts_present,next_valid_quotes,next_midpoint_credit,next_bid_ask_credit,next_immediate_liquidation_debit,next_spread_roundtrip,next_all_sides_positive_size,next_all_short_bids_positive
2022-06-09,SELECTED,2022-07-13,True,1.9050000000000002,1.7599999999999998,2.05,0.29000000000000004,True,True,SPY220713P00370000,370.0,SPY220713P00365000,365.0,SPY220713C00426000,426.0,SPY220713C00435000,435.0,9.0,2022-06-10,True,True,1.6149999999999995,1.48,1.7500000000000002,0.27000000000000024,True,True
2022-06-10,SELECTED,2022-07-15,True,1.9900000000000002,1.9700000000000002,2.01,0.03999999999999959,True,True,SPY220715P00356000,356.0,SPY220715P00349000,349.0,SPY220715C00417000,417.0,SPY220715C00425000,425.0,8.0,2022-06-13,True,True,2.084999999999999,2.04,2.1300000000000003,0.0900000000000003,True,True
2022-06-13,NO_GEOMETRY,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14,NO_GEOMETRY,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-15,SELECTED,2022-07-20,True,2.02,1.7900000000000005,2.25,0.4599999999999995,True,True,SPY220720P00345000,345.0,SPY220720P00340000,340.0,SPY220720C00405000,405.0,SPY220720C00415000,415.0,10.0,,,,,,,,,
2024-08-01,SELECTED,2024-09-06,True,2.0249999999999995,1.9399999999999995,2.11,0.17000000000000037,True,True,SPY240906P00514000,514.0,SPY240906P00504000,504.0,SPY240906C00570000,570.0,SPY240906C00580000,580.0,10.0,2024-08-02,True,True,2.3399999999999994,1.0999999999999996,3.5799999999999996,2.48,True,True
2024-08-02,SELECTED,2024-09-06,True,2.195,1.27,3.12,1.85,True,True,SPY240906P00496000,496.0,SPY240906P00486000,486.0,SPY240906C00562000,562.0,SPY240906C00575000,575.0,13.0,2024-08-05,True,True,2.6599999999999993,2.35,2.97,0.6200000000000001,True,True
2024-08-05,SELECTED,2024-09-06,True,2.1849999999999987,1.83,2.5399999999999996,0.7099999999999995,True,True,SPY240906P00462000,462.0,SPY240906P00455000,455.0,SPY240906C00554000,554.0,SPY240906C00565000,565.0,11.0,2024-08-06,True,True,1.4150000000000005,1.31,1.5200000000000005,0.2100000000000004,True,True
2024-08-06,SELECTED,2024-09-13,True,2.4050000000000002,2.24,2.57,0.3299999999999996,True,True,SPY240913P00480000,480.0,SPY240913P00470000,470.0,SPY240913C00554000,554.0,SPY240913C00565000,565.0,11.0,2024-08-07,True,True,2.1499999999999995,1.96,2.34,0.3799999999999999,True,True
2024-08-07,SELECTED,2024-09-13,True,2.3249999999999993,2.13,2.52,0.3900000000000001,True,True,SPY240913P00475000,475.0,SPY240913P00465000,465.0,SPY240913C00551000,551.0,SPY240913C00562000,562.0,11.0,2024-08-08,True,True,3.164999999999999,3.0499999999999994,3.28,0.23000000000000043,True,True
2024-08-08,SELECTED,2024-09-13,True,2.1600000000000006,2.04,2.2800000000000002,0.2400000000000002,True,True,SPY240913P00495000,495.0,SPY240913P00485000,485.0,SPY240913C00560000,560.0,SPY240913C00570000,570.0,10.0,2024-08-09,True,True,1.7650000000000003,1.6700000000000002,1.86,0.18999999999999995,True,True
2024-08-09,SELECTED,2024-09-13,True,2.3050000000000006,2.2,2.41,0.20999999999999996,True,True,SPY240913P00500000,500.0,SPY240913P00490000,490.0,SPY240913C00558000,558.0,SPY240913C00570000,570.0,12.0,2024-08-12,True,True,2.1100000000000003,2.0300000000000002,2.19,0.1599999999999997,True,True
2024-08-12,SELECTED,2024-09-13,True,2.4050000000000002,2.32,2.4899999999999998,0.16999999999999993,True,True,SPY240913P00505000,505.0,SPY240913P00495000,495.0,SPY240913C00557500,557.5,SPY240913C00570000,570.0,12.5,2024-08-13,True,True,3.1350000000000002,3.04,3.2300000000000004,0.1900000000000004,True,True
2024-08-13,SELECTED,2024-09-20,True,2.1799999999999997,2.1100000000000003,2.2500000000000004,0.14000000000000012,True,True,SPY240920P00512000,512.0,SPY240920P00502000,502.0,SPY240920C00566000,566.0,SPY240920C00577000,577.0,11.0,2024-08-14,True,True,1.9899999999999998,1.9400000000000002,2.04,0.09999999999999987,True,True
2024-08-14,SELECTED,2024-09-20,True,2.0100000000000002,1.9499999999999997,2.0700000000000003,0.12000000000000055,True,True,SPY240920P00517000,517.0,SPY240920P00507000,507.0,SPY240920C00567000,567.0,SPY240920C00578000,578.0,11.0,2024-08-15,True,True,2.795,2.7399999999999998,2.8499999999999996,0.10999999999999988,True,True
2024-08-15,SELECTED,2024-09-20,True,2.0450000000000004,1.9900000000000004,2.1000000000000005,0.1100000000000001,True,True,SPY240920P00528000,528.0,SPY240920P00517000,517.0,SPY240920C00574000,574.0,SPY240920C00585000,585.0,11.0,,,,,,,,,
