scenario,asset,model,period,cagr,zero_cash_sharpe,annual_vol,max_drawdown,calmar,terminal_multiple,mean_exposure,one_way_turnover_per_year,fees_initial_capital,worst_day
base,ETH,fixed_half,2023_end,0.059918318562596884,0.7925177736474468,0.0770441742103869,-0.08672148291632442,0.6909282054183817,1.1905984157910687,0.013312107077903243,9.694058160694933,0.0918128629487484,-0.03593597730894771
base,ETH,fixed_half,2020,0.05727659107346339,1.2962159567466984,0.04366645187813695,-0.04126129760971953,1.388143233284338,1.0573975147133465,0.012317534964775159,9.001809723470036,0.02776385417290434,-0.010875203793313748
base,ETH,fixed_half,2021,0.09733025387700334,1.006269077164302,0.09686357212621412,-0.09506505956924982,1.0238278324130585,1.0972604954920098,0.019241962930615836,14.043781892136789,0.04373698605667133,-0.04325226901947121
base,ETH,fixed_half,2022,-0.12211767748540381,-0.8821836495103735,0.1367361725371442,-0.1609186270052141,-0.7588784453240889,0.8779605859512948,0.01771603625327257,12.93024326053738,0.03561955655745858,-0.08367748041353751
base,ETH,fixed_half,2023,-0.01963674173835417,-1.0300768350659293,0.01906264157569906,-0.02270830916932587,-0.8647381710338549,0.9803765661318407,0.010942990252768237,7.989522666598011,0.02362801601228661,-0.014163717134705878
base,ETH,fixed_half,2024,0.05748368470566234,0.7042796079609256,0.08423998477053071,-0.08672148291632442,0.6628540330788282,1.0576050573653843,0.012382041130974289,9.00106231273782,0.02854283092116213,-0.03593597730894771
base,ETH,fixed_half,2025,0.1488281572622554,1.412467072222863,0.1017477248610042,-0.060697969029115395,2.451946245365574,1.1482828000612142,0.016622908665129273,12.10007996206218,0.0387732818455455,-0.03499248017192913
base,MIX,fixed_half,full,0.007795897672231433,0.14530694756905044,0.07081419553216269,-0.12891398887066519,0.06047363626342196,1.0476854203897161,0.013299563541487277,9.708454056404895,0.1710424482857841,-0.07634104357961957
base,MIX,fixed_half,2020_2022,-0.016889173567361082,-0.15839900558073847,0.08453686239570947,-0.12891398887066519,-0.13101117819188257,0.950172316432242,0.014313883349377547,10.461548169754632,0.09291133002817684,-0.07634104357961957
base,MIX,fixed_half,2023_end,0.03312418740556722,0.6331382402975475,0.05368775388938965,-0.07784781136763352,0.42549927639120666,1.1026267575586937,0.012284317414137744,8.954672185874013,0.0822283673249692,-0.030221030872225385
base,MIX,fixed_half,2020,-0.03277135461430036,-0.49780039545734245,0.06284304518762969,-0.08441835419760013,-0.3882017711171156,0.9671624702165862,0.012802594918424115,9.390361250550749,0.02759944655901144,-0.05080125332929142
base,MIX,fixed_half,2021,0.07362676395638879,1.1605990094542586,0.06287185478168247,-0.07127015472326603,1.033065863856662,1.0735745591754833,0.014306341634064157,10.435897245393699,0.032273142657804024,-0.0324249989192017
base,MIX,fixed_half,2022,-0.08495103127862325,-0.7027643499326762,0.11640938140868859,-0.12075081939980015,-0.7035234352932586,0.9151045733816524,0.01583685401189356,11.561320772002196,0.032840046914154396,-0.07634104357961957
base,MIX,fixed_half,2023,0.0016468600387420373,0.09479005882260605,0.019295617491697135,-0.01657226855912397,0.09937444791379198,1.001645731897441,0.010969165577476512,8.010141407090416,0.023770736133538927,-0.007594591632612779
base,MIX,fixed_half,2024,0.0010233680028293168,0.04672534648893696,0.059419097550881296,-0.07784781136763352,0.013145751753976715,1.001025470451578,0.012319711621347595,8.976008489952081,0.027192261003700015,-0.030221030872225385
base,MIX,fixed_half,2025,0.10004632861430562,1.417049245114722,0.06889652711746294,-0.03887855037867061,2.573303984841797,1.0996874140682085,0.013567493624419464,9.880344292916426,0.03113739219226439,-0.027146407333216382
base,BTC,recent24_raw,full,-0.01967870298066221,-0.19332064950371128,0.08388378348324534,-0.22609034430385966,-0.0870391127991496,0.8876105212263976,0.01623295309145578,11.84391768448962,0.1857371559727674,-0.1298588002897948
base,BTC,recent24_raw,2020_2022,-0.04529286357702189,-0.3918337351676432,0.10378862288675426,-0.20486663727099463,-0.22108462451652947,0.8701552176270855,0.014985368428618742,10.935892898032126,0.08704869271920537,-0.1298588002897948
base,BTC,recent24_raw,2023_end,0.006647007773729063,0.143726972696682,0.05745114272982032,-0.10723064485126499,0.06198794927465783,1.0200599884316188,0.017481677101016863,12.752771717327432,0.11341478078208347,-0.03609868390650317
base,BTC,recent24_raw,2020,-0.1517193829261657,-0.9698787766609365,0.15614945112255108,-0.19964566777446768,-0.7599432765931965,0.8479940550138014,0.020900810053460128,15.28361739700057,0.04185333197556027,-0.1298588002897948
base,BTC,recent24_raw,2021,0.025312445887367696,0.6668185345470077,0.038577415177971065,-0.04660017397481453,0.5431835061613295,1.025294903165087,0.0079864943688276,5.809789852822884,0.017587301999360868,-0.023498843733066543
base,BTC,recent24_raw,2022,0.0008185949504704304,0.050210138159874344,0.08009843820556581,-0.0572687978060068,0.014293908407914401,1.0008180344236541,0.016052594174185374,11.70235987030315,0.034828503978702366,-0.03610935470998611
base,BTC,recent24_raw,2023,0.025994218583162976,0.5892708624923721,0.04520945023070282,-0.02203720387264463,1.1795606526756461,1.0259761974010027,0.018774462592178187,13.697850162027827,0.04067577831998896,-0.006636552689694097
base,BTC,recent24_raw,2024,-0.06058600727179542,-0.8549133113878944,0.07016908562180398,-0.10723064485126499,-0.5650064620597186,0.9392934410292954,0.016680631207040133,12.179610192003315,0.03461294682645267,-0.03609868390650317
base,BTC,recent24_raw,2025,0.05869756712018037,1.080394186687828,0.05409524030007054,-0.0379957777931903,1.5448444677108386,1.0584909222699792,0.016990787246405875,12.381407667747713,0.03862947431172807,-0.02143127683205781
base,ETH,recent24_raw,full,0.010337534817957739,0.18097667463673875,0.0703761899915498,-0.17488253184419478,0.05911130579449518,1.0636354699681423,0.015901121266608607,11.593557273246109,0.2060583721105302,-0.04683091135176998
base,ETH,recent24_raw,2020_2022,-0.013068385758512768,-0.15390543251244954,0.06959951279481882,-0.13056243643042154,-0.10009299853619907,0.9612963036459257,0.015530009856606868,11.334041093034482,0.10338377914523877,-0.04683091135176998
base,ETH,recent24_raw,2023_end,0.03432068654903131,0.5088287206153563,0.07115568206534843,-0.07376215424213817,0.4652885602604174,1.1064595441947223,0.016272571591140025,11.853310454535551,0.10680847577991893,-0.031219145165468976
base,ETH,recent24_raw,2020,0.02749902724656872,0.6640696832842125,0.042150676582870805,-0.061987975522408756,0.4436187343564362,1.0275562643778793,0.012796433953537939,9.344052867214922,0.02821303150754037,-0.020295109694983382
base,ETH,recent24_raw,2021,0.02561359790066864,0.3826567457584963,0.07301442096036509,-0.07383041409658253,0.3469247492931811,1.0255958438717472,0.01609073231480593,11.736136577383322,0.035507480470301195,-0.03580585645179024
base,ETH,recent24_raw,2022,-0.08788822295706122,-1.022572340698409,0.08622540224398365,-0.10281853953461051,-0.8547896454751385,0.9121692105115693,0.017710352550526238,12.927385857041697,0.03670782441417911,-0.04683091135176998
base,ETH,recent24_raw,2023,-0.0412428646334706,-1.1217971228931387,0.03690536994412022,-0.04434713875731944,-0.930000577019493,0.9587847746685969,0.018411625776106035,13.433492810032556,0.03914162902983947,-0.028327434269411866
base,ETH,recent24_raw,2024,0.008303971858605319,0.16670378641745046,0.06044844775515139,-0.07376215424213817,0.1125776754207309,1.0083210938824023,0.012441862785547889,9.047234989488645,0.027839049957252882,-0.02985466533445802
base,ETH,recent24_raw,2025,0.14502995266722385,1.3911402143092135,0.10085129159254831,-0.052640933349229146,2.755079430394401,1.1444993695503904,0.017979397539860158,13.09028040082884,0.0423839071272466,-0.031219145165468976
base,MIX,recent24_raw,full,-0.004105660985062487,-0.033878781001317464,0.06277437399539486,-0.16499312337176597,-0.02488383092070768,0.97562299559727,0.016069348241775444,11.731924272524411,0.19589776404164883,-0.06549454810454769
base,MIX,recent24_raw,2020_2022,-0.02891319948983595,-0.38077878815217947,0.07038499070044883,-0.12586234810065244,-0.22972080154355606,0.9157257606365056,0.01529534601883405,11.17996008312607,0.09521623593222207,-0.06549454810454769
base,MIX,recent24_raw,2023_end,0.021359143448366424,0.41721422367453326,0.054097404488198816,-0.07712440436315371,0.27694403120176037,1.065409577338013,0.016844057316061988,12.284392538808044,0.1099472488787961,-0.029673427202315472
base,MIX,recent24_raw,2020,-0.06210137434545837,-0.7449726655295367,0.08142773590168714,-0.11363025338125421,-0.5465214808339356,0.9377751596958404,0.01657473999864171,12.147100851867135,0.03503318174155032,-0.06549454810454769
base,MIX,recent24_raw,2021,0.025477437794295676,0.5118067225669133,0.05174141052071001,-0.05387868764476356,0.4728667105307977,1.0254597793111109,0.01241946591870674,9.05575973947147,0.027405215950374862,-0.03016149306458704
base,MIX,recent24_raw,2022,-0.047788286174553773,-0.6183765716343547,0.0745997386795829,-0.06665625609686898,-0.7169362483411142,0.9522436293427443,0.016888326950167922,12.334369957303332,0.03585826239038993,-0.04196312102468358
