asset,timeframe,model,year,observations,log_variance_mse,variance_qlike
ETH,4,ewma_calibrated,2021,365,0.5004684902415928,0.4069594029037654
ETH,4,ewma_calibrated,2022,365,0.6275483166116315,0.36761590602685507
ETH,4,ewma_calibrated,2023,354,1.0611520859361752,0.534240037417525
ETH,4,ewma_calibrated,2024,366,0.7313052396153762,0.4593724962794209
ETH,4,ewma_calibrated,2025,353,0.7695979400846377,0.439719740849235
ETH,4,ewma_raw,all,2136,0.7810679792751823,0.4425794677360747
ETH,4,ewma_raw,2020,333,0.7557913172349559,0.4550131667685886
ETH,4,ewma_raw,2021,365,0.4653318804408604,0.28569007448640227
ETH,4,ewma_raw,2022,365,0.6881536488397443,0.3542388317323817
ETH,4,ewma_raw,2023,354,1.0731070269456648,0.6838704220524623
ETH,4,ewma_raw,2024,366,0.8304700566987286,0.46362172663103446
ETH,4,ewma_raw,2025,353,0.8833669932425734,0.42062500404229214
ETH,4,full_linear,all,2136,0.7683053965560289,0.4388957148428659
ETH,4,full_linear,2020,333,0.7269396632546897,0.49059717952762605
ETH,4,full_linear,2021,365,0.46865135433964294,0.32897390553857414
ETH,4,full_linear,2022,365,0.6766147191894958,0.388542129495525
ETH,4,full_linear,2023,354,1.3270136656638807,0.4701594519833859
ETH,4,full_linear,2024,366,0.7025716303321264,0.5022495159186184
ETH,4,full_linear,2025,353,0.71983922944804,0.4588081147475437
ETH,4,recent24_calibrated,all,2136,0.7928695152937476,0.4573530008007534
ETH,4,recent24_calibrated,2020,333,0.7008373033797238,0.5237744605088136
ETH,4,recent24_calibrated,2021,365,0.5622918514169672,0.46261722583143106
ETH,4,recent24_calibrated,2022,365,0.6726647656009405,0.36436114422642807
ETH,4,recent24_calibrated,2023,354,1.2458381917405639,0.49732898517665364
ETH,4,recent24_calibrated,2024,366,0.7850998145152039,0.44197807933607774
ETH,4,recent24_calibrated,2025,353,0.7961984290134174,0.4612565764881475
ETH,4,recent24_raw,all,2136,0.9463172917593219,0.6546470964117765
ETH,4,recent24_raw,2020,333,0.9022043260638286,0.6317202911474659
ETH,4,recent24_raw,2021,365,0.5909109123414388,0.42112524854191885
ETH,4,recent24_raw,2022,365,0.8143325296835191,0.5007981484906936
ETH,4,recent24_raw,2023,354,1.275430665664131,0.9804961985837526
ETH,4,recent24_raw,2024,366,1.0312644686677894,0.7080174636476403
ETH,4,recent24_raw,2025,353,1.0737693685610021,0.6947061050222676
