scenario,asset,regime,entry_year,trades,mean_net_trade_return,median_net_trade_return,win_fraction,geometric_break_even_one_way_bps,top5_positive_pnl_share,terminal_multiple_without_top5
frictionless,ETH,HIGH_VOL,2020,4,-0.003741141475096993,-0.0013176829197333872,0.5,,1.0,0.9688514081618201
frictionless,ETH,HIGH_VOL,2021,8,0.03410487907718136,0.029840467987349628,0.75,163.63580044705293,0.9652667361983952,0.9792604778465761
frictionless,ETH,HIGH_VOL,2022,4,-0.014873295509732376,0.002318271948378914,0.5,,1.0,0.82985711142776
frictionless,ETH,HIGH_VOL,2023,0,,,,,,1.0
frictionless,ETH,HIGH_VOL,2024,2,0.06771548976359887,0.06771548976359887,1.0,327.31011278122696,1.0,1.0
frictionless,ETH,HIGH_VOL,2025,2,0.04122544208517631,0.04122544208517631,1.0,201.8350352579711,1.0,1.0
frictionless,ETH,UNKNOWN,all,0,,,,,,1.0
frictionless,ETH,UNKNOWN,2020,0,,,,,,1.0
frictionless,ETH,UNKNOWN,2021,0,,,,,,1.0
frictionless,ETH,UNKNOWN,2022,0,,,,,,1.0
frictionless,ETH,UNKNOWN,2023,0,,,,,,1.0
frictionless,ETH,UNKNOWN,2024,0,,,,,,1.0
frictionless,ETH,UNKNOWN,2025,0,,,,,,1.0
base,BTC,TREND_UP,all,12,-0.002317736000972163,-0.0027940385024637915,0.4166666666666667,16.82734619118491,1.0,0.8813980741161839
base,BTC,TREND_UP,2020,3,-0.012581114740216393,-0.0150304889547348,0.3333333333333333,,1.0,0.9242777382908887
base,BTC,TREND_UP,2021,0,,,,,,1.0
base,BTC,TREND_UP,2022,2,0.009618316739521793,0.009618316739521793,0.5,77.4619207933064,1.0,0.9968736837609723
base,BTC,TREND_UP,2023,4,0.0017673532741564468,-0.0009918756767546277,0.5,38.63543935288973,1.0,0.9903081412027338
base,BTC,TREND_UP,2024,2,-0.01711650240026713,-0.01711650240026713,0.0,,,0.9659599572541712
base,BTC,TREND_UP,2025,1,0.01785747043384811,0.01785747043384811,1.0,118.49403832706334,1.0,1.0
base,BTC,TREND_DOWN,all,15,0.0009584419345625373,0.004467233030533313,0.5333333333333333,33.53238953224173,0.811740993304996,0.8987279442644676
base,BTC,TREND_DOWN,2020,2,-0.007297091168407099,-0.007297091168407099,0.5,,1.0,0.9752627089660125
base,BTC,TREND_DOWN,2021,2,0.009050542785018156,0.009050542785018156,1.0,74.99626479198042,1.0,1.0
