scenario,gap_mode,regime_filter,asset,accounting_max_relative_error,replay_max_relative_error,cancelled_missing_entries,held_stale_marks,ignored_signals,deferred_exits,trades,win_fraction,geometric_break_even_one_way_bps,top5_positive_pnl_share,terminal_multiple_without_top5,combination
base,original,TREND_DOWN,ETH,2.1282519267429842e-16,0.0,0.0,0.0,0.0,0.0,14,0.5714285714285714,101.29193942128006,0.9743454493067054,0.913943701295768,
base,original,TREND_DOWN,MIX,,,,,,,29,0.5517241379310345,,0.7203758515865721,0.9517909553968709,"equal initial capital, no sleeve rebalancing"
base,original,RANGE,BTC,1.8661380510813655e-16,0.0,0.0,0.0,0.0,0.0,3,0.3333333333333333,18.681791133549993,1.0,0.9386505079983749,
base,original,RANGE,ETH,1.857109231530745e-16,0.0,0.0,0.0,0.0,0.0,1,1.0,552.7253895994414,1.0,1.0,
base,original,RANGE,MIX,,,,,,,4,0.5,,1.0,0.9693252539991875,"equal initial capital, no sleeve rebalancing"
base,original,VOL_COMPRESSION,BTC,2.1195481357826796e-16,2.2198776076277403e-16,0.0,0.0,0.0,0.0,5,0.2,22.242282854097233,1.0,0.986256917350378,
base,original,VOL_COMPRESSION,ETH,2.0557239084289876e-16,1.1183781916431205e-16,0.0,0.0,0.0,0.0,3,0.3333333333333333,21.05115946738846,1.0,0.9899799617082305,
base,original,VOL_COMPRESSION,MIX,,,,,,,8,0.25,,1.0,0.9881184395293043,"equal initial capital, no sleeve rebalancing"
base,original,VOL_EXPANSION,BTC,2.2307921892637757e-16,2.465949731418975e-16,0.0,0.0,1.0,0.0,9,0.6666666666666666,46.22351848325847,0.97089012355255,0.8870054551259623,
base,original,VOL_EXPANSION,ETH,1.9057863896082878e-16,3.0275722377874335e-16,0.0,0.0,0.0,0.0,19,0.5263157894736842,,0.8201674040273217,0.6475138935605437,
base,original,VOL_EXPANSION,MIX,,,,,,,28,0.5714285714285714,,0.6027183738269678,0.8127004899141808,"equal initial capital, no sleeve rebalancing"
base,original,HIGH_VOL,BTC,1.5352302762394743e-16,1.534550276239949e-16,0.0,0.0,0.0,0.0,7,0.42857142857142855,,1.0,0.7188099463133579,
base,original,HIGH_VOL,ETH,2.5375353578388224e-16,2.3668902043221076e-16,0.0,1.0,0.0,0.0,20,0.65,96.19087902232879,0.6138756562852364,0.9315832585357386,
base,original,HIGH_VOL,MIX,,,,,,,27,0.5925925925925926,,0.5420238918989556,0.8639959286922625,"equal initial capital, no sleeve rebalancing"
