policy,family,profile,band,role,scenario,period,first_date,last_date,executed_rebalances,skipped_rebalances,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days
state_rule_vol20_band2,state_rule,0.20000000000000001,0.02,candidate,base,2020_2021,2020-01-01,2021-12-31,329,402,0.5429991911191121,2.0430468674629925,-0.18837609780784215,0.22440385209897498,2.8825270161027134,0.38293195382215156,2.3794333163752208,0.26537802861104137,4.0623375629176905,0.012186993998074602,-0.10840385880297487,162
state_rule_vol20_band2,state_rule,0.20000000000000001,0.02,candidate,base,2022_2024,2022-01-01,2024-12-31,369,727,0.14186025539293645,0.82033544595909813,-0.16706082281207069,0.1814645916699493,0.84915333831748963,0.099467739688441359,1.488403109209264,0.31100802683980999,6.2525871082526523,0.018757706662797941,-0.047033238038877268,556
state_rule_vol20_band2,state_rule,0.20000000000000001,0.02,candidate,base,2020_2024_carry,2020-01-01,2024-12-31,698,1129,0.28781612752490981,1.3646851636180026,-0.23412491267200841,0.19985417618450221,1.2293272178519457,0.21282549151850944,3.5415559462489861,0.29275103247460482,5.3735428830594554,0.016120588397786528,-0.10840385880297487,754
trend_vol40_exact,trend,0.40000000000000002,0,control,base,full,2018-01-03,2024-12-31,2555,0,0.28188826272021927,0.88616866663606386,-0.40163302137638768,0.34948654838455279,0.70185529505067656,0.12649275733655682,5.6772652261523593,0.45617122953875372,10.840091065646387,0.03252015728876937,-0.21361072943420367,827
trend_vol40_exact,trend,0.40000000000000002,0,control,base,2018_2019,2018-01-03,2019-12-31,728,0,-0.097997412804821882,-0.20097606537990481,-0.37572859755438159,0.29522316667140308,-0.26081968059574728,-0.19006786765585104,0.81441316769702921,0.32272030315444628,8.0841468824389118,0.024252467192901986,-0.070102989559009954,528
trend_vol40_exact,trend,0.40000000000000002,0,control,base,2020_2021,2020-01-01,2021-12-31,731,0,1.0959405565818807,1.8817915958356808,-0.35141904146850256,0.4469450090497108,3.11861460893578,0.54141760015877904,4.3885189590632079,0.52041521034411331,11.195935557550179,0.03358748108389558,-0.21361072943420367,166
trend_vol40_exact,trend,0.40000000000000002,0,control,base,2022_2024,2022-01-01,2024-12-31,1096,0,0.16691178072603963,0.65707907685302835,-0.29093036685714846,0.30503712957044066,0.57371728681728174,0.060862039879182095,1.58846049340105,0.50196495621672643,12.452406247594663,0.037357147831080781,-0.081295344628158683,701
trend_vol40_exact,trend,0.40000000000000002,0,control,base,2020_2024_carry,2020-01-01,2024-12-31,1827,0,0.4746262843407052,1.2388729533996614,-0.3897008574265538,0.36868444119396926,1.2179246601482192,0.25286085676671244,6.970988991013404,0.5093470775999337,11.943273712008644,0.035829648448125528,-0.21361072943420367,827
allocation_vol40_exact,allocation,0.40000000000000002,0,control,base,full,2018-01-03,2024-12-31,2555,0,0.29344114046981384,0.81046856856339444,-0.63847491989477434,0.43460061092669749,0.45959697292130947,0.068913598507749196,6.0448474082074277,0.62322088872183568,4.7907884454031286,0.014372315118990146,-0.22364378971620535,942
allocation_vol40_exact,allocation,0.40000000000000002,0,control,base,2018_2019,2018-01-03,2019-12-31,728,0,-0.21292864022762181,-0.35422093589884124,-0.63847491989477434,0.42197102260696673,-0.33349569981967986,-0.41656028642998477,0.62090429116472778,0.51581023700749207,4.9818725947045168,0.014945630841076325,-0.12074708167622261,717
allocation_vol40_exact,allocation,0.40000000000000002,0,control,base,2020_2021,2020-01-01,2021-12-31,731,0,1.3442483385503392,2.0877563695372321,-0.3622901126871757,0.45924661774453346,3.710419609797766,0.64243386751988973,5.4890947372941152,0.54466911954741903,4.9769191740835961,0.014930600133965849,-0.22364378971620535,163
allocation_vol40_exact,allocation,0.40000000000000002,0,control,base,2022_2024,2022-01-01,2024-12-31,1096,0,0.21062638672644884,0.66107292399206574,-0.51370983031192352,0.42493914865714139,0.41001042670053045,0.010055845429291388,1.7736174564182714,0.74695838663656255,4.548585676829572,0.013645736159491578,-0.11485850586950641,700
allocation_vol40_exact,allocation,0.40000000000000002,0,control,base,2020_2024_carry,2020-01-01,2024-12-31,1827,0,0.5765189657570946,1.2571300061369337,-0.59184383724087841,0.43920810416560108,0.97410656237424564,0.26278604853798099,9.7355542459984896,0.66602053538195727,4.7173342350544401,0.014151927268586169,-0.22364378971620535,825
fixed_blend_vol40_exact,fixed_blend,0.40000000000000002,0,candidate,base,full,2018-01-03,2024-12-31,2555,0,0.29514766740360754,0.8701044181805917,-0.5124785861029586,0.38102251652481522,0.57592195148679137,0.11376213790617462,6.1008360187879376,0.53969337840062992,7.6289013960102814,0.022886613213968784,-0.21862734582536902,930
fixed_blend_vol40_exact,fixed_blend,0.40000000000000002,0,candidate,base,2018_2019,2018-01-03,2019-12-31,728,0,-0.15108638274742336,-0.30259827408012546,-0.5124785861029586,0.344207809850685,-0.29481501636259516,-0.28187521372902524,0.72178634897936556,0.41922255157655541,6.4503399105660684,0.019351053946166406,-0.090733734900776852,717
fixed_blend_vol40_exact,fixed_blend,0.40000000000000002,0,candidate,base,2020_2021,2020-01-01,2021-12-31,731,0,1.2198770540336685,1.9935039405952815,-0.3568130587608086,0.45189296223492487,3.418812804302152,0.59453952696641466,4.9224775682229227,0.5325667332607501,7.7797648766628713,0.02333902334017696,-0.21862734582536902,163
