policy,comparator,scenario,period,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
state_rule_vol20_band2,allocation_vol20_band2,frictionless,full,0.023831694712178164,0.179119555158752,0.12355842564404895,-0.022341495616928109
state_rule_vol20_band2,fixed_blend_vol20_band2,frictionless,full,0.01234159266524304,0.080950418944003233,0.058715587073807973,-0.007008703907723679
state_rule_vol20_band2,trend_vol20_band2,frictionless,2018_2019,7.4244818666691081e-05,0.00077655125332501407,0.0015417333432463654,0.00020963245127367247
state_rule_vol20_band2,allocation_vol20_band2,frictionless,2018_2019,0.044471476837458668,0.18411472447598376,0.12355842564404895,-0.030134202942198041
state_rule_vol20_band2,fixed_blend_vol20_band2,frictionless,2018_2019,0.02364996687778409,0.11906814853453582,0.058715587073807973,-0.0090788869267543482
state_rule_vol20_band2,trend_vol20_band2,frictionless,2020_2021,0.00065985338435581298,-0.0020282779036500109,-0.0067607568687230168,0.00048463603726764393
state_rule_vol20_band2,allocation_vol20_band2,frictionless,2020_2021,-0.0098100504293783253,-0.018366198747682194,-4.4408920985006262e-16,-0.0011288330023609128
state_rule_vol20_band2,fixed_blend_vol20_band2,frictionless,2020_2021,-0.008228520299297104,-0.019359258268952129,-0.003401768742427369,-0.00046940247249011025
state_rule_vol20_band2,trend_vol20_band2,frictionless,2022_2024,0.0069003337087021333,0.029398048303425961,-0.00079078251719955084,0.0008523404225329323
state_rule_vol20_band2,allocation_vol20_band2,frictionless,2022_2024,0.022677460026457652,0.20472632700533144,0.12524093640666911,-0.033525700493848565
state_rule_vol20_band2,fixed_blend_vol20_band2,frictionless,2022_2024,0.012918494502662137,0.10002164457385576,0.05626039118698245,-0.010951833963128155
state_rule_vol20_band2,trend_vol20_band2,frictionless,2020_2024_carry,0.0048803790411806602,0.014581473558643365,-0.00098724868946553634,0.00067580851103535289
state_rule_vol20_band2,allocation_vol20_band2,frictionless,2020_2024_carry,0.012115597346667339,0.15232487935994321,0.11875525157509659,-0.019510253479586098
state_rule_vol20_band2,fixed_blend_vol20_band2,frictionless,2020_2024_carry,0.0059998428405818593,0.060144022525689511,0.054596146309318527,-0.0062684405954223366
