policy,comparator,scenario,year,state_return,comparator_return,return_difference
state_rule_vol20_exact,allocation_vol20_exact,delay_one_day,2019,0.095339505560473992,0.18963107785990641,-0.094291572299432413
state_rule_vol20_exact,allocation_vol20_exact,delay_one_day,2020,0.66972964510994482,0.74901189521917666,-0.079282250109231844
state_rule_vol20_exact,allocation_vol20_exact,delay_one_day,2021,0.38694586325872282,0.38868412295706167,-0.001738259698338851
state_rule_vol20_exact,allocation_vol20_exact,delay_one_day,2022,-0.13820989255155103,-0.25910293092605097,0.12089303837449994
state_rule_vol20_exact,allocation_vol20_exact,delay_one_day,2023,0.2995039212742594,0.47611500769007953,-0.17661108641582013
state_rule_vol20_exact,allocation_vol20_exact,delay_one_day,2024,0.3212644038679715,0.31930240019448841,0.0019620036734830926
state_rule_vol20_exact,fixed_blend_vol20_exact,delay_one_day,2018,-0.21682526804447733,-0.26453916410829514,0.047713896063817818
state_rule_vol20_exact,fixed_blend_vol20_exact,delay_one_day,2019,0.095339505560473992,0.14328701725674442,-0.047947511696270428
state_rule_vol20_exact,fixed_blend_vol20_exact,delay_one_day,2020,0.66972964510994482,0.71205902392978659,-0.042329378819841779
state_rule_vol20_exact,fixed_blend_vol20_exact,delay_one_day,2021,0.38694586325872282,0.38310552488145055,0.0038403383772722677
state_rule_vol20_exact,fixed_blend_vol20_exact,delay_one_day,2022,-0.13820989255155103,-0.19778525168640448,0.059575359134853456
state_rule_vol20_exact,fixed_blend_vol20_exact,delay_one_day,2023,0.2995039212742594,0.385240875301053,-0.085736954026793599
state_rule_vol20_exact,fixed_blend_vol20_exact,delay_one_day,2024,0.3212644038679715,0.31606864122708256,0.0051957626408889457
state_rule_vol20_band2,trend_vol20_band2,frictionless,2018,-0.19259482777391601,-0.19424914756155875,0.001654319787642744
state_rule_vol20_band2,trend_vol20_band2,frictionless,2019,0.15893702682920163,0.16113905294445052,-0.0022020261152488896
state_rule_vol20_band2,trend_vol20_band2,frictionless,2020,0.74433185029932503,0.75654500268138136,-0.012213152382056336
state_rule_vol20_band2,trend_vol20_band2,frictionless,2021,0.39773239919377912,0.38684233112149746,0.010890068072281656
state_rule_vol20_band2,trend_vol20_band2,frictionless,2022,-0.14245584025502867,-0.14219945397145473,-0.00025638628357393944
state_rule_vol20_band2,trend_vol20_band2,frictionless,2023,0.3728189764482952,0.34092816650698254,0.031890809941312659
state_rule_vol20_band2,trend_vol20_band2,frictionless,2024,0.33745392301275379,0.34465850052567415,-0.0072045775129203626
state_rule_vol20_band2,allocation_vol20_band2,frictionless,2018,-0.19259482777391601,-0.28891298298607859,0.096318155212162582
state_rule_vol20_band2,allocation_vol20_band2,frictionless,2019,0.15893702682920163,0.19822632288118625,-0.039289296051984612
state_rule_vol20_band2,allocation_vol20_band2,frictionless,2020,0.74433185029932503,0.77495278550303648,-0.030620935203711452
state_rule_vol20_band2,allocation_vol20_band2,frictionless,2021,0.39773239919377912,0.39091615917759515,0.006816240016183972
state_rule_vol20_band2,allocation_vol20_band2,frictionless,2022,-0.14245584025502867,-0.25449388060495348,0.11203804034992482
state_rule_vol20_band2,allocation_vol20_band2,frictionless,2023,0.3728189764482952,0.4881845996865215,-0.1153656232382263
state_rule_vol20_band2,allocation_vol20_band2,frictionless,2024,0.33745392301275379,0.33786699191546621,-0.00041306890271242125
state_rule_vol20_band2,fixed_blend_vol20_band2,frictionless,2018,-0.19259482777391601,-0.24392266259687623,0.051327834822960217
state_rule_vol20_band2,fixed_blend_vol20_band2,frictionless,2019,0.15893702682920163,0.17810760850734719,-0.01917058167814556
state_rule_vol20_band2,fixed_blend_vol20_band2,frictionless,2020,0.74433185029932503,0.77199110592903208,-0.027659255629707058
state_rule_vol20_band2,fixed_blend_vol20_band2,frictionless,2021,0.39773239919377912,0.39044038867524677,0.0072920105185323436
state_rule_vol20_band2,fixed_blend_vol20_band2,frictionless,2022,-0.14245584025502867,-0.19862377946552068,0.056167939210492013
state_rule_vol20_band2,fixed_blend_vol20_band2,frictionless,2023,0.3728189764482952,0.41462272038248371,-0.041803743934188509
state_rule_vol20_band2,fixed_blend_vol20_band2,frictionless,2024,0.33745392301275379,0.34318026513698685,-0.0057263421242330637
state_rule_vol20_band2,trend_vol20_band2,base,2018,-0.20554890922542224,-0.20826385845054263,0.0027149492251203888
state_rule_vol20_band2,trend_vol20_band2,base,2019,0.1383389134453743,0.14046161847927063,-0.0021227050338963327
state_rule_vol20_band2,trend_vol20_band2,base,2020,0.71487523707774248,0.71430073122854609,0.00057450584919638281
state_rule_vol20_band2,trend_vol20_band2,base,2021,0.38752561406737174,0.37262394341517058,0.01490167065220116
state_rule_vol20_band2,trend_vol20_band2,base,2022,-0.15677968560266775,-0.15681087413877015,3.1188536102400022e-05
state_rule_vol20_band2,trend_vol20_band2,base,2023,0.3363446749129495,0.29064194723136771,0.04570272768158179
state_rule_vol20_band2,trend_vol20_band2,base,2024,0.32087287086077065,0.31975301812953738,0.0011198527312332729
state_rule_vol20_band2,allocation_vol20_band2,base,2018,-0.20554890922542224,-0.29408878486635104,0.0885398756409288
state_rule_vol20_band2,allocation_vol20_band2,base,2019,0.1383389134453743,0.1905170248369692,-0.052178111391594895
state_rule_vol20_band2,allocation_vol20_band2,base,2020,0.71487523707774248,0.7635424927447243,-0.048667255666981823
state_rule_vol20_band2,allocation_vol20_band2,base,2021,0.38752561406737174,0.38299190633279512,0.0045337077345766197
state_rule_vol20_band2,allocation_vol20_band2,base,2022,-0.15677968560266775,-0.25856989786619011,0.10179021226352236
state_rule_vol20_band2,allocation_vol20_band2,base,2023,0.3363446749129495,0.47609757465641622,-0.13975289974346672
state_rule_vol20_band2,allocation_vol20_band2,base,2024,0.32087287086077065,0.32802699705344329,-0.0071541261926726385
state_rule_vol20_band2,fixed_blend_vol20_band2,base,2018,-0.20554890922542224,-0.25250121196578335,0.046952302740361107
state_rule_vol20_band2,fixed_blend_vol20_band2,base,2019,0.1383389134453743,0.16460553512843634,-0.026266621683062041
state_rule_vol20_band2,fixed_blend_vol20_band2,base,2020,0.71487523707774248,0.74689636473243803,-0.032021127654695558
state_rule_vol20_band2,fixed_blend_vol20_band2,base,2021,0.38752561406737174,0.37966341354232469,0.0078622005250470473
state_rule_vol20_band2,fixed_blend_vol20_band2,base,2022,-0.15677968560266775,-0.20666406952841743,0.049884383925749676
state_rule_vol20_band2,fixed_blend_vol20_band2,base,2023,0.3363446749129495,0.3836301778827973,-0.047285502969847792
state_rule_vol20_band2,fixed_blend_vol20_band2,base,2024,0.32087287086077065,0.32624929949876602,-0.0053764286379953674
state_rule_vol20_band2,trend_vol20_band2,cost_stress,2018,-0.22458948840730086,-0.22882838186550469,0.0042388934582038296
state_rule_vol20_band2,trend_vol20_band2,cost_stress,2019,0.10812520796981229,0.11013235116633746,-0.002007143196525174
state_rule_vol20_band2,trend_vol20_band2,cost_stress,2020,0.67161479446903605,0.65282659597001413,0.018788198499021913
state_rule_vol20_band2,trend_vol20_band2,cost_stress,2021,0.37235340340778644,0.35156684865693455,0.020786554750851893
state_rule_vol20_band2,trend_vol20_band2,cost_stress,2022,-0.17782173157215586,-0.17826631782108315,0.00044458624892729226
state_rule_vol20_band2,trend_vol20_band2,cost_stress,2023,0.28343061243356327,0.21870369310062787,0.064726919332935395
state_rule_vol20_band2,trend_vol20_band2,cost_stress,2024,0.296378546074064,0.28325148574731807,0.013127060326745932
state_rule_vol20_band2,allocation_vol20_band2,cost_stress,2018,-0.22458948840730086,-0.30177969341093136,0.077190205003630497
state_rule_vol20_band2,allocation_vol20_band2,cost_stress,2019,0.10812520796981229,0.17904720505856142,-0.070921997088749134
state_rule_vol20_band2,allocation_vol20_band2,cost_stress,2020,0.67161479446903605,0.746557503128783,-0.074942708659746948
state_rule_vol20_band2,allocation_vol20_band2,cost_stress,2021,0.37235340340778644,0.37118889999641524,0.0011645034113711983
state_rule_vol20_band2,allocation_vol20_band2,cost_stress,2022,-0.17782173157215586,-0.26464073485766204,0.08681900328550618
state_rule_vol20_band2,allocation_vol20_band2,cost_stress,2023,0.28343061243356327,0.458151316874855,-0.17472070444129173
state_rule_vol20_band2,allocation_vol20_band2,cost_stress,2024,0.296378546074064,0.31339631317761873,-0.017017767103554737
state_rule_vol20_band2,fixed_blend_vol20_band2,cost_stress,2018,-0.22458948840730086,-0.26518399166547846,0.040594503258177594
state_rule_vol20_band2,fixed_blend_vol20_band2,cost_stress,2019,0.10812520796981229,0.14464391084119299,-0.036518702871380704
state_rule_vol20_band2,fixed_blend_vol20_band2,cost_stress,2020,0.67161479446903605,0.70991107245468155,-0.038296277985645499
state_rule_vol20_band2,fixed_blend_vol20_band2,cost_stress,2021,0.37235340340778644,0.36365211345269421,0.0087012899550922285
state_rule_vol20_band2,fixed_blend_vol20_band2,cost_stress,2022,-0.17782173157215586,-0.21857379366382168,0.040752062091665819
state_rule_vol20_band2,fixed_blend_vol20_band2,cost_stress,2023,0.28343061243356327,0.33840671770068953,-0.054976105267126263
state_rule_vol20_band2,fixed_blend_vol20_band2,cost_stress,2024,0.296378546074064,0.30124644807244083,-0.0048679019983768335
state_rule_vol20_band2,trend_vol20_band2,delay_one_day,2018,-0.20689279561209328,-0.2106097033409009,0.0037169077288076169
state_rule_vol20_band2,trend_vol20_band2,delay_one_day,2019,0.091128923287641106,0.093678408244686651,-0.0025494849570455447
state_rule_vol20_band2,trend_vol20_band2,delay_one_day,2020,0.67286839587903202,0.67237633453117773,0.00049206134785428901
state_rule_vol20_band2,trend_vol20_band2,delay_one_day,2021,0.37870758121212345,0.36556419557954678,0.013143385632576665
state_rule_vol20_band2,trend_vol20_band2,delay_one_day,2022,-0.14128180039672111,-0.14097906678833627,-0.00030273360838484198
