year,asset,model,rows,dates,mse,mae,correlation
all,GLD,selected,364,364,0.00038235452699962716,0.014009145987774942,0.06333816158943596
all,GLD,zero,364,364,0.00038424525971811005,0.014042519308240912,
all,GLD,past_mean,364,364,0.0003815977731682229,0.013970688063072886,-0.01555988175936208
2018,pooled,ridge1,156,52,0.0005517189916585887,0.017360798994701165,0.04728921263901966
2018,pooled,ridge100,156,52,0.0005474462951128247,0.017314361417773042,0.052148306074333094
2018,pooled,gbm2,156,52,0.0005508246085430864,0.017365934409252503,0.018323003669441687
2018,pooled,gbm3,156,52,0.0005525924274129302,0.01731878899331611,0.05108516212809968
2018,pooled,mlp16,156,52,0.0006007950365727177,0.017969327879817747,0.03718565489456536
2018,pooled,mlp32,156,52,0.0006777839474323284,0.01902739054777329,0.07166227548533548
2018,pooled,sequence16,156,52,0.0007099463665411099,0.019751667997191677,-0.09419363713271132
2018,pooled,sequence32,156,52,0.0008379948210543078,0.021614236463490817,0.02806468377459862
2018,pooled,selected,156,52,0.0005508246085430864,0.017365934409252503,0.018323003669441687
2018,pooled,zero,156,52,0.0005251374792742498,0.016994794720876623,
2018,pooled,past_mean,156,52,0.0005296872556616331,0.016982518346700292,0.0289056304503382
2018,SPY,ridge1,52,52,0.0006154252108630273,0.018763179886986493,0.07955196841158481
2018,SPY,ridge100,52,52,0.0006102538544519383,0.018744912931441378,0.08619940406116348
2018,SPY,gbm2,52,52,0.0006592758358691802,0.01940855040209235,-0.1197557265339132
2018,SPY,gbm3,52,52,0.0006772335918349431,0.019649610206901334,-0.0909212641421672
2018,SPY,mlp16,52,52,0.0006994869239408558,0.019500604744369748,0.008853857688060223
2018,SPY,mlp32,52,52,0.0008636741351069869,0.021725277563961073,-0.011696656713143183
2018,SPY,sequence16,52,52,0.0008223680382608571,0.02062557681584433,-0.18661782431509596
2018,SPY,sequence32,52,52,0.0009102819528116487,0.022080259595934418,0.025769303951796475
2018,SPY,selected,52,52,0.0006592758358691802,0.01940855040209235,-0.1197557265339132
2018,SPY,zero,52,52,0.0005881112599851992,0.018645710610401586,
2018,SPY,past_mean,52,52,0.0005952162480630656,0.018608250365523014,-4.402391535180236e-17
2018,QQQ,ridge1,52,52,0.0008781057715385469,0.023260600088141594,0.06933754194164123
2018,QQQ,ridge100,52,52,0.0008733893367622202,0.02324437433365819,0.07115202105649328
2018,QQQ,gbm2,52,52,0.0008402585327486624,0.022983483375698815,0.12814829555112817
2018,QQQ,gbm3,52,52,0.0008312979307216314,0.022742024813562616,0.16242753758889855
2018,QQQ,mlp16,52,52,0.0009012685101703153,0.02295403711446035,0.10405528412392631
2018,QQQ,mlp32,52,52,0.0009436281077222172,0.02396023726189354,0.17234424030749054
2018,QQQ,sequence16,52,52,0.0010743611498507646,0.0261752965864955,-0.03931144239860185
2018,QQQ,sequence32,52,52,0.00117880158805589,0.02601571659059842,0.11281832533055261
2018,QQQ,selected,52,52,0.0008402585327486624,0.022983483375698815,0.12814829555112817
2018,QQQ,zero,52,52,0.0008469417499708467,0.02300039320250506,
2018,QQQ,past_mean,52,52,0.0008521762237602832,0.022915680503949074,
2018,GLD,ridge1,52,52,0.00016162599257419193,0.010058617008975406,-0.21538847800150832
2018,GLD,ridge100,52,52,0.00015869569412431574,0.009953796988219556,-0.20735051813495284
2018,GLD,gbm2,52,52,0.00015293945701141647,0.009705769449966345,-0.03706398114425405
2018,GLD,gbm3,52,52,0.0001492457596822165,0.00956473195948439,0.06664074420605859
2018,GLD,mlp16,52,52,0.00020162967560698192,0.011453341780623138,-0.23051283416762713
