training_mse,validation_mse,validation_rows,training_rows,training_dates,last_training_outcome,first_validation_signal,warnings,candidate,outer_year,validation_year,stage
0.0004061401236734712,0.0003030486736592056,153,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,,ridge1,2020,2019,inner
0.00040615139925163083,0.00030302597176652506,153,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,,ridge100,2020,2019,inner
0.0003807217037609667,0.0003079625449564773,153,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,,gbm2,2020,2019,inner
0.0003588500860899408,0.00031591149518288525,153,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,,gbm3,2020,2019,inner
0.0003739215149891488,0.00035018708258992135,153,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2020,2019,inner
0.00029365208808240014,0.00042792954556203426,153,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2020,2019,inner
0.00029341223719239366,0.0003297406184964827,153,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2020,2019,inner
0.00014739412534265804,0.0004264772841597441,153,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2020,2019,inner
0.00038575563889462644,0.001416145993186993,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,,ridge1,2020,2020,outer
0.00038576797520276573,0.0014145885773519681,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,,ridge100,2020,2020,outer
0.0003644100397777864,0.0014789328886634463,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,,gbm2,2020,2020,outer
0.0003500937876826639,0.00150218458990496,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,,gbm3,2020,2020,outer
0.0003574167736748746,0.0014595349247182705,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2020,2020,outer
0.0002796630656353773,0.0019537570086026477,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2020,2020,outer
0.00028397431810150297,0.0017176497847379078,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2020,2020,outer
0.00015688307108814825,0.0016752057003993157,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2020,2020,outer
0.0004061401236734712,0.00030680064748629405,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,,ridge1,2021,2019,inner
0.00040615139925163083,0.00030670427611055676,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,,ridge100,2021,2019,inner
0.0003807217037609667,0.000309844287785996,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,,gbm2,2021,2019,inner
0.0003588500860899408,0.0003171569808301994,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,,gbm3,2021,2019,inner
0.0003739215149891488,0.00035045538662298114,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2021,2019,inner
0.00029365208808240014,0.00042483742285844895,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2021,2019,inner
0.00029341223719239366,0.0003329771408440262,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2021,2019,inner
0.00014739412534265804,0.000428509614318352,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2021,2019,inner
0.00038575563889462644,0.0014244335734170464,156,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,,ridge1,2021,2020,inner
0.00038576797520276573,0.0014227697036771818,156,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,,ridge100,2021,2020,inner
0.0003644100397777864,0.001485115751637048,156,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,,gbm2,2021,2020,inner
0.0003500937876826639,0.0015079119885420542,156,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,,gbm3,2021,2020,inner
0.0003574167736748746,0.001467299020066824,156,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2021,2020,inner
0.0002796630656353773,0.0019619274434207823,156,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2021,2020,inner
0.00028397431810150297,0.0017369204166910314,156,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2021,2020,inner
0.00015688307108814825,0.0016953242558645438,156,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2021,2020,inner
0.0005309800442230701,0.0004288956950351088,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,,ridge1,2021,2021,outer
0.0005310063742400116,0.0004287517011897439,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,,ridge100,2021,2021,outer
0.0005038434668940882,0.00042384633361548807,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,,gbm2,2021,2021,outer
0.0004911461334523513,0.00042785286818601494,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,,gbm3,2021,2021,outer
0.0005024853586395274,0.0004255102359119805,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2021,2021,outer
0.00040203444357448574,0.0004792908468486666,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2021,2021,outer
0.00038772262422081036,0.0005100927013791112,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2021,2021,outer
0.00023185064902592502,0.0006029470116859898,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2021,2021,outer
0.00038575563889462644,0.001416145993186993,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,,ridge1,2022,2020,inner
0.00038576797520276573,0.0014145885773519681,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,,ridge100,2022,2020,inner
0.0003644100397777864,0.0014789328886634463,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,,gbm2,2022,2020,inner
0.0003500937876826639,0.00150218458990496,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,,gbm3,2022,2020,inner
0.0003574167736748746,0.0014595349247182705,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2022,2020,inner
0.0002796630656353773,0.0019537570086026477,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2022,2020,inner
0.00028397431810150297,0.0017176497847379078,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2022,2020,inner
0.00015688307108814825,0.0016752057003993157,159,3978,1326,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2022,2020,inner
0.0005309800442230701,0.0004057433508311324,153,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,,ridge1,2022,2021,inner
