scenario,policy,period,observations,first_date,last_date,cagr,annualized_mean_return,annualized_volatility,excess_sharpe,calmar,max_drawdown,longest_underwater_sessions,worst_day,expected_shortfall_95,certainty_equivalent_gamma3,spy_beta,descriptive_alpha_annual,positive_day_fraction,annual_one_way_turnover,mean_gross_exposure,max_gross_exposure,mean_net_exposure,rebalances,annual_execution_drag,annual_funding_drag,annual_borrow_drag,pareto_cagr_sharpe_drawdown,role,family
base,raw_sector_reversal_g100,full,4154,2008-07-01,2024-12-31,-0.0452424053917,-0.0440772066546,0.0673977031474,-0.800348101576,-0.0806777354022,-0.560779317443,3857,-0.035971412641,-0.00994918351246,-0.0508908822389,0.0340040939419,-0.0582272710953,0.48531535869,67.4076959861,0.995203625662,1.10624417155,-3.59302219864e-05,862,0.033708712341,9.01537266011e-05,0.00498116415917,False,control,raw_sector_reversal
base,raw_sector_reversal_g100,2008_2016,2142,2008-07-01,2016-12-30,-0.0396865220606,-0.038251244357,0.0670567943917,-0.577015269814,-0.112850735859,-0.351672691883,1845,-0.035971412641,-0.00972919758537,-0.0449961648682,0.0262616862379,-0.0416791771184,0.483193277311,67.7385692857,0.993357229723,1.08858944793,0.000239093411027,444,0.0338705270711,6.33908347159e-05,0.00496869701615,False,control,raw_sector_reversal
base,raw_sector_reversal_g100,2017_2024,2012,2017-01-03,2024-12-31,-0.0511601635541,-0.0502795979277,0.0677732454531,-1.03559824412,-0.14327217022,-0.357083748195,1884,-0.0325104169505,-0.0100361218313,-0.0571694171266,0.0453629154441,-0.0764680847019,0.487574552684,67.1251143055,0.997169321538,1.10624417155,-0.000328723771646,418,0.0335712778889,0.000118704836356,0.00499953880696,False,control,raw_sector_reversal
base,raw_sector_reversal_g150,full,4154,2008-07-01,2024-12-31,-0.0719431524689,-0.070347436871,0.0936852099531,-0.855893472683,-0.0978836716154,-0.734986247263,3857,-0.0495425885387,-0.0137957023603,-0.0835128147169,0.0503483904784,-0.0864973457862,0.486037554165,99.6754438341,1.4640169465,1.65908545851,-0.000105673152696,862,0.0498472243707,0.000131837047578,0.00732887028603,False,control,raw_sector_reversal
base,raw_sector_reversal_g150,2008_2016,2142,2008-07-01,2016-12-30,-0.0586969229943,-0.056564459602,0.0886318215037,-0.642921043236,-0.122087354971,-0.480778070819,1845,-0.0415863874686,-0.0127336119182,-0.0683478592766,0.0380880896105,-0.0612985700198,0.485527544351,99.5502192625,1.45288859696,1.65908545851,0.000276805776229,444,0.0497772439416,8.98128691752e-05,0.00726805989021,False,control,raw_sector_reversal
base,raw_sector_reversal_g150,2017_2024,2012,2017-01-03,2024-12-31,-0.0858943021626,-0.0850209643611,0.0987952536976,-1.06180698033,-0.162915546201,-0.52723207923,1884,-0.0495425885387,-0.014568934261,-0.0996617175908,0.0683322734802,-0.114311196346,0.486580516899,99.9110084321,1.47586432459,1.61234809512,-0.000512864934882,418,0.049972851393,0.000176659165757,0.00740106305655,False,control,raw_sector_reversal
base,sector_reversal_10_g100,full,4154,2008-07-01,2024-12-31,-0.0324636551621,-0.0315747525483,0.0541102294885,-0.762858985761,-0.0683412891987,-0.475022574826,3810,-0.029797989807,-0.00809462212424,-0.0359666279512,0.0286043832561,-0.0450641228101,0.474000962927,52.3832098125,0.999294355034,1.11420545968,-0.0297849860544,862,0.0261919031149,9.06553796732e-05,0.00515124677846,False,candidate,sector_reversal
base,sector_reversal_10_g100,2008_2016,2142,2008-07-01,2016-12-30,-0.0306792917958,-0.0297993541134,0.0522145123511,-0.573197539042,-0.0975797601567,-0.314402205401,1798,-0.025972897427,-0.00767539890543,-0.0338888870635,0.0497837386314,-0.0358252009068,0.473389355742,52.4181334225,0.998965572064,1.08252601624,-0.0237699644603,444,0.0262090280733,6.60115400825e-05,0.00511828023587,False,candidate,sector_reversal
base,sector_reversal_10_g100,2017_2024,2012,2017-01-03,2024-12-31,-0.0343902065741,-0.0334648636057,0.056070820012,-0.953841169242,-0.118762709469,-0.289570747652,1304,-0.029797989807,-0.00847625944883,-0.0381807688909,-0.00229954221131,-0.0532170886638,0.474652087475,52.3998919428,0.999644381436,1.11420545968,-0.0361886521848,418,0.0262006026744,0.000116953697505,0.00519159433157,False,candidate,sector_reversal
base,sector_reversal_10_g150,full,4154,2008-07-01,2024-12-31,-0.0539167032522,-0.0524657558428,0.0776526078071,-0.800276226181,-0.0842883361938,-0.639669801148,3810,-0.0442629094127,-0.0115916794288,-0.0615106470917,0.0362672599757,-0.0668927352353,0.470149253731,77.9465471657,1.48458071044,1.61090483727,-0.0449792984913,862,0.0389735809135,0.000134622283088,0.00765611369871,False,candidate,sector_reversal
