policy,scenario,period,original_positive_day_fraction,corrected_positive_day_fraction
static_macro_g100,cost_stress,full,0.548146364949,0.548146364949
static_macro_g100,cost_stress,2008_2016,0.541083099907,0.541083099907
static_macro_g100,cost_stress,2017_2024,0.555666003976,0.555666003976
static_macro_g150,cost_stress,full,0.544535387578,0.544535387578
static_macro_g150,cost_stress,2008_2016,0.53781512605,0.53781512605
static_macro_g150,cost_stress,2017_2024,0.551689860835,0.551689860835
trend_only_g100,cost_stress,full,0.527202696196,0.526480500722
trend_only_g100,cost_stress,2008_2016,0.514472455649,0.513538748833
trend_only_g100,cost_stress,2017_2024,0.540755467197,0.540258449304
trend_only_g150,cost_stress,full,0.526480500722,0.525276841598
trend_only_g150,cost_stress,2008_2016,0.513071895425,0.511671335201
trend_only_g150,cost_stress,2017_2024,0.540755467197,0.539761431412
trend_pullback_10_g100,cost_stress,full,0.439094848339,0.435002407318
trend_pullback_10_g100,cost_stress,2008_2016,0.366013071895,0.361811391223
trend_pullback_10_g100,cost_stress,2017_2024,0.51689860835,0.512922465209
trend_pullback_10_g150,cost_stress,full,0.43765045739,0.431391429947
trend_pullback_10_g150,cost_stress,2008_2016,0.36741363212,0.359477124183
trend_pullback_10_g150,cost_stress,2017_2024,0.512425447316,0.507952286282
trend_pullback_3_g100,cost_stress,full,0.425373134328,0.419595570534
trend_pullback_3_g100,cost_stress,2008_2016,0.368814192344,0.361811391223
trend_pullback_3_g100,cost_stress,2017_2024,0.485586481113,0.48111332008
trend_pullback_3_g150,cost_stress,full,0.421039961483,0.41381800674
trend_pullback_3_g150,cost_stress,2008_2016,0.366479925303,0.359943977591
trend_pullback_3_g150,cost_stress,2017_2024,0.479125248509,0.471172962227
trend_pullback_5_g100,cost_stress,full,0.430187770823,0.424650938854
trend_pullback_5_g100,cost_stress,2008_2016,0.375350140056,0.367880485528
trend_pullback_5_g100,cost_stress,2017_2024,0.488568588469,0.485089463221
trend_pullback_5_g150,cost_stress,full,0.420799229658,0.417188252287
trend_pullback_5_g150,cost_stress,2008_2016,0.368814192344,0.364612511671
trend_pullback_5_g150,cost_stress,2017_2024,0.476143141153,0.473161033797
bil_buy_hold,delay_one_session,full,0.388059701493,0.388059701493
bil_buy_hold,delay_one_session,2008_2016,0.261437908497,0.261437908497
bil_buy_hold,delay_one_session,2017_2024,0.522862823062,0.522862823062
dual_momentum_126_g100,delay_one_session,full,0.539239287434,0.539239287434
dual_momentum_126_g100,delay_one_session,2008_2016,0.53548085901,0.53548085901
dual_momentum_126_g100,delay_one_session,2017_2024,0.54324055666,0.54324055666
dual_momentum_126_g150,delay_one_session,full,0.53851709196,0.53851709196
dual_momentum_126_g150,delay_one_session,2008_2016,0.535947712418,0.535947712418
dual_momentum_126_g150,delay_one_session,2017_2024,0.541252485089,0.541252485089
dual_momentum_252_g100,delay_one_session,full,0.545739046702,0.545739046702
dual_momentum_252_g100,delay_one_session,2008_2016,0.53781512605,0.53781512605
