period,asset,model,rows,decision_dates,event_fraction,brier,brier_skill,log_loss
2021_2024,SPY,gbm,204,204,0.16666666666666666,0.1446612164108411,-0.006632763838593014,0.4658989665489894
2021_2024,SPY,past_frequency,204,204,0.16666666666666666,0.14370803495328766,0.0,0.4706938159368706
2021_2024,QQQ,logistic,204,204,0.30392156862745096,0.227680408184868,-0.006452711954024748,0.6634805160258401
2021_2024,QQQ,gbm,204,204,0.30392156862745096,0.2209445234408134,0.023323014126714448,0.6388752448968754
2021_2024,QQQ,past_frequency,204,204,0.30392156862745096,0.22622067135457088,0.0,0.6555362151100457
2021_2024,GLD,logistic,204,204,0.12745098039215685,0.11377188335747332,-0.018928868915744967,0.39132029931132367
2021_2024,GLD,gbm,204,204,0.12745098039215685,0.11632743528949736,-0.04181611981385247,0.4029464449129813
2021_2024,GLD,past_frequency,204,204,0.12745098039215685,0.11165831769840755,0.0,0.3835023950768763
2018,pooled,logistic,156,52,0.25,0.22189197775405814,-0.03867710418640513,0.7617922157012168
2018,pooled,gbm,156,52,0.25,0.20776624682859696,0.02744549042328681,0.6932462493249463
2018,pooled,past_frequency,156,52,0.25,0.21362941077618722,0.0,0.6742767540014758
2018,SPY,logistic,52,52,0.3269230769230769,0.29982141876493773,-0.055794736882606166,1.0914657776712833
2018,SPY,gbm,52,52,0.3269230769230769,0.28195010902495965,0.007137507392645848,0.9988382836597448
2018,SPY,past_frequency,52,52,0.3269230769230769,0.28397699693996,0.0,0.9026800210061346
2018,QQQ,logistic,52,52,0.4230769230769231,0.32143699166843687,0.015836836386036834,0.9719978255466608
2018,QQQ,gbm,52,52,0.4230769230769231,0.3214175452475288,0.015896376674236157,0.93978825792898
2018,QQQ,past_frequency,52,52,0.4230769230769231,0.3266094521238555,0.0,0.9289000534600363
2018,GLD,logistic,52,52,0.0,0.04441752282879978,-0.46583857592553346,0.22191304388570615
2018,GLD,gbm,52,52,0.0,0.019931086213302404,0.34224708693990724,0.14111220638611402
