scenario,policy,period,observations,ce,annualized_mean,annualized_volatility,turnover,average_exposure,average_cash,cagr,maximum_drawdown,worst_21_session_return
cost25,constant100,2021,252,0.13982050722553108,0.16062816929689094,0.1177784985226077,0.4864616878925498,1.0,4.586884547524601e-17,0.1661055683719843,-0.07153927117830094,-0.056110384056004214
cost25,constant100,2022,251,-0.23540214947038812,-0.17446297291165888,0.20155921637528632,0.6985096968527946,1.0,4.387311603741982e-17,-0.17697217151659939,-0.2296879721764098,-0.11640433833310027
cost25,constant100,2023,250,0.2564012914715488,0.2747484878621181,0.11059595047007618,0.479677843591976,1.0,5.223437018598392e-17,0.30802750869585327,-0.07569270675043849,-0.06034864839850429
cost25,constant100,2024,232,0.24666371655769395,0.26856329633874965,0.120829300478142,1.4553820023023532,0.9956896551724138,0.00431034482758626,0.2984254726995583,-0.08001156813024424,-0.062377666838877466
cost25,constant100,exclude_2018,1490,0.1430635950418062,0.18114387269939827,0.159332519504739,4.38684020678124,0.9993288590604027,0.000671140939597364,,,
cost25,constant100,exclude_2019,1485,0.09049211695493098,0.13106262738502342,0.16445974265270805,5.472417690773535,0.9993265993265993,0.0006734006734007172,,,
cost25,constant100,exclude_2020,1484,0.09716420825436949,0.1242766250990191,0.134443090425279,5.125019275415633,0.9993261455525606,0.0006738544474393974,,,
cost25,constant100,exclude_2021,1485,0.10903672887743504,0.14825602260338885,0.16169785347153667,5.445661283272818,0.9993265993265993,0.0006734006734007178,,,
cost25,constant100,exclude_2022,1486,0.1725375013698381,0.20486453460947193,0.1468037993142181,5.233613274312574,0.9993270524899058,0.0006729475100942574,,,
cost25,constant100,exclude_2023,1487,0.0894975866809095,0.12908632835461967,0.1624576697147294,5.452445127573392,0.9993275050437121,0.0006724949562878713,,,
cost25,constant100,exclude_2024,1505,0.09298993533135412,0.1317819318792419,0.16081458588052636,4.476740968863014,1.0,4.358565549170077e-17,,,
cost25,constant75,all,1737,0.09168647788544666,0.11221968451658436,0.11699916418829011,4.698768977512564,0.7499053806645248,0.25009461933547517,0.1110924175460486,-0.17764587549137356,-0.1742600672015986
cost25,constant75,2018_2020,752,0.1074171700556385,0.13219522350348828,0.12852510376796636,2.221958102090655,0.7504285495817058,0.24957145041829418,0.13188799618890457,-0.17618786626429328,-0.1742600672015986
cost25,constant75,2021_2024,985,0.07965816639670054,0.09696932378749629,0.10742798329049946,2.4768108754219087,0.7495059664252152,0.25049403357478484,0.09547356061391743,-0.17764587549137534,-0.08838307884389507
