period,asset,model,bin,lower,upper,rows,mean_probability,event_fraction
2021_2024,pooled,logistic,1,0.2,0.4,132,0.25387058970095105,0.2878787878787879
2021_2024,pooled,logistic,2,0.4,0.6,3,0.4338972434314057,0.0
2021_2024,pooled,logistic,3,0.6,0.8,0,,
2021_2024,pooled,logistic,4,0.8,1.0,0,,
2021_2024,pooled,gbm,0,0.0,0.2,393,0.1489978348858799,0.16539440203562342
2021_2024,pooled,gbm,1,0.2,0.4,212,0.2549665222724468,0.2688679245283019
2021_2024,pooled,gbm,2,0.4,0.6,7,0.4501727923710645,0.0
2021_2024,pooled,gbm,3,0.6,0.8,0,,
2021_2024,pooled,gbm,4,0.8,1.0,0,,
2021_2024,pooled,past_frequency,0,0.0,0.2,512,0.15124290924775433,0.20703125
2021_2024,pooled,past_frequency,1,0.2,0.4,100,0.24956006145046358,0.16
2021_2024,pooled,past_frequency,2,0.4,0.6,0,,
2021_2024,pooled,past_frequency,3,0.6,0.8,0,,
2021_2024,pooled,past_frequency,4,0.8,1.0,0,,
2021_2024,SPY,logistic,0,0.0,0.2,197,0.13972853021355053,0.16751269035532995
2021_2024,SPY,logistic,1,0.2,0.4,7,0.22532690576634423,0.14285714285714285
2021_2024,SPY,logistic,2,0.4,0.6,0,,
2021_2024,SPY,logistic,3,0.6,0.8,0,,
2021_2024,SPY,logistic,4,0.8,1.0,0,,
2021_2024,SPY,gbm,0,0.0,0.2,138,0.14705868341435674,0.16666666666666666
2021_2024,SPY,gbm,1,0.2,0.4,64,0.24919934393260196,0.171875
2021_2024,SPY,gbm,2,0.4,0.6,2,0.4429057979347979,0.0
2021_2024,SPY,gbm,3,0.6,0.8,0,,
2021_2024,SPY,gbm,4,0.8,1.0,0,,
2021_2024,SPY,past_frequency,0,0.0,0.2,204,0.14669598837159734,0.16666666666666666
2021_2024,SPY,past_frequency,1,0.2,0.4,0,,
2021_2024,SPY,past_frequency,2,0.4,0.6,0,,
2021_2024,SPY,past_frequency,3,0.6,0.8,0,,
2021_2024,SPY,past_frequency,4,0.8,1.0,0,,
2021_2024,QQQ,logistic,0,0.0,0.2,83,0.158733784333565,0.3132530120481928
2021_2024,QQQ,logistic,1,0.2,0.4,118,0.25671885662903643,0.3050847457627119
2021_2024,QQQ,logistic,2,0.4,0.6,3,0.4338972434314057,0.0
2021_2024,QQQ,logistic,3,0.6,0.8,0,,
2021_2024,QQQ,logistic,4,0.8,1.0,0,,
2021_2024,QQQ,gbm,0,0.0,0.2,81,0.16695252275100447,0.2345679012345679
2021_2024,QQQ,gbm,1,0.2,0.4,118,0.2651240750248915,0.3644067796610169
2021_2024,QQQ,gbm,2,0.4,0.6,5,0.45307959014557114,0.0
2021_2024,QQQ,gbm,3,0.6,0.8,0,,
2021_2024,QQQ,gbm,4,0.8,1.0,0,,
2021_2024,QQQ,past_frequency,0,0.0,0.2,104,0.1981454707857533,0.4423076923076923
2021_2024,QQQ,past_frequency,1,0.2,0.4,100,0.24956006145046358,0.16
2021_2024,QQQ,past_frequency,2,0.4,0.6,0,,
2021_2024,QQQ,past_frequency,3,0.6,0.8,0,,
2021_2024,QQQ,past_frequency,4,0.8,1.0,0,,
2021_2024,GLD,logistic,0,0.0,0.2,197,0.12052773800008611,0.12690355329949238
2021_2024,GLD,logistic,1,0.2,0.4,7,0.23440063113354728,0.14285714285714285
2021_2024,GLD,logistic,2,0.4,0.6,0,,
2021_2024,GLD,logistic,3,0.6,0.8,0,,
2021_2024,GLD,logistic,4,0.8,1.0,0,,
2021_2024,GLD,gbm,0,0.0,0.2,174,0.14217756583987473,0.13218390804597702
2021_2024,GLD,gbm,1,0.2,0.4,30,0.22731679523783346,0.1
2021_2024,GLD,gbm,2,0.4,0.6,0,,
2021_2024,GLD,gbm,3,0.6,0.8,0,,
2021_2024,GLD,gbm,4,0.8,1.0,0,,
