asset,timeframe,year,candidate,benchmark,metric,candidate_loss,benchmark_loss,relative_improvement
ETH,1,2020,boosted_augmented,linear_augmented,variance_qlike,0.4842593898700797,0.45647404133424807,-0.06086950411159564
ETH,1,2020,linear_augmented,linear_volatility,log_variance_mse,0.6399648818506996,0.6594626652139705,0.029566167111135244
ETH,1,2020,linear_augmented,linear_volatility,variance_qlike,0.45647404133424807,0.505606222460543,0.09717479521354022
ETH,1,2020,boosted_augmented,boosted_volatility,log_variance_mse,0.6470918321190057,0.6781711343626607,0.04582811132600495
ETH,1,2020,boosted_augmented,boosted_volatility,variance_qlike,0.4842593898700797,0.5373796771691199,0.0988505698222053
ETH,1,2020,boosted_augmented,ewma_calibrated,log_variance_mse,0.6470918321190057,0.6629823410785051,0.02396822354823136
ETH,1,2020,boosted_augmented,ewma_calibrated,variance_qlike,0.4842593898700797,0.5178263718536522,0.06482285145774536
ETH,1,2021,boosted_volatility,linear_volatility,log_variance_mse,0.5393204246536559,0.49871183357177007,-0.08142696512943659
ETH,1,2021,boosted_volatility,linear_volatility,variance_qlike,0.42479219680508945,0.4033009604614402,-0.0532883341489192
ETH,1,2021,boosted_augmented,linear_augmented,log_variance_mse,0.5284242447733747,0.4685763003224171,-0.12772294375489657
ETH,1,2021,boosted_augmented,linear_augmented,variance_qlike,0.4068581575262668,0.3674806296611259,-0.10715538367682975
ETH,1,2021,linear_augmented,linear_volatility,log_variance_mse,0.4685763003224171,0.49871183357177007,0.06042674590960184
ETH,1,2021,linear_augmented,linear_volatility,variance_qlike,0.3674806296611259,0.4033009604614402,0.08881786633815647
ETH,1,2021,boosted_augmented,boosted_volatility,log_variance_mse,0.5284242447733747,0.5393204246536559,0.020203536491833485
ETH,1,2021,boosted_augmented,boosted_volatility,variance_qlike,0.4068581575262668,0.42479219680508945,0.0422183821023705
ETH,1,2021,boosted_augmented,ewma_calibrated,log_variance_mse,0.5284242447733747,0.5004684902415928,-0.05585917011136243
ETH,1,2021,boosted_augmented,ewma_calibrated,variance_qlike,0.4068581575262668,0.4069594029037654,0.0002487849568684197
ETH,1,2022,boosted_volatility,linear_volatility,log_variance_mse,0.6485869552778475,0.6230686898134123,-0.040955782053623935
ETH,1,2022,boosted_volatility,linear_volatility,variance_qlike,0.3661838794106643,0.35969094408594315,-0.018051428403962788
ETH,1,2022,boosted_augmented,linear_augmented,log_variance_mse,0.6268863098125135,0.6236803511136455,-0.005140387528873358
ETH,1,2022,boosted_augmented,linear_augmented,variance_qlike,0.3519945577643064,0.3631645121704727,0.03075728500950836
ETH,1,2022,linear_augmented,linear_volatility,log_variance_mse,0.6236803511136455,0.6230686898134123,-0.0009816916019584898
ETH,1,2022,linear_augmented,linear_volatility,variance_qlike,0.3631645121704727,0.35969094408594315,-0.00965709073759613
ETH,1,2022,boosted_augmented,boosted_volatility,log_variance_mse,0.6268863098125135,0.6485869552778475,0.03345834400267533
ETH,1,2022,boosted_augmented,boosted_volatility,variance_qlike,0.3519945577643064,0.3661838794106643,0.038749170687672585
ETH,1,2022,boosted_augmented,ewma_calibrated,log_variance_mse,0.6268863098125135,0.6275483166116315,0.0010549096883765152
ETH,1,2022,boosted_augmented,ewma_calibrated,variance_qlike,0.3519945577643064,0.36761590602685507,0.04249366800088217
ETH,1,2023,boosted_volatility,linear_volatility,log_variance_mse,1.2004838177434787,1.0595127012491254,-0.13305278580252367
ETH,1,2023,boosted_volatility,linear_volatility,variance_qlike,0.4954247731692865,0.5230489920791415,0.052813826865524605
ETH,1,2023,boosted_augmented,linear_augmented,log_variance_mse,1.169131241540649,1.0446268674895618,-0.1191854985984564
ETH,1,2023,boosted_augmented,linear_augmented,variance_qlike,0.4813082969967768,0.4735599218973726,-0.01636197393639094
ETH,1,2023,linear_augmented,linear_volatility,log_variance_mse,1.0446268674895618,1.0595127012491254,0.014049698264130162
ETH,1,2023,linear_augmented,linear_volatility,variance_qlike,0.4735599218973726,0.5230489920791415,0.09461650998513105
ETH,1,2023,boosted_augmented,boosted_volatility,log_variance_mse,1.169131241540649,1.2004838177434787,0.026116617100064188
ETH,1,2023,boosted_augmented,boosted_volatility,variance_qlike,0.4813082969967768,0.4954247731692865,0.02849368246606865
ETH,1,2023,boosted_augmented,ewma_calibrated,log_variance_mse,1.169131241540649,1.0611520859361752,-0.10175653144875252
ETH,1,2023,boosted_augmented,ewma_calibrated,variance_qlike,0.4813082969967768,0.534240037417525,0.0990785727640634
ETH,1,2024,boosted_volatility,linear_volatility,log_variance_mse,0.722213480696568,0.7304161224701949,0.011230094081010167
ETH,1,2024,boosted_volatility,linear_volatility,variance_qlike,0.43751870735649384,0.4526167582125245,0.03335725110059096
ETH,1,2024,boosted_augmented,linear_augmented,log_variance_mse,0.6390678993417275,0.6814078904757604,0.06213604468899103
ETH,1,2024,boosted_augmented,linear_augmented,variance_qlike,0.4089837285210225,0.464557188101088,0.1196267348853779
ETH,1,2024,linear_augmented,linear_volatility,log_variance_mse,0.6814078904757604,0.7304161224701949,0.06709631740971644
ETH,1,2024,linear_augmented,linear_volatility,variance_qlike,0.464557188101088,0.4526167582125245,-0.026380883323274817
ETH,1,2024,boosted_augmented,boosted_volatility,log_variance_mse,0.6390678993417275,0.722213480696568,0.11512604455215569
ETH,1,2024,boosted_augmented,boosted_volatility,variance_qlike,0.4089837285210225,0.43751870735649384,0.06522001998013038
ETH,1,2024,boosted_augmented,ewma_calibrated,log_variance_mse,0.6390678993417275,0.7313052396153762,0.12612700590270642
ETH,1,2024,boosted_augmented,ewma_calibrated,variance_qlike,0.4089837285210225,0.4593724962794209,0.10969043241924659
ETH,1,2025,boosted_volatility,linear_volatility,log_variance_mse,0.7648901040157392,0.762688595423467,-0.002886510438837586
ETH,1,2025,boosted_volatility,linear_volatility,variance_qlike,0.44130193806978435,0.43750419206023244,-0.008680479132481267
ETH,1,2025,boosted_augmented,linear_augmented,log_variance_mse,0.6802090578352693,0.7067758632820572,0.03758872766738175
ETH,1,2025,boosted_augmented,linear_augmented,variance_qlike,0.3809669670903876,0.4090945286853438,0.06875565333358591
ETH,1,2025,linear_augmented,linear_volatility,log_variance_mse,0.7067758632820572,0.762688595423467,0.07331004092222648
ETH,1,2025,linear_augmented,linear_volatility,variance_qlike,0.4090945286853438,0.43750419206023244,0.06493575122356177
ETH,1,2025,boosted_augmented,boosted_volatility,log_variance_mse,0.6802090578352693,0.7648901040157392,0.11071008205739241
ETH,1,2025,boosted_augmented,boosted_volatility,variance_qlike,0.3809669670903876,0.44130193806978435,0.13672038523849817
ETH,1,2025,boosted_augmented,ewma_calibrated,log_variance_mse,0.6802090578352693,0.7695979400846377,0.11615010591054553
ETH,1,2025,boosted_augmented,ewma_calibrated,variance_qlike,0.3809669670903876,0.439719740849235,0.13361413714421289
ETH,1,all,boosted_volatility,linear_volatility,log_variance_mse,0.7578299595278353,0.7212920551510343,-0.05065618582080478
ETH,1,all,boosted_volatility,linear_volatility,variance_qlike,0.4489445229630642,0.44574671055160014,-0.007174057229736741
ETH,1,all,boosted_augmented,linear_augmented,log_variance_mse,0.713977078932486,0.6931025571977739,-0.030117507889608985
ETH,1,all,boosted_augmented,linear_augmented,variance_qlike,0.4179738478774605,0.42170872863082054,0.008856541256535566
ETH,1,all,linear_augmented,linear_volatility,log_variance_mse,0.6931025571977739,0.7212920551510343,0.039081947114137705
