asset,timeframe,model,year,observations,log_variance_mse,variance_qlike
ETH,1,linear_augmented,2023,354,1.0446268674895618,0.4735599218973726
ETH,1,linear_augmented,2024,366,0.6814078904757604,0.464557188101088
ETH,1,linear_augmented,2025,353,0.7067758632820572,0.4090945286853438
ETH,1,linear_volatility,all,2136,0.7212920551510343,0.44574671055160014
ETH,1,linear_volatility,2020,333,0.6594626652139705,0.505606222460543
ETH,1,linear_volatility,2021,365,0.49871183357177007,0.4033009604614402
ETH,1,linear_volatility,2022,365,0.6230686898134123,0.35969094408594315
ETH,1,linear_volatility,2023,354,1.0595127012491254,0.5230489920791415
ETH,1,linear_volatility,2024,366,0.7304161224701949,0.4526167582125245
ETH,1,linear_volatility,2025,353,0.762688595423467,0.43750419206023244
ETH,4,boosted_augmented,all,2136,0.7324230031223404,0.4322064074262572
ETH,4,boosted_augmented,2020,333,0.6366376208537281,0.47705213111956785
ETH,4,boosted_augmented,2021,365,0.5581120303387863,0.43752114978629875
ETH,4,boosted_augmented,2022,365,0.6238302493030622,0.34525613659801213
ETH,4,boosted_augmented,2023,354,1.1543541308818615,0.4631052638348855
ETH,4,boosted_augmented,2024,366,0.6985843201444115,0.4392263151799533
ETH,4,boosted_augmented,2025,353,0.7272607686989221,0.43604737199995325
ETH,4,boosted_volatility,all,2136,0.7578299595278353,0.4489445229630642
ETH,4,boosted_volatility,2020,333,0.6781711343626607,0.5373796771691199
ETH,4,boosted_volatility,2021,365,0.5393204246536559,0.42479219680508945
ETH,4,boosted_volatility,2022,365,0.6485869552778475,0.3661838794106643
ETH,4,boosted_volatility,2023,354,1.2004838177434787,0.4954247731692865
ETH,4,boosted_volatility,2024,366,0.722213480696568,0.43751870735649384
ETH,4,boosted_volatility,2025,353,0.7648901040157392,0.44130193806978435
ETH,4,ewma_calibrated,all,2136,0.7244723235257865,0.4530096184413831
ETH,4,ewma_calibrated,2020,333,0.6629823410785051,0.5178263718536522
ETH,4,ewma_calibrated,2021,365,0.5004684902415928,0.4069594029037654
ETH,4,ewma_calibrated,2022,365,0.6275483166116315,0.36761590602685507
ETH,4,ewma_calibrated,2023,354,1.0611520859361752,0.534240037417525
ETH,4,ewma_calibrated,2024,366,0.7313052396153762,0.4593724962794209
ETH,4,ewma_calibrated,2025,353,0.7695979400846377,0.439719740849235
ETH,4,ewma_raw,all,2136,0.7810679792751823,0.4425794677360747
ETH,4,ewma_raw,2020,333,0.7557913172349559,0.4550131667685886
ETH,4,ewma_raw,2021,365,0.4653318804408604,0.28569007448640227
ETH,4,ewma_raw,2022,365,0.6881536488397443,0.3542388317323817
ETH,4,ewma_raw,2023,354,1.0731070269456648,0.6838704220524623
ETH,4,ewma_raw,2024,366,0.8304700566987286,0.46362172663103446
ETH,4,ewma_raw,2025,353,0.8833669932425734,0.42062500404229214
ETH,4,linear_augmented,all,2136,0.7065878649021022,0.43358902856027837
ETH,4,linear_augmented,2020,333,0.6595016635761555,0.47700598893498264
ETH,4,linear_augmented,2021,365,0.4595479235579037,0.35882128400716484
ETH,4,linear_augmented,2022,365,0.6367827203438012,0.37469606896500857
ETH,4,linear_augmented,2023,354,1.0587935385711635,0.46758876091381435
ETH,4,linear_augmented,2024,366,0.7008457116306382,0.48696000322748323
ETH,4,linear_augmented,2025,353,0.7313725136682794,0.44140383657170795
ETH,4,linear_volatility,all,2136,0.7212920551510343,0.44574671055160014
ETH,4,linear_volatility,2020,333,0.6594626652139705,0.505606222460543
ETH,4,linear_volatility,2021,365,0.49871183357177007,0.4033009604614402
ETH,4,linear_volatility,2022,365,0.6230686898134123,0.35969094408594315
ETH,4,linear_volatility,2023,354,1.0595127012491254,0.5230489920791415
ETH,4,linear_volatility,2024,366,0.7304161224701949,0.4526167582125245
ETH,4,linear_volatility,2025,353,0.762688595423467,0.43750419206023244
