state_run_id,state_run_ordinal,regime_label,start_bar_index,end_bar_index,start_timestamp,end_timestamp,duration_bars,entered_from_regime_label,exited_to_regime_label
3f21a3b416224164461f204780cd88afe1d1696348b154d29ab96e5afaae8d0f,39,TREND_DOWN,450,457,2018-01-19T18:00:00,2018-01-20T01:00:00,8,TREND_UP,RANGE
38c3137c3666071193e41c5afc92ad7bb087aad89c084ee29f181dd0def599c0,40,RANGE,458,458,2018-01-20T02:00:00,2018-01-20T02:00:00,1,TREND_DOWN,TREND_UP
ca093e92638a79bf3ad8d779e549d688fc479bf228f2d75087643673cb5254d2,41,TREND_UP,459,487,2018-01-20T03:00:00,2018-01-21T07:00:00,29,RANGE,RANGE
62fc471b518be0bc322872f43889409a593e0579524d697222267c176b5fd877,42,RANGE,488,495,2018-01-21T08:00:00,2018-01-21T15:00:00,8,TREND_UP,TREND_DOWN
76e60eab4eb6910c6184af862e7ece71c5b5557887a3c56a4fd820b50030504e,43,TREND_DOWN,496,516,2018-01-21T16:00:00,2018-01-22T12:00:00,21,RANGE,VOL_EXPANSION
bbdc1c44cac61ee6bff80e61d1e2c9c5f7d58222b709fdd0a265cd303edca45e,44,VOL_EXPANSION,517,521,2018-01-22T13:00:00,2018-01-22T17:00:00,5,TREND_DOWN,TREND_DOWN
4dd9d5d4354fa6d089600e0ff6a5629d15ab9a5e280649f132f81162d7866882,45,TREND_DOWN,522,535,2018-01-22T18:00:00,2018-01-23T07:00:00,14,VOL_EXPANSION,VOL_EXPANSION
4d22d6949b08fd13cc43e23085113aaf1216219cb80306d10a30fdd8832e97cd,46,VOL_EXPANSION,536,536,2018-01-23T08:00:00,2018-01-23T08:00:00,1,TREND_DOWN,TREND_DOWN
b839c5a510689788b38108d1f3aeddd40f270e7b20f26d6896af18cc2ad2d8fa,47,TREND_DOWN,537,538,2018-01-23T09:00:00,2018-01-23T10:00:00,2,VOL_EXPANSION,VOL_EXPANSION
43f6058fd5e2d4cbf5b20a85f32976ee8ee1473e633f68f98c906ca76ac3607a,48,VOL_EXPANSION,539,540,2018-01-23T11:00:00,2018-01-23T12:00:00,2,TREND_DOWN,TREND_DOWN
95825b6d6c7644fd54cbee49d96173f91576d9961502d5f6f7ece91cde754bb5,49,TREND_DOWN,541,546,2018-01-23T13:00:00,2018-01-23T18:00:00,6,VOL_EXPANSION,RANGE
e2b06e77cea60e43aa8bb0ffb0884a4571b8599cdcf9cc37786e8d06458e5829,50,RANGE,547,550,2018-01-23T19:00:00,2018-01-23T22:00:00,4,TREND_DOWN,TREND_DOWN
098c80d8c5a90d7660d8636b0aa46fa60dc99de24e228c2157db408193d83eab,51,TREND_DOWN,551,561,2018-01-23T23:00:00,2018-01-24T09:00:00,11,RANGE,RANGE
61255e97987518162e691555b21fd45de4fe687e18676964e3b56923cfd2a2a2,52,RANGE,562,570,2018-01-24T10:00:00,2018-01-24T18:00:00,9,TREND_DOWN,TREND_UP
7c27bd3d579d53565e912ff66ea69fae51b538bb80fcac11b6f39e6d3adf3031,53,TREND_UP,571,590,2018-01-24T19:00:00,2018-01-25T14:00:00,20,RANGE,RANGE
b5dc59958295d2e06ddc67d912ae7d4db50bbc4fc17663917e5cd3cbe3bbce6d,54,RANGE,591,596,2018-01-25T15:00:00,2018-01-25T20:00:00,6,TREND_UP,TREND_UP
8bc915537133695a216cc9009a100ddbe4a95b9a3c13eb8d9230c2f60cdd075f,55,TREND_UP,597,607,2018-01-25T21:00:00,2018-01-26T07:00:00,11,RANGE,RANGE
e607fcada59e96f350b90d57d205d0b4ca1ebb0ab6ed48a38dbfcbd5b47c437a,56,RANGE,608,608,2018-01-26T08:00:00,2018-01-26T08:00:00,1,TREND_UP,TREND_DOWN
56368b4d12bf53444775b65d874ac1b196cbe841b0a6972c6deefb89675bf49c,57,TREND_DOWN,609,628,2018-01-26T09:00:00,2018-01-27T04:00:00,20,RANGE,RANGE
776acd5c45bfa26446036f511946940b72ad132755f366c7fae545c80ad281bb,58,RANGE,629,633,2018-01-27T05:00:00,2018-01-27T09:00:00,5,TREND_DOWN,TREND_UP
ad3d20a2b690531ccf73dd4cc55e6c7aa87d3406ff47d975be7ac1f74693961e,59,TREND_UP,634,634,2018-01-27T10:00:00,2018-01-27T10:00:00,1,RANGE,RANGE
047c93213f6c15c24b36442561946dc36a29aa2f3482cae7af5276fd56dcdb11,60,RANGE,635,636,2018-01-27T11:00:00,2018-01-27T12:00:00,2,TREND_UP,TREND_DOWN
f0fffa6a85c45c4ca60fc755b8c8bc16c5c5c0f4aff681959e7d0742c6f692e0,61,TREND_DOWN,637,638,2018-01-27T13:00:00,2018-01-27T14:00:00,2,RANGE,TREND_UP
b288b6dbe5e2ffe25af81e08d2470775f87d759842a3df2799949d64a6710834,62,TREND_UP,639,648,2018-01-27T15:00:00,2018-01-28T00:00:00,10,TREND_DOWN,VOL_COMPRESSION
01874433072f8ee30aff4a878eaf409d528aeba7f7745a0dcac9db5f6bfddbcd,63,VOL_COMPRESSION,649,654,2018-01-28T01:00:00,2018-01-28T06:00:00,6,TREND_UP,TREND_UP
386d4467d75d242451fdd30124aa752abec6401ff2f93f86bb99a79b6cfc8a46,64,TREND_UP,655,655,2018-01-28T07:00:00,2018-01-28T07:00:00,1,VOL_COMPRESSION,VOL_COMPRESSION
